,depth_s1_basal
GSM340547,0.34238988745478904
GSM340548,0.35065509850000914
GSM340551,0.5954844217599646
GSM340553,0.3445814667596894
GSM340556,0.2944775047276332
GSM340557,0.2890012530523068
GSM340560,0.4217109671911432
GSM340561,0.43620150733471674
GSM340562,0.4134346255530871
GSM340565,0.3873236317403197
GSM340570,0.39892388969467746
GSM340571,0.4020382754695502
GSM340573,0.6965340251895643
GSM340574,0.35663899700736235
GSM340576,0.4824990361136101
GSM340578,0.36678688471918797
GSM340579,0.5381414434428184
GSM340581,0.31814148934217046
GSM340582,0.37210845557860717
GSM340583,0.25893637431839467
GSM340586,0.38943947711458293
GSM340588,0.5720430490021481
GSM340590,0.6702028292360513
GSM340591,0.34521074687425407
GSM340592,0.6304327620394001
GSM340598,0.31005517102098534
GSM340599,0.24509358877852636
GSM340600,0.396467356380928
GSM340601,0.3992332513264914
GSM340602,0.3578258394991464
GSM340604,0.5681704059338684
GSM340606,0.47370517928286854
GSM340607,0.3143064837424495
GSM340608,0.26866680742467913
GSM340610,0.35345117226944756
GSM340615,0.3411600143205979
GSM340616,0.34688504048322844
GSM340617,0.22317561551030907
GSM340621,0.2431732746433619
GSM340624,0.29472237777002575
GSM340628,0.826632639947124
GSM340629,0.3982957570639103
GSM340631,0.23672923513319985
GSM340635,0.29225574659885795
GSM340637,0.29411444085409494
GSM340638,0.2804262213817542
GSM340642,0.3152047340591551
GSM340643,0.27184453430517574
GSM340644,0.2994276350817926
GSM340645,0.33418595204435675
GSM340647,0.3034453201020802
GSM340650,0.3494974020966824
GSM340651,0.28414360989222814
GSM340657,0.34222407604604616
GSM340658,0.2920825912938109
GSM340660,0.7370391705069126
GSM340661,0.306708764022252
GSM340663,0.4209545458718123
GSM340664,0.3282893770539961
GSM340667,0.24519273137863307
GSM340668,0.2242251041915286
GSM340669,0.2870288431527348
GSM340670,0.3577966934106889
GSM340671,0.34653138597683003
GSM340672,0.5111652468467147
GSM340674,0.6678038996089377
GSM340675,0.4708158150806908
GSM340682,0.3236491820735491
GSM340684,0.381610883654323
GSM340686,0.3159444021150424
GSM340687,0.730044568270696
GSM340690,0.32894940973433456
GSM340692,0.2726234463069383
GSM340695,0.31625032129546327
GSM340696,0.6561388088200195
GSM340699,0.4863833835166248
GSM340701,0.5272443635595866
GSM340702,0.3334709548901168
GSM340703,0.2566770934694404
GSM340704,0.5241136835147886
GSM340705,0.5445041263517358
GSM340706,0.4399093717296712
GSM340711,0.39179239264141585
GSM340714,0.5494329135072612
GSM340715,0.3657603457139184
GSM340716,0.28319716525602645
GSM340719,0.31002545119062924
GSM340720,0.6327721372574222
GSM340722,0.4136750234086694
GSM340723,0.35592227862742565
GSM340724,0.4135455872363081
GSM340726,0.29900341032184624
GSM340727,0.3475720390328091
GSM340728,0.9239043824701195
GSM340731,0.7932158462922503
GSM340732,0.6672274037490591
GSM340733,0.43556270310463213
GSM340735,0.3363752363816624
GSM340738,0.2457351469697248
GSM340739,0.3438400774781058
GSM340742,0.39178837644812436
GSM340745,0.33872138175408956
GSM340746,0.7694558172838599
GSM340748,0.24827188940092157
GSM340750,0.4308479216773459
GSM340758,0.3703002506104614
GSM340759,0.5312088053316688
GSM340766,0.688340072888171
GSM340768,0.29941019332807023
GSM340769,0.4422319936842494
GSM340770,0.3192465162391908
GSM340773,0.4119710099693393
GSM340774,0.3434332944718822
GSM340775,0.34463803771090756
GSM340776,0.27477681440138046
GSM340777,0.25294627939853476
GSM340781,0.2851891971285365
GSM340782,0.29654687700809673
GSM340783,0.3945419933170543
GSM340784,0.3795829355389502
GSM340786,0.30270002937558504
GSM340789,0.5404365257862559
GSM340790,0.3059651945214533
