,depth_s1_luminal
GSM340549,0.38351375148909694
GSM340550,0.3678014019094978
GSM340552,0.36469242589043727
GSM340554,0.35367396971737375
GSM340555,0.4759659708913861
GSM340558,0.3956509728768491
GSM340559,0.4741514303965743
GSM340563,0.31744962966799617
GSM340564,0.4161944717805288
GSM340566,0.5456000414357489
GSM340567,0.4483317794927577
GSM340568,0.4603157749348252
GSM340569,0.4701123081438507
GSM340572,0.4320427824105248
GSM340575,0.37360801781737196
GSM340577,0.4093221802109769
GSM340580,0.37193418621916063
GSM340584,0.7155802731306437
GSM340585,0.37197519034547105
GSM340587,0.48353662747535453
GSM340589,0.38105868337908544
GSM340593,0.37961663300012016
GSM340594,0.42103900139845657
GSM340595,0.3996443431570588
GSM340596,0.6093277913019461
GSM340597,0.457476562904646
GSM340603,0.2957929766405968
GSM340605,0.8065511645171872
GSM340609,0.6079202707135583
GSM340611,0.6029553184509935
GSM340612,0.48381804526855576
GSM340613,0.558272042955059
GSM340614,0.49054401685053795
GSM340618,0.6007708775746275
GSM340619,0.611558415773208
GSM340620,0.6046511627906979
GSM340622,0.6010971840955783
GSM340623,0.6483762365981254
GSM340625,0.7275012517049086
GSM340626,0.6928911793649967
GSM340627,0.7812965073116829
GSM340630,0.8275236960687834
GSM340632,0.5536614526682897
GSM340633,0.6616399924034461
GSM340634,0.6023648590321296
GSM340636,0.2773497522487527
GSM340639,0.5258278517290791
GSM340640,0.5939870685934293
GSM340641,0.4677893164827953
GSM340646,0.2886932200756197
GSM340648,0.5275439823207468
GSM340649,0.4049291276048411
GSM340652,0.5376154589872411
GSM340653,0.31015046356243803
GSM340654,0.500671604426719
GSM340655,0.5939672139638472
GSM340656,0.5574001657429949
GSM340659,0.3821705426356591
GSM340662,0.15394416532863744
GSM340665,0.3803810362390156
GSM340666,0.6148896773191073
GSM340673,0.12406294780822133
GSM340676,0.6633198667150086
GSM340677,0.3344719531776039
GSM340678,0.43752568153174115
GSM340679,0.2724258041124979
GSM340680,0.5821373077122285
GSM340681,0.3646561696103312
GSM340683,0.6091633431743235
GSM340685,0.832133854733171
GSM340688,0.7481517929593756
GSM340689,0.4088568912829543
GSM340691,0.5667387476044954
GSM340693,0.7048842388770914
GSM340694,0.4053318312874431
GSM340697,0.4022655858842216
GSM340698,0.13807686331382432
GSM340700,0.4065938951330262
GSM340707,0.6456703958840488
GSM340708,0.5442162600783826
GSM340709,0.2288522297612268
GSM340710,0.48055195870237055
GSM340712,0.6444877505567927
GSM340713,0.7521162445399767
GSM340717,0.8134536696534931
GSM340718,0.7229985670136909
GSM340721,0.46032181764817526
GSM340725,0.35795307401460547
GSM340729,0.22682058320816298
GSM340730,0.57783748554065
GSM340734,0.7289989813711781
GSM340736,0.7098060289014346
GSM340737,0.6805001640165049
GSM340740,0.45265749900726854
GSM340741,0.545375597796999
GSM340743,0.5309507777835328
GSM340744,0.4372757721724419
GSM340747,0.5610775884394257
GSM340749,0.37444320712694856
GSM340751,0.16104305864884894
GSM340752,0.38464330726334167
GSM340753,0.8092000310768122
GSM340754,0.5837209302325583
GSM340755,0.5627919925415654
GSM340756,0.69808230175584
GSM340757,0.4407365204330041
GSM340760,0.30948792320574614
GSM340761,0.36071675212789794
GSM340762,0.5338305623176394
GSM340763,0.8965116279069767
GSM340764,0.693847222941593
GSM340765,0.7110793149289549
GSM340767,0.7485165138723435
GSM340771,0.6199979282125656
GSM340772,0.5348215673071939
GSM340778,0.5048790594085045
GSM340779,0.6680910205279604
GSM340780,0.4100550750159698
GSM340785,0.6015650627578946
GSM340787,0.4112856304276517
GSM340788,0.5273493206263702
GSM340791,0.5920598746568602
GSM340792,0.4289968232592668
