gene,cancer,role,blast_expr,normal_expr,suppression_pct,pval_supp,result
PAX5,B-ALL,SWITCH,0.1909,0.1363,-40.1,1.0,INVERTED
EBF1,B-ALL,SWITCH,0.5375,0.1876,-186.5,1.0,INVERTED
IKZF1,B-ALL,SWITCH,0.365,0.2456,-48.6,1.0,INVERTED
CD19,B-ALL,SWITCH,0.5317,0.1894,-180.7,1.0,INVERTED
MS4A1,B-ALL,SWITCH,0.2514,0.4012,37.3,2.7223409157998658e-36,CONFIRMED
CD34,B-ALL,SCAFFOLD,0.1829,0.058,-215.2,1.0,SCAFFOLD
MKI67,B-ALL,SCAFFOLD,0.1657,0.2374,30.2,3.314324865536365e-20,SCAFFOLD
CEBPA,B-ALL,CONTROL,0.0033,0.0781,95.8,0.0,CONTROL UNEXPECTED
SFTPC,B-ALL,CONTROL,0.0,0.0,0.0,1.0,CONTROL OK
CDX2,B-ALL,CONTROL,0.0012,0.0002,-552.3,0.9838746560282468,CONTROL UNEXPECTED
GATA3,T-ALL,SWITCH,0.2388,0.0817,-192.3,1.0,INVERTED
BCL11B,T-ALL,SWITCH,0.7784,0.2243,-247.0,1.0,INVERTED
TCF7,T-ALL,SWITCH,1.2683,0.3719,-241.0,1.0,INVERTED
CD3E,T-ALL,SWITCH,1.2815,0.7599,-68.6,1.0,INVERTED
TRBC1,T-ALL,SWITCH,2.1757,0.7195,-202.4,1.0,INVERTED
CD34,T-ALL,SCAFFOLD,0.0376,0.0144,-161.6,0.9999999999999978,SCAFFOLD
MKI67,T-ALL,SCAFFOLD,0.4342,0.0273,-1487.7,1.0,SCAFFOLD
CEBPA,T-ALL,CONTROL,0.0009,0.0022,56.7,0.02958477109797925,CONTROL UNEXPECTED
SFTPC,T-ALL,CONTROL,0.0,0.0,0.0,1.0,CONTROL OK
CDX2,T-ALL,CONTROL,0.0,0.0,0.0,1.0,CONTROL OK
