,depth_s2_luminal
GSM340549,0.42355064453496954
GSM340550,0.42248922491632795
GSM340552,0.4434039414150659
GSM340554,0.41494436795296424
GSM340555,0.5143603573234448
GSM340558,0.4733892098126042
GSM340559,0.5136027633246578
GSM340563,0.2856431449891754
GSM340564,0.47759395500841584
GSM340566,0.6162621130765412
GSM340567,0.4836330364393744
GSM340568,0.5099618904607944
GSM340569,0.48160541632646775
GSM340572,0.5050949892851119
GSM340575,0.4035270477036869
GSM340577,0.4301297387931471
GSM340580,0.46403103048982003
GSM340584,0.7160670780424694
GSM340585,0.4540041283510019
GSM340587,0.49306213759272927
GSM340589,0.3455261239687336
GSM340593,0.4301264553750651
GSM340594,0.4840850536619965
GSM340595,0.4595461002843442
GSM340596,0.6188378451146019
GSM340597,0.5174161250850949
GSM340603,0.40350712830065594
GSM340605,0.7612493186907481
GSM340609,0.6482520176604112
GSM340611,0.6528623744366202
GSM340612,0.6049214059158439
GSM340613,0.6464365063556026
GSM340614,0.49069654431191634
GSM340618,0.7047852535127103
GSM340619,0.7107225489831255
GSM340620,0.671093662784207
GSM340622,0.6724153480094827
GSM340623,0.7124542236795738
GSM340625,0.7813924319402155
GSM340626,0.7351673777090935
GSM340627,0.823705402973901
GSM340630,0.8333444239899661
GSM340632,0.611969372276131
GSM340633,0.7611418414721969
GSM340634,0.6280340424786742
GSM340636,0.1424795497777125
GSM340639,0.5973524705532122
GSM340640,0.6219973688876441
GSM340641,0.49526531112575245
GSM340646,0.23531644489001674
GSM340648,0.6275297094612786
GSM340649,0.512643786350174
GSM340652,0.6382266477833647
GSM340653,0.23882816997598713
GSM340654,0.3969899811969592
GSM340655,0.6246891150312691
GSM340656,0.5468484658776256
GSM340659,0.47577078239475007
GSM340662,0.029793735676088725
GSM340665,0.4818882280705979
GSM340666,0.6977294069490261
GSM340673,0.15883447413870502
GSM340676,0.6759568427527303
GSM340677,0.18022922636103167
GSM340678,0.524197040108046
GSM340679,0.2012319384643671
GSM340680,0.6329742733248552
GSM340681,0.33385926394522425
GSM340683,0.6919044043770155
GSM340685,0.8258982884636012
GSM340688,0.7859776158444622
GSM340689,0.4661260701206764
GSM340691,0.5958322479812453
GSM340693,0.5968102687806043
GSM340694,0.3992964729522963
GSM340697,0.46167112846701597
GSM340698,0.1220415855844813
GSM340700,0.39395938630727134
GSM340707,0.7005988954581572
GSM340708,0.616180903202646
GSM340709,0.20732158453378738
GSM340710,0.5250686781615486
GSM340712,0.7418384076735668
GSM340713,0.7947717039407582
GSM340717,0.8151065688062149
GSM340718,0.7668819129631534
GSM340721,0.4531412460790514
GSM340725,0.3113157531832739
GSM340729,0.14918034939946306
GSM340730,0.6035651353534379
GSM340734,0.7403256275159187
GSM340736,0.7779610411499849
GSM340737,0.7819619955301738
GSM340740,0.5415785798560115
GSM340741,0.6675515113573429
GSM340743,0.6341177783955465
GSM340744,0.4742604100770285
GSM340747,0.5734664795848006
GSM340749,0.4393994847222559
GSM340751,0.14478560374397237
GSM340752,0.4308008694491078
GSM340753,0.883954154727794
GSM340754,0.6317436482277208
GSM340755,0.5661295724332975
GSM340756,0.734307997749764
GSM340757,0.35392773415696077
GSM340760,0.2593751436495412
GSM340761,0.3516573600005253
GSM340762,0.568702677736893
GSM340763,0.903361344537815
GSM340764,0.6754862194943103
GSM340765,0.7118621139521188
GSM340767,0.7811056800943876
GSM340771,0.6410015738517341
GSM340772,0.5603039131776704
GSM340778,0.46261412614016717
GSM340779,0.7264737622061068
GSM340780,0.35221247655092236
GSM340785,0.6980137509549272
GSM340787,0.46430683760870833
GSM340788,0.5801631202103139
GSM340791,0.6735711111743472
GSM340792,0.4115177928425861
