,depth_s3_basal
TCGA-DK-AA6S-01,0.5839109413894297
TCGA-GU-A763-01,0.05308514336055912
TCGA-XF-A9T4-01,0.5405730408446336
TCGA-FD-A5C1-01,0.594771090548132
TCGA-GU-A42Q-01,0.5366144458451219
TCGA-XF-AAMH-01,0.5085796911775586
TCGA-G2-A2EF-01,0.8031740222312995
TCGA-XF-A9T2-01,0.5798620773828236
TCGA-C4-A0F7-01,0.44536668355397174
TCGA-G2-A2EK-01,0.24988713294934173
TCGA-GC-A3I6-01,0.4345780562543143
TCGA-UY-A8OC-01,0.6656601677399325
TCGA-FD-A3B7-01,0.7013828673585458
TCGA-ZF-A9R1-01,0.23118967368089832
TCGA-4Z-AA7Q-01,0.4450791374815487
TCGA-C4-A0EZ-01,0.5862343416155185
TCGA-XF-A9SY-01,0.8529211760975792
TCGA-DK-AA75-01,0.16616793409780375
TCGA-DK-A6B5-01,0.3853446890664876
TCGA-YC-A9TC-01,0.6201350102323266
TCGA-BT-A42F-01,0.6158159853043697
TCGA-2F-A9KT-01,0.38307016541655753
TCGA-E7-A677-01,0.29670714232091544
TCGA-YF-AA3M-01,0.27115920421269923
TCGA-CU-A0YR-01,0.46271631526496276
TCGA-FD-A43S-01,0.4645219356492789
TCGA-K4-A4AC-01,0.5975937946017327
TCGA-K4-A6MB-01,0.36876010921188396
TCGA-GU-A766-01,0.7126990528884769
TCGA-HQ-A5ND-01,0.374787435681604
TCGA-E7-A7XN-01,0.4122059644457473
TCGA-XF-AAMW-01,0.6432702497112651
TCGA-GC-A4ZW-01,0.2573566999425127
TCGA-GV-A40E-01,0.5627654587384567
TCGA-DK-A2I2-01,0.7451044483812104
TCGA-FD-A3SQ-01,0.5268240571294653
TCGA-K4-A5RI-01,0.4109291518105391
TCGA-XF-A9T8-01,0.6814431199327495
TCGA-UY-A9PA-01,0.2558518460719479
TCGA-HQ-A2OF-01,0.27436595235178446
TCGA-DK-AA71-01,0.19131837557043269
TCGA-CF-A5UA-01,0.1646013883976406
TCGA-XF-A9SL-01,0.5331276841573918
TCGA-HQ-A5NE-01,0.504953732698288
TCGA-FD-A3N5-01,0.6257154322265961
TCGA-E7-A3Y1-01,0.21014184573427988
TCGA-K4-A5RJ-01,0.6981327146438983
TCGA-CF-A5U8-01,0.04968053332566227
TCGA-DK-AA6W-01,0.5745105049953046
TCGA-DK-A3IS-01,0.15484988965573665
TCGA-G2-A2EO-01,0.3982713421839201
TCGA-FD-A5BU-01,0.702709076357835
TCGA-GV-A3JX-01,0.30112681881056813
TCGA-FD-A62S-01,0.7490804168989424
TCGA-BT-A2LB-01,0.407510883880684
TCGA-FD-A6TI-01,0.31173483338616015
TCGA-ZF-A9RD-01,0.667422569007646
TCGA-GD-A3OS-01,0.7829126932316504
TCGA-FD-A3B8-01,0.7173096278992009
TCGA-GU-A762-01,0.6864120794397824
TCGA-CF-A1HS-01,0.6013244208357996
TCGA-YC-A8S6-01,0.5167502247205051
TCGA-ZF-AA4W-01,0.5814085160994789
TCGA-BT-A42E-01,0.7541484171987509
TCGA-BT-A20U-01,0.4668131008069598
TCGA-GU-A764-01,0.6512685894368072
TCGA-ZF-AA4R-01,0.49407555558999516
TCGA-FD-A3SN-01,0.49518747651321077
TCGA-4Z-AA86-01,0.7008786246021401
TCGA-CF-A47V-01,0.2598063505217417
TCGA-FD-A5BR-01,0.3886728649196728
TCGA-XF-AAN4-01,0.7507032875962569
TCGA-PQ-A6FN-01,0.5468341051522942
TCGA-XF-A9T6-01,0.45768932865769074
TCGA-ZF-A9RE-01,0.26504845589920556
TCGA-DK-A1A5-01,0.4481474739342701
TCGA-ZF-AA56-01,0.45803096396293963
TCGA-GC-A3WC-01,0.6211157940642832
TCGA-4Z-AA7N-01,0.499683563053552
TCGA-FD-A3B5-01,0.472173231696689
TCGA-FJ-A871-01,0.810311278387478
TCGA-XF-AAMT-01,0.6328771705691159
TCGA-FD-A6TD-01,0.5483482061868141
TCGA-UY-A78L-01,0.5049348160079108
TCGA-ZF-AA4V-01,0.5023754862353544
TCGA-GC-A3YS-01,0.578525767809922
TCGA-BL-A3JM-01,0.6757222995744006
TCGA-E5-A2PC-01,0.23988128724379623
TCGA-FD-A5C0-01,0.31836638382558635
TCGA-FD-A62P-01,0.5232390701337057
TCGA-G2-A3IB-01,0.46612843585503017
TCGA-XF-AAME-01,0.6796876231284688
TCGA-GC-A3BM-01,0.24109512858336118
TCGA-FD-A43Y-01,0.5570786555675014
TCGA-2F-A9KR-01,0.2686414375138637
TCGA-ZF-A9RC-01,0.41927067441522503
TCGA-DK-A3WX-01,0.7051033709715097
TCGA-CU-A0YN-01,0.6966155208983991
TCGA-FD-A3SP-01,0.7793341896341284
TCGA-FD-A5BT-01,0.7129626017421424
TCGA-E7-A97P-01,0.5089979029320352
TCGA-E7-A6MF-01,0.15609670738848713
TCGA-CU-A3KJ-01,0.660012688026872
TCGA-CF-A1HR-01,0.2760718112516187
TCGA-CF-A47Y-01,0.1717628381175664
TCGA-4Z-AA82-01,0.6748589560705629
TCGA-GC-A3RC-01,0.7886701907117916
TCGA-E7-A678-01,0.024352235270456376
TCGA-UY-A9PB-01,0.6896904727233939
TCGA-BT-A0S7-01,0.4920369306355537
TCGA-XF-A8HI-01,0.19607024806137732
TCGA-E7-A3X6-01,0.3055957140260399
TCGA-DK-AA6Q-01,0.42205677291330457
TCGA-FD-A3B4-01,0.8370648813729489
TCGA-DK-AA6M-01,0.55069753843321
TCGA-C4-A0F1-01,0.7600392421419713
TCGA-ZF-AA53-01,0.6311061606912411
TCGA-BT-A3PK-01,0.7267570587700177
TCGA-SY-A9G5-01,0.498240377314533
TCGA-UY-A78P-01,0.5001892059284425
TCGA-DK-A3WW-01,0.5437060325395009
TCGA-ZF-A9R5-01,0.08859724226930608
TCGA-DK-A1AG-01,0.21282779878211638
TCGA-ZF-A9R2-01,0.03893610584642754
TCGA-K4-A4AB-01,0.4238879280687211
TCGA-BT-A3PJ-01,0.7742997326368621
TCGA-FD-A3B6-01,0.6532876801332442
TCGA-ZF-AA5N-01,0.36719744907056123
TCGA-CU-A72E-01,0.4691479055569477
TCGA-XF-AAN5-01,0.4878969134008545
TCGA-XF-AAN3-01,0.44940620147702676
TCGA-GD-A3OQ-01,0.3933231037697566
TCGA-DK-A1AE-01,0.4211140414048651
TCGA-GU-AATQ-01,0.35972357443175035
TCGA-XF-A8HB-01,0.14593961462135635
TCGA-DK-AA77-01,0.20062808754373548
TCGA-E7-A6MD-01,0.32268640635656437
TCGA-ZF-A9RN-01,0.41536446674188826
TCGA-CF-A3MH-01,0.1340655055519929
TCGA-4Z-AA7W-01,0.5438508224165111
TCGA-GC-A6I1-01,0.6275164059593908
TCGA-DK-A1AA-01,0.22724794581305027
TCGA-DK-A6AV-01,0.25830571873966585
TCGA-DK-AA74-01,0.6364471419174056
TCGA-FD-A3N6-01,0.7122846819293864
TCGA-DK-AA6R-01,0.5530001555896262
TCGA-4Z-AA89-01,0.0533411135121324
TCGA-BT-A20X-01,0.6694843877613434
TCGA-DK-A1AB-01,0.6035335608880976
TCGA-DK-A3IU-01,0.6391653120339932
TCGA-C4-A0F0-01,0.8723221391935154
TCGA-FD-A62N-01,0.7273678872228114
TCGA-DK-A3WY-01,0.7158076701979346
TCGA-XF-AAMR-01,0.49302303523987695
TCGA-FD-A6TF-01,0.5244496959877504
TCGA-E5-A4TZ-01,0.35317499737834723
TCGA-BL-A13J-01,0.42823594502992635
TCGA-DK-A1A6-01,0.32071885924461974
TCGA-G2-A2ES-01,0.6740539666864876
TCGA-CU-A0YO-01,0.37812475384542144
TCGA-BT-A20T-01,0.4075800486154673
TCGA-K4-A6FZ-01,0.3593200875010935
TCGA-G2-A2EJ-01,0.5887765532443748
TCGA-XF-A8HE-01,0.5371591863180603
TCGA-XF-A9SI-01,0.5485482684763363
TCGA-XF-A9T5-01,0.5303100958849798
TCGA-XF-AAN7-01,0.6889188181132997
TCGA-BT-A0YX-01,0.506474987989945
TCGA-DK-A1AF-01,0.5500904048922983
TCGA-K4-A3WV-01,0.38459122919688926
TCGA-FD-A5BY-01,0.4666687160785857
TCGA-BT-A20V-01,0.29087135233688455
TCGA-ZF-AA4U-01,0.09455200136977612
TCGA-PQ-A6FI-01,0.6405253492640244
TCGA-DK-A3IM-01,0.6427521020172435
TCGA-G2-A2EL-01,0.4822445847569778
TCGA-FD-A5BS-01,0.7170029968910585
TCGA-DK-A3X2-01,0.3124375018034796
TCGA-FD-A3SS-01,0.3726786268134792
TCGA-DK-AA6X-01,0.3243416488880213
TCGA-XF-A9SK-01,0.4665194853275052
TCGA-BT-A20Q-01,0.42456939769627444
TCGA-XF-A9SM-01,0.6484971169220266
TCGA-FD-A5BX-01,0.7518922739450483
TCGA-FD-A3B3-01,0.756347139208031
TCGA-UY-A78M-01,0.3776810676852617
TCGA-BT-A20J-01,0.523538960679446
TCGA-XF-AAN2-01,0.3389251148656399
TCGA-4Z-AA7O-01,0.2887452240280788
TCGA-DK-AA6L-01,0.37110434344100585
TCGA-K4-A3WU-01,0.39903416609698344
TCGA-ZF-AA58-01,0.9034637969234482
TCGA-ZF-AA4N-01,0.8767472147811999
TCGA-BL-A5ZZ-01,0.8407300342082126
TCGA-DK-A3IN-01,0.5063581232170199
TCGA-XF-AAN0-01,0.38864875160734025
TCGA-G2-AA3C-01,0.8413690825972131
TCGA-FD-A6TK-01,0.6036034704846993
TCGA-UY-A8OB-01,0.4278222915793407
TCGA-DK-A3IQ-01,0.7537275877579861
TCGA-KQ-A41S-01,0.47474134241161836
TCGA-LC-A66R-01,0.5441886382272598
TCGA-FD-A3SO-01,0.6739690101986279
