prediction,gene_or_axis,stratum,n_high,n_low,p_value,HR_approx,direction_correct,confirmed,note
S2-P1,depth_score,A,89,88,0.5252457743595847,1.2624079030878335,True,NOT CONFIRMED,
S2-P7,depth_score,B,59,58,0.06405506720558395,3.1117892381243006,True,CONFIRMED,HR_A=1.262
S2-P1-C,depth_score,C,26,26,0.16777227152518767,3.2528371210998843,True,SEE NOTE,Stratum C purity check
S2-P2,CLDN3,A,89,88,0.4072595614327311,0.6406236979287229,True,NOT CONFIRMED,HR<1.0 = high CLDN3 = better survival (CLDN3-low = worse)
S2-P3,immune_composite,A,89,88,0.9504891268883642,1.044107914170266,False,NOT CONFIRMED,HR<1.0=immune-high=better
S2-P4,MKI67,A,89,88,0.9819277755742554,1.067546732433667,True,NOT CONFIRMED,
S2-P5a,CL vs LumA,A,266,354,0.1582760381105983,1.2460510062141676,True,CONFIRMED,expect HR>1.0
S2-P5b,CL vs TNBC,A,266,117,0.2908685017783433,1.3349536460029958,True,CONFIRMED,expect p>0.10 (comparable)
S2-P6,PARP1,A,89,88,0.6718060038012044,0.8637503268577054,True,CONFIRMED (null as predicted),negative prediction: expect p>0.10
S2-P8,CD274,A,89,88,0.7849594748537152,1.0920063292645206,True,CONFIRMED (null as predicted),negative prediction: expect p>0.10
