sample,depth_score,ct_composite,GAGE1,GAGE2D,GAGE4,GAGE12D,GAGE12J,CT45A3,CT45A4,STRA8,DPPA2
TCGA-AR-A5QQ-01,1.6567256432529938,0.9927398652740058,0.0,0.0,1.3163,0.0,0.0,0.0,0.0,1.3163,4.5146
TCGA-BH-A0BQ-01,0.027975162481822025,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A8-A096-01,0.5985270688340054,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BH-A0HA-01,-0.25725449112111026,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-LL-A440-01,0.9288166901174946,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BH-A1EO-01,1.1013376986632493,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AR-A24S-01,0.5808165553834778,-0.04321357544689184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6656,0.3708
TCGA-LD-A74U-01,0.16017316921696464,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-E2-A1IJ-01,0.7855710974075899,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A1-A0SH-01,1.207679135511603,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-E9-A22B-01,-0.23724154849646178,-0.0926859689275202,0.0,0.0,0.0,0.0,0.0,0.3999,0.0,0.0,0.0
TCGA-AO-A0J9-01,0.6541369627158535,0.12525494292436845,0.0,0.0,0.0,0.0,0.0,0.6875,0.6875,0.0,0.0
TCGA-D8-A1Y2-01,0.62645104241136,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-E9-A229-01,-0.11038868350894615,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-E2-A14Z-01,-0.41543720591922606,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A2-A04P-01,0.16924891400631453,0.889726812327639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8849,2.6292
TCGA-GM-A3XN-01,0.2690604275065613,-0.09499364079338629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4382
TCGA-A2-A0CZ-01,0.8493596176159017,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A8-A0A1-01,0.569542672017705,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AO-A12F-01,1.4698145098529338,-0.10523394703967436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.749,0.0
TCGA-AC-A3HN-01,0.7289822040045744,-0.14514399181084978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373,0.0
TCGA-E9-A1N4-01,1.1269072913072504,-0.12443968828205731,0.3181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AQ-A1H3-01,0.041126544463797376,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-D8-A1JP-01,0.23269224371793873,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A8-A0A4-01,-0.2854404990880167,-0.11311095688748504,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.0,0.0
TCGA-XX-A899-01,0.9631462056186473,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A2-A25A-01,0.4537158966208684,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-E9-A1R5-01,0.05977786332644171,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AR-A1AJ-01,0.3298441411274923,0.019285004887881704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0335,0.0
TCGA-D8-A73W-01,0.17299131831945583,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AC-A7VC-01,5.03084007820093,-0.07241567480300624,0.0,0.6999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-S3-AA0Z-01,1.4907218868825203,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BH-A0DI-01,0.6842859132469383,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A2-A0T6-01,0.9752303111828967,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A2-A1FZ-01,0.2726493756469839,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-XX-A89A-01,0.2915315262797709,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BH-A8FZ-01,0.04771580753536264,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-D8-A146-01,-0.07852193704854615,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AR-A24Z-01,-0.6617700316852753,0.2466726959872264,0.0,0.0,0.0,3.2778,0.0,0.0,0.0,0.0,0.0
TCGA-A8-A075-01,0.10940534928574727,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BH-A28O-01,-0.1973879120341174,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BH-A201-01,0.8583202399046781,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BH-A0WA-01,0.3076045027323353,-0.038394073661667444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4385,0.0
TCGA-AC-A3W6-01,0.5941282742507769,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BH-A0BC-01,-0.05152857299772273,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A7-A26E-01,-0.48467613325928705,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BH-A2L8-01,-0.08760011768370785,-0.13495563692755966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4424,0.0
TCGA-E9-A1N8-01,0.1264357113217644,0.02576057202588146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1003,0.0
TCGA-BH-A18I-01,0.3819625389429196,-0.04125480713924588,0.0,0.0,0.0,0.0,0.6176,0.0,0.0,0.0,0.0
TCGA-E2-A108-01,1.224337755796931,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-HN-A2OB-01,0.4507041269845261,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AO-A0JC-01,1.2245555013253218,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-MS-A51U-01,0.13290217866549628,-0.1016463167442699,0.0,0.0,0.0,0.0,0.0,0.0,0.3343,0.0,0.0
TCGA-AR-A24W-01,0.28101736135176963,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-EW-A1P7-01,1.1921271081698432,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-E2-A1LS-01,0.5848897812229665,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A8-A08H-01,2.146447579935977,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AR-A0TT-01,0.42561549039041546,-0.06872257852002157,0.0,0.0,0.0,0.0,0.4934,0.0,0.0,0.0,0.0
TCGA-D8-A1JJ-01,-0.08060263150029344,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-S3-AA15-01,1.0849582315163775,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A2-A4RY-01,-0.42470793424277303,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-E9-A1R3-01,0.2596582323002989,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A2-A0EO-01,0.4541244788739206,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A2-A0YL-01,0.11335298864565374,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AR-A1AY-01,0.7431447027020766,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-AR-A24L-01,0.33470445811041855,1.0511667894804133,2.2192,0.0,1.7444,2.9125,1.0319,0.0,0.0,0.0,0.0
TCGA-AN-A0FX-01,0.9006731239940707,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-EW-A3E8-01,-0.41781210293887233,-0.1778417282726362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
