analysis,prediction,gene,stratum,n_high,n_low,p_value,HR_approx,direction_correct,confirmed,note
A,S3-P1,FOXP3/CD8A,A,268,0,0.3203859823086428,0.06092612735460066,False,NOT CONFIRMED,correlation not survival
A,S3-P2,FOXP3/CD8A,B,59,59,0.1780144858385312,2.160462424805097,True,NOT CONFIRMED,
A,S3-P3,composite_treg,B,59,58,0.1709902497624073,2.2122585476706953,True,CONFIRMED,best_other=Composite Treg:Eff p=0.171
B,S3-P4,ct_composite,A,268,0,0.052639254150642724,0.11851063026017675,False,NOT CONFIRMED,genes_above_0.20=0
B,S3-P5,ct_composite,B,59,58,0.7631863827993228,1.218727462971532,True,NOT CONFIRMED,
B,S3-P6,ct_vs_treg_ratio,A,268,0,0.09760505031848428,0.10140452447371719,False,NOT CONFIRMED,
C,S3-P7,lineage_memory_OS,B,87,89,0.878085884519471,1.043169965553746,True,NOT CONFIRMED,memory-low in n_high position
C,S3-P8,ct_vs_memory,B,88,89,8.860986321137973e-09,,True,CONFIRMED,
C,S3-P9,depth_vs_memory,B,88,89,5.515060420205348e-08,3.1697775013893303,True,CONFIRMED,
C,S3-P10,treg_ratio_vs_memory,B,88,89,0.008036377343692634,1.0686034736254535,True,CONFIRMED,
