prediction,dataset,n_high,n_low,p_value,HR_approx,direction_correct,confirmed,note
EXT-P1,METABRIC,79,79,0.991269697935147,1.0254218505069117,False,NOT CONFIRMED,
EXT-P2,METABRIC,238,237,0.9101497725926928,0.9737426154378183,False,NOT CONFIRMED,
EXT-P2b,METABRIC,237,238,0.0013840443402530894,1.5097437405170944,True,CONFIRMED,
EXT-P3,METABRIC,237,238,0.4550455792101826,1.0859380416175706,True,CONFIRMED,negative prediction
EXT-P5,METABRIC,94,93,0.32706771066229706,0.8150437995431239,False,NOT CONFIRMED,
EXT-P6,METABRIC,238,238,0.00044823121124592055,-0.9999999999999996,True,CONFIRMED,
EXT-P7,METABRIC,237,238,0.53323783116704,1.0888943181246993,True,CONFIRMED,negative prediction
EXT-P8,GSE96058,1021,0,,,False,canonical CL N/A in SCAN-B PAM50,
EXT-P1b,GSE96058,170,170,0.024969872717091324,2.0983686854964927,True,CONFIRMED,
EXT-P9,GSE96058,0,0,,,False,canonical CL N/A in SCAN-B PAM50,
EXT-P4,GSE96058,0,0,,,False,canonical CL N/A in SCAN-B PAM50,
