,FOXA1,GATA3,ESR1,PGR,SPDEF,EZH2,EED,SUZ12,HDAC1,HDAC2,KDM1A,DNMT3A,DNMT3B,BRD4,SOX10,KRT5,KRT14,VIM,EGFR,FOXC1,CDH3,ERBB2,GRB7,STARD3,CDH1,CDH2,CTNNA1,CD44,CD24,ALDH1A3,SNAI1,ZEB1,FN1,CLDN3,CLDN4,CLDN7,ZEB2,SNAI2,TWIST1,CDKN1A,CDKN2A,RB1,MKI67,TOP2A,CCND1,CDK4,CDK6,AR,GAGE1,GAGE2A,MAGEA4,CTAG1B,SYCP1,CD274,CD8A,FOXP3,TIGIT,GZMB,PRF1,CDX2,SPI1,MBP,NKX2-1,OLIG2,TTF1,ASCL2,TFF1,TFF3,GREB1,PDZK1,AGR2,CELSR2
TCGA-AR-A5QQ-01,6.4746,9.2703,7.4043,6.8611,6.705,9.3193,9.1379,9.9751,12.1601,10.4583,11.3534,8.1977,7.4906,10.489,6.5221,18.0686,18.7069,15.4235,9.3294,9.2362,13.9286,10.9073,8.1353,10.5548,11.9647,8.1656,12.9564,14.9815,12.6845,8.8361,7.1855,7.9478,16.3438,6.0461,11.2743,8.5142,9.0554,12.0149,8.8424,12.9708,5.5908,9.8885,11.314,12.0403,12.3314,12.3054,11.1873,2.9918,0.0,1.8007,0.0,0.0,0.9953,8.0887,9.3937,8.3122,8.046,9.1989,8.6273,0.5819,10.3438,9.3515,1.8007,2.3145,8.6399,6.7981,5.4503,5.759,5.5908,4.4505,8.1531,10.6386
TCGA-D8-A1JA-01,13.318,11.6533,6.7329,4.2385,11.0853,7.7149,8.4761,10.9842,11.5194,11.6608,10.2454,9.5067,6.2381,10.4531,0.0,2.7416,0.0,13.2601,11.3976,6.1854,12.3639,15.8848,12.1112,12.1367,14.8537,6.8728,13.4245,13.327,15.6752,12.9786,6.6182,9.7329,17.3728,8.9965,11.5768,10.0388,10.0558,9.8687,7.457,11.9008,5.8817,10.7024,10.7196,10.9164,12.4967,10.567,9.6257,10.6525,0.0,0.0,0.0,1.0589,1.0589,5.1784,5.0427,6.1414,4.6808,3.5649,4.9697,0.0,7.1119,8.2276,0.0,0.0,8.3063,7.0513,7.4436,9.8658,6.212,2.6197,14.0568,11.1143
TCGA-BH-A0BQ-01,12.5822,13.9195,12.2956,11.0029,11.8695,8.1815,8.3704,9.4818,10.919,10.3035,11.1257,9.2471,5.9681,10.7877,8.308,12.0299,11.9467,14.8057,7.9642,7.8608,10.4527,13.4812,9.4513,9.7755,12.5263,7.7115,13.5207,13.3607,12.9514,9.5822,6.7405,9.9883,17.3871,9.974,12.5656,10.7223,9.1814,9.594,7.975,10.8459,7.639,9.9733,9.2767,9.5507,12.7609,11.327,8.8373,9.2993,0.0,0.0,0.0,0.5526,0.0,4.1154,8.6218,6.5454,5.9464,6.5525,6.9125,0.0,8.7272,8.4725,0.0,0.0,8.5391,5.2428,10.362,10.9773,10.1136,4.4897,11.5926,12.8487
TCGA-BH-A0BT-01,13.5317,13.4787,12.8416,12.666,13.7347,7.7912,8.8065,9.5784,10.6909,10.3823,10.8247,9.2715,7.876,10.5643,6.3628,10.5983,10.5771,13.7651,6.598,6.6704,10.1759,13.9334,8.8286,9.8849,12.6518,6.0652,12.6034,11.4073,13.791,7.9698,5.8422,8.6787,15.7573,11.1789,12.8018,11.9358,7.9247,7.9651,6.2654,9.3784,6.9374,10.0034,8.9864,10.0189,12.2457,11.9458,10.2824,7.833,0.0,1.8814,2.0242,0.0,3.5051,4.9501,7.766,7.1591,6.5397,6.1765,6.1841,0.0,8.1439,7.0668,0.0,0.8213,7.9292,4.6083,12.7123,13.6051,12.1164,10.3083,12.5552,11.5197
TCGA-A8-A06X-01,12.4692,14.6158,14.6751,4.7189,10.792,9.0847,8.8093,9.5813,11.5363,12.0581,11.205,9.648,8.5298,11.0857,0.5819,0.5819,0.9953,13.3249,4.2006,6.1806,3.7987,12.9645,8.3787,9.148,13.8084,4.9452,12.8116,15.4727,16.6448,7.3798,5.8735,8.7324,15.5383,11.9636,12.8843,10.8279,8.6824,7.7688,6.1707,10.6507,6.002,9.9177,12.1361,11.2743,13.1685,10.6529,7.7422,7.8267,0.0,0.5819,1.5787,0.5819,0.0,5.5908,7.8456,6.6508,6.7456,6.3217,7.0729,0.0,8.4965,9.0405,0.0,0.0,8.2504,4.0356,4.7724,5.1407,11.4326,7.4253,8.1148,12.159
TCGA-A8-A096-01,13.1416,13.5689,13.9249,8.3578,11.7289,7.5882,8.2824,10.0631,10.9752,10.8478,10.715,9.1539,5.5793,10.8121,0.2738,6.3882,1.032,14.7692,6.5417,5.801,9.1977,12.5698,8.6941,9.4487,12.2529,7.3204,13.5185,13.2594,10.5312,8.0811,6.5056,10.1164,17.7716,8.5774,10.473,10.5144,10.3229,8.8879,7.0764,11.0958,8.0496,10.8451,11.4888,11.6204,13.7666,10.5674,8.6414,9.978,0.0,0.0,0.0,0.0,0.0,6.7066,8.886,7.6277,7.0719,5.9003,7.1631,0.0,9.8483,9.2282,0.0,0.0,8.4199,5.0971,11.0112,11.5844,9.5268,9.191,12.4095,12.2032
TCGA-BH-A0C7-01,12.8982,14.194,14.6543,7.5978,11.317,10.2182,9.0982,11.3033,11.4713,11.5952,10.8159,9.4058,7.504,11.0902,6.807,10.2479,9.1678,13.5902,8.2465,6.8886,9.4327,13.3987,8.9833,10.3562,14.3644,6.6772,13.1802,13.9952,14.5816,7.809,6.0697,10.0082,17.0267,10.7991,12.4467,10.5218,9.4338,9.2869,6.879,10.5464,6.8336,8.9133,12.9745,13.7372,11.986,10.9044,9.4824,10.3716,0.0,0.0,0.0,1.85,0.0,4.6569,7.2733,5.8797,5.4155,5.2176,5.2575,0.605,7.4166,8.5828,0.0,0.0,8.9063,3.2228,12.3492,8.608,11.2022,9.5466,12.5519,11.749
TCGA-AC-A5XU-01,13.0786,13.6414,13.8164,11.8226,11.762,9.2923,7.9782,9.6445,11.0939,11.7686,11.0698,9.6319,7.2242,11.0867,4.4072,9.4198,9.5712,14.4408,5.0895,6.1961,9.4657,12.3627,9.5125,9.7401,13.7804,7.3256,12.9421,12.0992,15.2516,8.6952,7.5842,8.9535,16.6599,10.3889,11.9837,11.048,8.7684,8.6932,7.8721,11.5326,9.093,10.3173,10.475,11.8184,14.8437,11.4731,7.7679,6.5293,0.0,0.0,0.0,0.0,0.0,3.3689,6.8972,5.9159,4.8185,2.6878,5.6986,0.0,8.4178,7.1192,0.0,0.0,9.0535,5.7516,9.7745,10.1247,10.5948,8.2081,15.2893,10.815
TCGA-PE-A5DE-01,12.9659,14.0502,12.9167,11.4055,12.6283,8.5055,8.882,9.7511,11.508,10.4375,10.7057,9.301,5.6778,10.7368,6.4891,10.6281,10.255,14.2954,6.1533,7.269,9.5504,11.9588,8.4051,9.896,12.7211,5.4178,13.1918,12.7166,11.5277,9.1348,6.3069,9.2177,14.8058,9.8215,12.142,10.9449,9.6756,8.3195,6.323,11.4158,7.6014,10.5554,9.9207,10.5719,12.9514,10.9719,8.571,8.1938,0.0,0.0,0.0,0.0,2.3211,6.2824,11.0824,7.4596,8.6158,8.388,9.3232,0.0,10.2497,9.7489,0.0,0.0,8.7661,6.6824,13.9062,12.6463,10.096,10.7402,14.6381,12.0574
TCGA-PE-A5DC-01,12.6966,13.9379,12.656,10.4754,12.5216,9.266,8.0729,9.9196,11.3793,10.4417,10.7066,10.2628,8.2276,10.8219,7.366,10.7446,11.4995,14.2116,5.8055,7.6295,7.9329,13.0382,9.8688,10.7849,13.6325,5.7026,13.5121,12.6209,13.6025,8.0612,7.4321,8.845,15.183,12.5539,12.9216,9.9067,8.107,7.6169,10.7943,11.3275,6.4116,9.8003,11.4206,12.3109,14.8997,11.2262,7.0805,6.9262,0.0,0.0,0.0,2.0017,1.442,3.5522,7.2283,4.4531,4.3137,4.4894,5.8602,0.0,8.2255,7.2033,0.0,0.0,8.7374,9.2001,12.3123,12.4383,11.3791,9.4249,13.1656,10.1835
TCGA-AR-A0TV-01,12.3653,13.5125,15.4834,12.1999,11.6311,8.2129,7.8248,10.1642,11.5573,11.2099,11.2386,9.9281,6.1916,10.731,1.0356,2.6437,1.2629,13.354,3.2852,5.5281,7.2759,11.8076,8.6373,9.7431,12.6669,4.5697,12.0975,13.5186,3.8726,8.849,6.2257,8.1037,14.5082,10.2105,11.5048,10.7508,8.9859,6.6393,4.6523,10.8458,7.7281,9.6067,11.6171,12.3445,15.0693,11.2715,7.1501,5.3289,0.0,0.0,0.0,0.0,0.0,5.6537,8.8115,6.6195,7.4155,6.8465,7.4185,0.0,9.0037,9.5117,0.0,0.0,8.5226,5.1556,5.9435,7.7233,9.4129,5.068,11.6216,9.9056
TCGA-GM-A3XG-01,12.0692,13.181,10.9624,12.5305,12.3328,7.4642,8.9159,9.4638,11.3061,10.924,11.1375,8.9128,6.4031,10.3333,11.1683,14.9731,14.5204,15.0721,7.602,8.0765,12.4758,13.4779,9.9708,10.2014,13.4856,4.8804,13.0219,12.5803,14.0547,8.6188,5.6617,8.0159,12.8387,10.7283,12.0567,11.441,7.3916,10.7168,7.7419,10.6511,6.677,9.5337,7.1308,7.6351,11.6424,11.331,8.5403,6.1446,0.0,0.0,0.0,0.0,0.0,2.1603,6.4207,4.7309,3.2743,2.9892,3.7907,0.0,7.6749,8.5736,0.0,0.0,8.6689,5.0104,12.2405,12.2052,11.8479,10.5605,13.2758,11.6805
