gene,ilc_mean,norm_mean,pct_change,pval,prediction,status
CDH1,10.73735931372549,12.555689723320159,-14.48212284361738,3.0214367101655605e-33,P1: CDH1 structural axis,NOTE-mRNA-intact-mutation-only-ILC
CDH3,9.148992156862747,9.692436363636364,-5.60688960324245,2.162033307696568e-07,P1: CDH1 structural axis,INFO
CTNND1,12.778731372549021,13.105157707509882,-2.4908234013376473,2.904997517805159e-09,P1: CDH1 structural axis,INFO
CDH2,5.4061700980392144,5.598839130434783,-3.441231796574347,0.6397057779550093,P1: CDH1 structural axis,INFO
ESR1,12.687100490196077,11.59944466403162,9.376792231589654,2.1145290506794187e-08,P2: Luminal TF retention,CONFIRMED
FOXA1,12.515100490196078,10.84466956521739,15.403244100090768,1.600705634658205e-15,P2: Luminal TF retention,CONFIRMED
GATA3,13.367193137254903,11.950677865612647,11.853011917576598,1.0537450890425485e-20,P2: Luminal TF retention,CONFIRMED
PGR,10.167504901960786,9.71877747035573,4.617118078624256,0.014922923857261865,P2: Luminal TF retention,CONFIRMED
KRT8,14.404917156862746,13.219608300395256,8.966293323774579,1.2070083063719216e-16,P2: Luminal TF retention,CONFIRMED
KRT18,13.893940686274512,12.730722924901187,9.13709117883699,3.3557655606642264e-17,P2: Luminal TF retention,CONFIRMED
SPDEF,11.957083333333333,10.049839920948617,18.977848676068156,1.5806766605331348e-28,P2: Luminal TF retention,CONFIRMED
EZH2,8.213167156862745,7.5441098814229255,8.868604592933451,5.449235037479495e-08,P3: EZH2 elevation,NOT CONFIRMED
EED,8.38471568627451,8.560120158102766,-2.0490888981531867,1.7958209016845234e-05,P3: PRC2 complex,INFO
SUZ12,9.904238725490195,10.00073557312253,-0.9648975010565651,0.1053386983511195,P3: PRC2 complex,INFO
DNMT3A,9.154533333333333,8.897651383399209,2.8870759132393253,7.072294395920766e-08,P4: DNA methylation axis,INFO
DNMT1,10.817994607843142,10.49742490118577,3.053793760612287,1.6887247051454222e-09,P4: DNA methylation axis,INFO
DNMT3B,6.568591666666668,6.38657747035573,2.849948930484041,0.002443533415978683,P4: DNA methylation axis,INFO
MKI67,9.773313725490196,9.24149090909091,5.754729638657423,0.01237666664645139,P5: Proliferation,INFO
TOP2A,10.27633774509804,9.481975889328062,8.377598351246917,0.0007552809654185113,P5: Proliferation,INFO
PCNA,10.817479901960784,10.635779841897234,1.7083849305321634,0.0010822558586439496,P5: Proliferation,INFO
CCNB1,9.22608137254902,8.68675256916996,6.208635495077703,5.95683527402296e-06,P5: Proliferation,INFO
CDK2,9.372320588235294,9.350522924901185,0.23311705141174419,0.3949243997693468,P5: Proliferation,INFO
CDK4,11.07247205882353,10.961245454545454,1.0147259701401252,0.0012343726198232859,P5: Proliferation,INFO
CCND1,12.92647205882353,12.496871541501974,3.4376645058313713,7.175599622939072e-05,P5: Proliferation,INFO
AURKA,7.70025637254902,7.314466007905138,5.274347631487205,0.0018818857597856782,P5: Proliferation,INFO
AKT1,12.08622205882353,11.739016600790514,2.9577048047588206,1.2769791680691244e-13,P6: PI3K pathway,NOT CONFIRMED
AKT2,11.413386274509802,11.304017391304349,0.9675222482370377,0.0011070356830371918,P6: PI3K pathway,INFO
MTOR,10.37880637254902,10.733752964426879,-3.3068265410448716,2.0382777039592575e-15,P6: PI3K pathway,NOT CONFIRMED
PTEN,10.782258333333333,11.269149802371542,-4.320569675413712,1.9969169154345718e-19,P6: PI3K pathway,PARTIAL
PIK3CA,8.665913235294118,9.475955731225296,-8.54839890462885,1.0541901399085362e-25,P6: PI3K pathway,INFO
PIK3R1,11.525916176470588,12.094313833992096,-4.699709841528822,2.3110392714020163e-09,P6: PI3K pathway,INFO
RPS6KB1,9.665960784313723,9.966276679841897,-3.013320873738154,2.5292411237712703e-10,P6: PI3K pathway,NOT CONFIRMED
KRT5,10.099735784313726,11.113290118577076,-9.120200439733718,2.7993185803508682e-06,P7: No basal/EMT,CONFIRMED
KRT14,10.07895882352941,10.592153359683794,-4.845044427960434,0.003607941820421498,P7: No basal/EMT,CONFIRMED
VIM,14.410822549019606,14.821293675889327,-2.7694689535600987,3.071429730762044e-05,P7: No basal/EMT,CONFIRMED
ZEB1,9.567471078431371,9.91287075098814,-3.4843556547162637,0.0006676570546246274,P7: No basal/EMT,CONFIRMED
ZEB2,9.347780882352943,9.965944268774702,-6.202757809499187,1.292155521424526e-07,P7: No basal/EMT,CONFIRMED
SNAI1,6.530157352941177,6.768578260869565,-3.522466591052727,0.003587439826796424,P7: No basal/EMT,CONFIRMED
SOX10,6.714587254901962,7.598877865612647,-11.637120984828345,0.00022895630264677843,P7: No basal/EMT,CONFIRMED
FOXC1,7.5155995098039226,8.372860869565217,-10.238571655685595,1.173283904541141e-10,P7: No basal/EMT,CONFIRMED
FN1,15.703219117647057,15.138677865612648,3.7291318108879192,0.0034192756043990207,P7: No basal/EMT,CONFIRMED
TWIST1,7.18254019607843,7.403439130434783,-2.9837340520334577,0.037058313840936434,P7: No basal/EMT,CONFIRMED
