pred_id,label,status,n_high,n_low,events_high,events_low,p,hr,med_os_high,med_os_low
S2-P1,ESR1 tertile within ILC,NOT CONFIRMED,71,71,6,7,0.5687788177144628,1.362851811657145,3926.0,inf
S2-P2,CDH1 tertile within ILC,NOT CONFIRMED,71,70,8,8,0.5990878143785827,1.2958722441914023,inf,4267.0
S2-P3,ILC vs LumA,NOT CONFIRMED,352,215,52,25,0.9151664415242923,1.0261015302111707,3736.0,4267.0
S2-P4,SPDEF tertile within ILC,NOT CONFIRMED,71,70,9,5,0.17471186775380376,2.082848036508206,inf,inf
S2-P5,PTEN tertile within ILC,NOT CONFIRMED,70,71,7,10,0.8943464323108148,1.065572426051173,3492.0,4267.0
S2-P6,EZH2 tertile within ILC,OPPOSITE,71,70,12,6,0.04040506787898546,2.6559925536228475,inf,4267.0
S2-P7,CCND1 tertile within ILC,NOT CONFIRMED,71,70,9,10,0.8893604294356783,0.9382604051671097,inf,inf
S2-P8,MKI67 tertile within ILC,OPPOSITE,70,71,13,5,0.018460132696750176,3.21784512269664,inf,3492.0
BONUS-PIK3CA,PIK3CA mRNA tertile within ILC,NULL CONFIRMED,70,71,5,7,0.3643692722310685,0.5947799426858513,inf,3926.0
BONUS-FOXA1,FOXA1 tertile within ILC,NOT CONFIRMED,71,70,8,8,0.9107870041893733,0.946513682543111,inf,4267.0
