gene,category,normal_mean,luma_mean,pct_change,p_value,significance,result
FOXA1,SWITCH,0.7865612648221344,1.0800826659777836,37.31704245848203,3.614443865226625e-13,***,ELEVATED
GATA3,SWITCH,3.7715415019762846,5.045853784551795,33.787571525005674,9.680940512140233e-13,***,ELEVATED
EZH2,LOCK,0.062450592885375494,0.07401188323430638,18.512699103034898,0.2397900307780111,ns,FLAT
CCND1,DEPTH,2.5272727272727273,2.6892275897700855,6.408285926154458,0.7200108245840119,ns,FLAT
OLIG2,CONTROL,0.0,0.0001291655902867476,0.0,0.6862853162801794,ns,FLAT
NKX2-1,CONTROL,0.0,0.0,0.0,1.0,ns,FLAT
CDX2,CONTROL,0.0,0.0,0.0,1.0,ns,FLAT
PCNA,DEPTH,0.40948616600790516,0.33518470679411005,-18.14504747209475,1.0902938077943964e-05,***,FLAT
TOP2A,DEPTH,0.009486166007905139,0.007749935417204857,-18.30276414363214,0.5743911095056135,ns,FLAT
AKT1,PIK3CA,0.4268774703557312,0.3455179540170499,-19.05922003119109,0.001881519109743124,**,FLAT
PTEN,PIK3CA,0.27035573122529644,0.1974941875484371,-26.950249342464055,6.44886264602539e-05,***,SUPPRESSED
AKT2,PIK3CA,0.45454545454545453,0.326013949883751,-28.276931025574783,2.2401441528272474e-13,***,SUPPRESSED
CDK4,DEPTH,0.8719367588932806,0.6251614569878584,-28.301972521338087,7.99185568551894e-15,***,SUPPRESSED
ESR1,SWITCH,2.3944664031620553,1.6737277189356756,-30.100179450193803,0.9406306181050208,ns,FLAT
ERBB2,DOC75,1.0711462450592886,0.7458021183156807,-30.373455374956755,5.887654034110963e-11,***,SUPPRESSED
KRT8,DOC75,14.605533596837944,10.162231981400154,-30.422042344278005,1.4445929130267515e-21,***,SUPPRESSED
AR,DOC75,2.598418972332016,1.7468354430379747,-32.77314160501862,5.171545608088034e-14,***,SUPPRESSED
TP53,EXIT,0.2339920948616601,0.14660294497545853,-37.34705223177195,6.400583860997778e-09,***,SUPPRESSED
SPI1,CONTROL,0.012648221343873518,0.007879101007491604,-37.7058576595195,0.05206341868768765,ns,FLAT
RB1,EXIT,0.2893280632411067,0.17889434254714545,-38.16903187919699,5.023284285324009e-14,***,SUPPRESSED
CDKN2A,EXIT,0.12648221343873517,0.07749935417204856,-38.7270731077241,0.017593651344753262,*,SUPPRESSED
KDM1A,LOCK,0.2126482213438735,0.11844484629294756,-44.300100163353655,9.086098317909625e-14,***,SUPPRESSED
HDAC2,LOCK,0.841106719367589,0.46693360888659263,-44.48580683820116,7.877251922195073e-33,***,SUPPRESSED
MYC,DEPTH,3.9098814229249013,2.169077757685353,-44.523183108128364,6.246710217275745e-57,***,SUPPRESSED
PIK3CA,PIK3CA,0.12806324110671938,0.0705244122965642,-44.930011385707594,3.3098045397447686e-11,***,SUPPRESSED
MTOR,PIK3CA,0.14545454545454545,0.07853267889434255,-46.00878326013949,1.3341936199078367e-09,***,SUPPRESSED
HDAC1,LOCK,0.7051383399209487,0.3679927667269439,-47.812684987714796,9.459262674320792e-43,***,SUPPRESSED
PGR,SWITCH,0.7849802371541502,0.3548178765176957,-54.79913254834995,3.106590348022193e-22,***,SUPPRESSED
MKI67,DEPTH,0.0023715415019762848,0.0009041591320072332,-61.87462326702834,0.14628282076265106,ns,FLAT
SOX2,DOC75,0.0023715415019762848,0.0009041591320072332,-61.87462326702834,0.09575971919021485,ns,FLAT
CCNE1,DEPTH,0.018972332015810278,0.005812451562903643,-69.36353655386205,4.0039728593674954e-06,***,SUPPRESSED
CDKN1A,EXIT,6.7486166007905135,1.731852234564712,-74.33767041438021,4.676731610467536e-195,***,SUPPRESSED
MBP,CONTROL,0.24031620553359684,0.040428829759752004,-83.17681919536635,3.1591569674328652e-112,***,SUPPRESSED
EGFR,TNBC-MARKER,0.10197628458498023,0.006458279514337381,-93.66688094136684,1.0792022917313754e-99,***,SUPPRESSED
KRT14,TNBC-MARKER,0.341501976284585,0.01769568586928442,-94.81827717022111,1.5231541446530042e-122,***,SUPPRESSED
KRT5,TNBC-MARKER,0.15968379446640316,0.005554120382330148,-96.5218008496794,1.199746865049483e-85,***,SUPPRESSED
SOX10,TNBC-MARKER,0.011857707509881422,0.00038749677086024286,-96.73211056574529,2.4828574438223084e-17,***,SUPPRESSED
