gene,r,p_value
CDK4,0.8075591174661145,0.0
CDKN1A,-0.4935276106295691,0.0
GATA3,0.38421022884667055,8.477626375087358e-271
AGR2,0.32963789334643645,1.2730716626815595e-195
XBP1,0.3171651926166747,1.8411529112882905e-180
AR,0.2848270225197833,2.0050583620101277e-144
CCND1,0.27458261294135833,5.857681335146999e-134
HDAC1,0.2712720909318327,1.1339645394953728e-130
MYC,0.2414909991868862,3.8322027908531644e-103
AKT2,0.23557156493233486,4.2346855770954676e-98
SPDEF,0.22487837226724608,2.4304084659100295e-89
PCNA,0.21918162990742307,7.39572851365101e-85
AKT1,0.20490446239964996,3.581772852641174e-74
TFF3,0.19474247839133665,4.851561389417434e-67
PGR,0.18094955627051978,5.5703923820647056e-58
CDK6,0.17134376685919897,4.358137072701016e-52
KRT8,0.1670408538043882,1.4776571321753937e-49
KDM1A,0.16507625463575223,2.006293060541996e-48
HDAC2,0.1622107129418141,8.503043664741079e-47
TP53,0.15672658185805985,9.137611195175425e-44
CDKN2A,0.15483215832367925,9.610225192745277e-43
NCOA1,0.14225235713941978,2.7694819565644067e-36
SMAD2,0.14126655821531905,8.409369422247119e-36
PTEN,0.1404636416492898,2.0658229587341208e-35
ERBB2,0.13311518599685981,6.04621063225055e-32
EZH2,0.12071016586677734,1.593140991895908e-26
CDKN1B,0.12007656992485213,2.9153125659547347e-26
MTOR,0.11510459588288253,2.9893805379459697e-24
CCNB1,0.1143336369113505,6.021548579530796e-24
CREBBP,0.11374242744643104,1.026910504858534e-23
ESR1,0.10358588350294981,6.391403540378705e-20
MED1,0.09262521800398574,3.182286630375828e-16
RB1,0.08825542420325849,7.286719757686803e-15
FOXA1,0.08444457950981173,9.897798370671014e-14
SMAD4,0.0829563397892924,2.6587388537151194e-13
CCNE1,0.07316659328658129,1.1527390621412997e-10
CDK2,0.07294169366775215,1.313814966004857e-10
NCOA2,0.06836112027512356,1.732628299369379e-09
EP300,0.06769143309159927,2.4923938750485997e-09
MBP,0.06651358183060635,4.6852601214925235e-09
SMAD3,0.06648957333092903,4.745403739008046e-09
NRIP1,0.06446022474091911,1.3727342794037927e-08
KRT14,0.06256764069637925,3.5934183677039236e-08
E2F1,0.05669293904996642,5.989868201934325e-07
TGFBR2,0.053652677703459835,2.318589756094633e-06
KRT5,0.05117376105899667,6.639357957725671e-06
SOX2,0.047793566606808086,2.5876509656551016e-05
PIK3CA,0.045892659256482324,5.356327528401638e-05
E2F3,0.041517502251635086,0.00025813198539273056
SPI1,0.040175825719382934,0.0004064303492780386
TFF1,0.03650840251112607,0.0013141262580171264
MKI67,0.026590773681094592,0.019298109635425685
TGFB1,-0.02527524892978573,0.026153098749286077
TGFBR1,-0.013971521130613616,0.2189981137407796
TOP2A,0.00822312319251995,0.4694115748205698
SOX10,0.004320293397424739,0.7038881730550253
EGFR,0.0029406997043664278,0.7958613688774316
OLIG2,-0.0028736117055317414,0.8004190053283202
