gene,r,p_value
CDKN1A,-1.0,0.0
MYC,-0.22077344392749892,1.8570934145248673e-38
HDAC2,-0.17803417564418972,2.1958451280676217e-25
PARP1,-0.17023548000716227,2.558656471515777e-23
AR,-0.16681398330484754,1.9239754270112376e-22
PCNA,-0.16271710724855518,2.0374583502027446e-21
CDKN1B,-0.16199872319543643,3.062577306381372e-21
SPDEF,-0.16082966722591288,5.921007349177434e-21
GATA3,-0.150705385895188,1.4545691919981267e-18
ERBB3,-0.14984906684545204,2.2783003536855076e-18
CCND1,-0.14957827302714954,2.624223424832487e-18
CDK4,-0.14880219100298203,3.929282869556856e-18
CREBBP,-0.13775949359124767,9.735815125446543e-16
HDAC1,-0.13444688921048853,4.6789291360064136e-15
AGR2,-0.1307959297782672,2.52474609468198e-14
AKT2,-0.11816000407498493,6.03090129714447e-12
ESR1,-0.11432487588605501,2.8494632439872153e-11
ERBB2,-0.11253928561906089,5.771110671421467e-11
EGFR,-0.1069736596663105,4.855009507631701e-10
GRB7,-0.10470814292016309,1.1208432795338185e-09
TP53,-0.1012493282367509,3.8875492443140656e-09
MED1,-0.09548384564139767,2.8244162350150543e-08
KDM1A,-0.0927773682902785,6.893547436506973e-08
PTEN,-0.09008377261501524,1.6349688283211113e-07
EP300,-0.08668249433893906,4.699533708009697e-07
CD274,-0.08541332835223737,6.900227658931319e-07
NRIP1,-0.08511922188205163,7.536780369447094e-07
NCOA1,-0.0843433144930945,9.499215542235554e-07
CCNB1,-0.07997445692769603,3.368018886464509e-06
PIK3CA,-0.07873805505408948,4.7638131789236574e-06
SPI1,-0.0784609154048527,5.145249427214353e-06
NCOA2,-0.07667770374276678,8.39488443303675e-06
MTOR,-0.0761573166549328,9.664995403400901e-06
TFF3,-0.07502441230872059,1.3093933618783972e-05
CD14,-0.07369151213100751,1.8615432521496074e-05
DNMT3A,-0.07119191671647901,3.544923207386925e-05
AKT1,-0.06623007569967299,0.00011985415523477249
LYZ,-0.06441678760892426,0.0001833682229944597
NKX3-1,-0.06216718788230136,0.0003062056487121879
TFF1,-0.05873809810282481,0.000648405753028679
EED,-0.05770539189708685,0.0008068013596897421
TGFBR2,-0.05723404086079911,0.0008904264912572917
EZH2,-0.057214926301433815,0.0008939814389273618
RB1,-0.056239794471086874,0.001093792380329997
FOXA1,-0.05274253589099155,0.0021995147362449206
DNMT3B,-0.048252663605480785,0.005095874550503771
PGR,-0.04559025102675204,0.008140169245478014
CDKN2A,-0.040254542151384534,0.01947921445843796
TET2,-0.03942008244013507,0.022151287680783737
CDK6,-0.038009393151654094,0.027395672644390745
E2F3,-0.03597727758328248,0.03681378996162518
KRT14,-0.03515505772458045,0.04134251123814951
CSF1R,-0.034497539435771024,0.04529557757180004
PTPRC,-0.03393896079002161,0.04889961557712083
CDK2,-0.026889601553009304,0.11870632581830327
TOP2A,-0.026842779971643513,0.11934969993796705
KRT5,-0.023493661897449506,0.17284334246228988
SOX10,-0.02240513735521003,0.1936178215284554
FCGR3A,-0.020647244390122804,0.23094238768185674
E2F1,-0.013084362238110207,0.4477959205890179
CD68,-0.011042995570694061,0.5217461676663525
PDCD1LG2,-0.01021935589655349,0.5532679842597733
ITGAM,0.010086578496461548,0.5584355286390248
MKI67,-0.009312699736675475,0.5890117326827546
CD80,0.007954931983338801,0.6444426378211595
MUC4,0.007954931983338782,0.6444426378211595
CCNE1,0.00033871522017070704,0.9843226866628967
