ID,Comp,Dataset,n,Tech,Status
R1-A(fix),A,GSE176078 scRNA-seq per-patient,10,scRNA-seq,NOT CONFIRMED
R1-B(fix),A,GSE176078 scRNA-seq per-patient,10,scRNA-seq,NOT CONFIRMED
R2-A(prot),B,CPTAC-BRCA proteomics,70,MS protein,CONFIRMED ★ PROTEIN ★
R2-E(prot),B,CPTAC-BRCA proteomics,70,MS protein,NOT CONFIRMED
R3-A(fix),C,METABRIC mRNA (fix),1980,mRNA microarray,NOT CONFIRMED
R3-B(C),C,METABRIC mRNA (fix),1980,mRNA microarray,CONFIRMED
R3-C,C,METABRIC mRNA (fix),1980,mRNA microarray,CONFIRMED
R3-D,D,GSE96058 SCAN-B,3409,RNA-seq,NOT TESTABLE
R3-F,D,GSE96058 SCAN-B,3409,RNA-seq,NOT TESTABLE
R3-E,D,GSE96058 SCAN-B,3409,RNA-seq,NOT TESTABLE
