gene,normal_mean,tumor_mean,change_pct,abs_change,p_value,direction
SOX10,0.008219136528378797,0.11698647349575926,1323.3426235448426,1323.3426235448426,1.7663138953874422e-33,UP
ZEB2,0.006575309222703038,0.07466258769003974,1035.4992618787708,1035.4992618787708,9.89969268467579e-18,UP
ZEB1,0.005799950129413136,0.0651682024506877,1023.599358556583,1023.599358556583,4.184806168633229e-16,UP
MKI67,0.0016438273056757595,0.014595840921341923,787.9181451084202,787.9181451084202,1.573267610256804e-05,UP
KRT5,0.07589498058873687,0.4613342465867864,507.8587055535137,507.8587055535137,4.957262753779656e-56,UP
CDH3,0.03598869476602528,0.17056036095954483,373.92760995755924,373.92760995755924,4.4134952333721064e-33,UP
VIM,0.45286701363698784,2.129353732902728,370.19404566515624,370.19404566515624,3.068911076885205e-192,UP
AURKA,0.009862963834054557,0.04584401879452665,364.809762723024,364.809762723024,1.1769482776898164e-11,UP
EZH2,0.04137500999918185,0.15295006493414376,269.66774131817294,269.66774131817294,6.907828852524389e-27,UP
EGFR,0.06425517684511237,0.2313622420964209,260.06786294296796,260.06786294296796,8.722935093891281e-37,UP
KRT14,0.133901707520719,0.43370887386132984,223.9009284435158,223.9009284435158,4.247610911501274e-20,UP
CD274,0.010410906269279811,0.031562105519759145,203.16386204428386,203.16386204428386,2.245095340626697e-05,UP
EED,0.07073648484328088,0.1932514582226002,173.19912581287502,173.19912581287502,2.7982990113556562e-21,UP
SPI1,0.00876707896360405,0.02113494073604729,141.0716365597664,141.0716365597664,0.003690325114221,UP
DNMT3A,0.06905145911773239,0.15216628998901158,120.36650917045624,120.36650917045624,8.263162933332181e-15,UP
HDAC2,0.4505794254672482,0.9789026757782121,117.25418881767531,117.25418881767531,5.524071054487907e-76,UP
FOXC1,0.058497317241010545,0.12600188106392707,115.39770882961331,115.39770882961331,3.307205831805753e-13,UP
SNAI1,0.02475051870423235,0.049630287523916544,100.52221174431284,100.52221174431284,5.112978380685389e-05,UP
PGR,0.35484700936532143,0.007594838830355432,-97.85968639162563,97.85968639162563,4.5799329923754813e-284,DOWN
ESR1,0.7489481090219144,0.02446220136577637,-96.73379222524206,96.73379222524206,0.0,DOWN
AR,0.9379002957753512,0.14529985189218703,-84.50796395451935,84.50796395451935,0.0,DOWN
TOP2A,0.006347892564638388,0.011534484685417595,81.70573253983017,81.70573253983017,0.06136509012125002,UP
FOXA1,0.39338911723811826,0.07591347723163112,-80.70270022602564,80.70270022602564,1.667202625958492e-161,DOWN
SPDEF,1.194330941835302,0.2665414277943237,-77.6827830161768,77.6827830161768,0.0,DOWN
NKX3-1,0.08622478495334572,0.022182772169221397,-74.27332270967798,74.27332270967798,4.3547422920932647e-29,DOWN
CDH1,0.6944896383994661,0.23557744628215563,-66.07905528654511,66.07905528654511,6.201119285938591e-147,DOWN
GATA3,1.111531641464348,0.5181227767493501,-53.38659221011759,53.38659221011759,4.597374669627399e-104,DOWN
PCNA,0.24858063385187498,0.37966675087718704,52.73384132708587,52.73384132708587,5.039190051133376e-12,UP
KDM1A,0.1363256754962589,0.20197338357451136,48.15505798102866,48.15505798102866,2.2127161654548085e-06,UP
BRCA1,0.0319668794812566,0.01685441139993419,-47.27539355282841,47.27539355282841,2.492581134748777e-05,DOWN
CLDN4,2.3608995630389997,1.2905396591065126,-45.33695209611955,45.33695209611955,1.0402014637883206e-145,DOWN
KRT18,2.752961038139793,1.646955022754876,-40.17514233082855,40.17514233082855,1.9546436808629697e-184,DOWN
CDK2,0.12188224166285991,0.07456043526821257,-38.82584185278182,38.82584185278182,1.7534452518664054e-10,DOWN
KRT8,2.265406575587094,1.5243288776878843,-32.712790096283484,32.712790096283484,5.382095087372682e-98,DOWN
HDAC1,0.3935733632407571,0.5135971757069615,30.495918595177724,30.495918595177724,6.106261427206449e-08,UP
PARP1,0.6547441527817851,0.8353268263616255,27.580647007324316,27.580647007324316,2.844813878244399e-10,UP
PIK3CA,0.0855309305943627,0.06353236838055887,-25.72000802625869,25.72000802625869,0.0005723631496671281,DOWN
BRCA2,0.028772333989001034,0.03602051715832703,25.19150226775762,25.19150226775762,0.19669851377203484,UP
CLDN3,1.1498764363124345,0.8660358858265554,-24.684439259937697,24.684439259937697,4.756636067352014e-37,DOWN
RB1,0.18537277169403285,0.1435235613519022,-22.575705137108752,22.575705137108752,2.7044689366944362e-06,DOWN
AKT1,0.24862009525705223,0.1951514707043832,-21.506155605558337,21.506155605558337,1.0985939328021177e-05,DOWN
ASXL1,0.11390123407189623,0.09575798790021357,-15.928928531389182,15.928928531389182,0.06727433322582599,DOWN
CCNB1,0.05320232691607278,0.06111632049603469,14.87527715178006,14.87527715178006,0.37297467795190953,UP
TET2,0.06918576665670106,0.07792432750012344,12.63057600674285,12.63057600674285,0.43346557137646036,UP
TP53,0.14580816689089487,0.1630241116414518,11.80725683454978,11.80725683454978,0.557308755951193,UP
PTEN,0.1651393886146623,0.16577695496829317,0.3860777001655151,0.3860777001655151,0.4487696743128684,UP
NKX2-1,0.0,0.0001607484184972044,,0.0,0.5883657463091858,DOWN
