gene,r_depth,p_value
ESR1,-0.8088469849674239,8.983133369565217e-119
PGR,-0.7662963220367456,2.7804806032982045e-99
EGFR,0.6823452052699841,7.343689711065161e-71
KRT5,0.6478517230620378,8.68672681101797e-62
AR,-0.5467623955589735,6.088398407315318e-41
AKT1,-0.5159473225399034,6.693198925598145e-36
ZEB1,0.49047953560725094,4.166259645084626e-32
CDK2,0.4222838906893216,2.185174872690106e-23
CXCL10,0.41717533448272764,8.253269924381642e-23
MET,0.39399981834686115,2.5923533569163652e-20
KRT14,0.3838405237396013,2.804247664299073e-19
SOX10,0.37981961867687375,7.034724417144528e-19
TOP2A,0.3135158387139978,4.759146877866999e-13
CDC6,0.31248557065330285,5.720937206894262e-13
HDAC1,-0.30474620958847,2.2288878440004107e-12
CCNE1,0.29525908272044066,1.1184220910818163e-11
SPI1,0.27098492809558383,5.325654034065975e-10
EZH2,0.24395981489785626,2.5562188590496682e-08
TP53,-0.23886654955876852,5.048363821107592e-08
CDH3,0.23148618753397546,1.317350612497482e-07
EED,0.22602792883858516,2.623833997741159e-07
AURKA,0.22528013379511574,2.879729988618818e-07
MKI67,0.21571345696169594,9.207780750102467e-07
SNAI1,0.21433674478159914,1.0837841102859173e-06
STAT1,0.21198328993700122,1.4284938438753573e-06
IGF1R,0.1897172874842739,1.6726372278422247e-05
IRF1,0.17687075608245242,6.116043915837795e-05
BRCA2,0.1636735706676255,0.00021143984792836438
CCNB1,0.15942966251318963,0.00030902977095822467
CD44,0.15490318233810368,0.0004584779166687684
CCL5,0.14420263514482914,0.0011172456918116256
CLDN3,0.14080595264737042,0.0014643767322072843
VIM,-0.12983934472226688,0.003371772265032815
CDH2,-0.12142930813328351,0.00613864134634223
PTEN,0.12039984228215825,0.00659006269320869
GATA3,-0.11640079735604568,0.008639233609818478
BRCA1,-0.10501178076242819,0.017905619981446158
FOXA1,-0.08395509714382593,0.058633710682906674
FN1,0.08219380483877131,0.06415174182946905
TFF3,-0.07099974598638295,0.10996989040760966
TWIST1,-0.06922888029259214,0.11914650192387671
TFF1,0.06914668679327259,0.11958653573110518
PCNA,0.06848183614465622,0.12319270901538695
AGR2,0.05978152935109917,0.17853114139389079
PIK3CA,-0.051218801212152026,0.24918722198675938
PARP1,0.0412255555673853,0.3537800700765202
FOXC1,0.012134926846939833,0.7849734091189142
CDC20,0.003014054998829209,0.9459717861132909
CLDN4,-0.0023499685251367666,0.9578632174756279
