gene,pred,normal,tumor,change,p_supp,p_elev,result
NOTCH1,DOWN,-2.603688666315789,1.839278870952381,170.6412750013985,0.9999997286033422,3.123029530082038e-07,INVERTED  ✗
CDH1,DOWN,0.1759159176315789,-0.8042666742857143,-557.1881186841157,0.0006342958008116982,0.9994231287848949,CONFIRMED ✓
MUC5AC,DOWN,-0.019060374210526317,0.22358180476190473,1273.0189674787657,0.9282025492423234,0.07557943130860612,flat      ~
TFF1,DOWN,-0.03251556347368421,0.6590829766666666,2126.976949669292,0.9999949421721012,5.730353049337166e-06,INVERTED  ✗
GKN1,DOWN,-0.01044630752631579,0.006030014857142861,157.72388800494687,0.596289978929808,0.41423209374348396,flat      ~
CDX2,UP,-1.2821238728421052,0.46115769619047614,135.9682637503832,0.9994757149452307,0.0005768712151050761,CONFIRMED ✓
ERBB2,UP,0.6271416821052631,0.4221389666666666,-32.688421338926034,0.08783656714251642,0.9164038992247427,flat      ~
ZEB1,UP,2.2969807263157893,-1.6872634471428574,-173.45570765189314,4.7630013037872244e-08,0.9999999589894386,INVERTED  ✗
MUC2,UP,0.06806278652631578,0.03538404223809524,-48.01264531769595,0.28475840241025463,0.7243613570205576,flat      ~
KRT20,UP,-0.4331633573684211,0.28980712761904764,166.90481147336666,0.984871788419939,0.01619220868331959,CONFIRMED ✓
TFF3,UP,0.31205586315789474,-0.8593689223809525,-375.3894490827519,0.003974497899599939,0.9963333006922298,INVERTED  ✗
VEGFA,UP,-0.5304962878947368,0.1755698533333333,133.09539714784407,0.9966195403743705,0.0036666993077702132,CONFIRMED ✓
