gene,pred,normal,tumor,change,p_supp,p_elev,result
NOTCH1,DOWN,-2.603688666315789,0.45231738888888884,117.37217643340271,0.9986532262348942,0.0015811020380565503,INVERTED  ✗
KRT1,DOWN,-0.24362564052631583,-0.3525800722222222,-44.72207090375505,0.2942155850011495,0.7225061558428133,flat      ~
KRT10,DOWN,0.13045475315789476,0.5608148544444443,329.8922353297982,0.9947358719528205,0.0060573300271095,INVERTED  ✗
SPRR1A,DOWN,-0.09581293515789473,0.04420527666666666,146.13706551606907,0.9999584625325314,5.092123028151095e-05,INVERTED  ✗
KRT4,DOWN,0.12564563731578945,0.6019712811111111,379.1024137178406,0.9617120227641158,0.04256045360583191,INVERTED  ✗
KRT13,DOWN,-0.005754006631578948,0.26434577433333334,,0.9996559043405715,0.00041134020034629636,INVERTED  ✗
IVL,DOWN,7.916181947368422,2.940179737777778,-62.85861344110234,0.0006931862458494066,0.9994161716763851,CONFIRMED ✓
DSG1,DOWN,-0.1238799877894737,0.5454903236666667,540.3377279901686,0.9930453029074868,0.007967455250958178,INVERTED  ✗
SOX2,UP,0.9715846311052632,1.2177841115555554,25.339993302510216,0.5,0.5196168155641662,flat      ~
TP63,UP,-0.4415818936842105,-0.3505013633333333,20.62596579560208,0.634705929386444,0.38393912042076994,flat      ~
KRT5,UP,2.971795342105263,2.4365072399999996,-18.012280136560733,0.1507949689304176,0.8604229923409499,flat      ~
EGFR,UP,0.34455465315789474,1.601447637777778,364.7876971331752,0.9990294181403272,0.0011445970068309085,CONFIRMED ✓
CCND1,UP,0.5110153942105263,0.039001781333333305,-92.3677873944311,0.2774938441571867,0.738749406239078,flat      ~
FGFR1,UP,-1.318072066368421,-0.6277015168888889,52.377299170117084,0.9994161716763851,0.0006931862458494066,CONFIRMED ✓
MYC,UP,-0.5746997795263159,1.4157457343333333,346.34527187399163,0.9999725514499086,3.380496589862349e-05,CONFIRMED ✓
