,depth_s2
GSM661721,0.7840343282380116
GSM661722,0.727320621801125
GSM661723,0.2979327586889928
GSM661724,0.3934704923726899
GSM661725,0.4308186958435599
GSM661726,0.839894529307641
GSM661727,0.8384680015594979
GSM661728,0.8997481766442033
GSM661729,0.6770848524242554
GSM661730,0.9983030991977081
GSM661731,0.9665732289872446
GSM661732,0.5720366043991536
GSM661733,0.7733975034622096
GSM661734,0.1569660803578325
GSM661735,0.45528391505207744
GSM661736,0.7897792290140596
GSM661737,0.49373552874008436
GSM661738,0.908574810843439
GSM661739,0.42037545040943547
GSM661740,0.22270045930267268
