,depth_s3
GSM350003,0.4407980546168083
GSM350004,0.44843561370112933
GSM350005,0.4102808846848144
GSM350006,0.3072784763719485
GSM350007,0.27213190326255227
GSM350008,0.3110716400937023
GSM350009,0.3704618960532243
GSM350010,0.40324898719350877
GSM350011,0.32540585582858084
GSM350012,0.3190441561869658
GSM350013,0.5836437073542716
GSM350014,0.27982454936970447
GSM350015,0.5432844567080812
GSM350016,0.3875500608346172
GSM350017,0.4318374608785164
GSM350018,0.502638181149027
GSM350019,0.41893704515953273
GSM350020,0.4975723983976748
GSM350021,0.47992490756544237
GSM350022,0.4704479173368252
GSM350023,0.28090125349586165
GSM350024,0.28073421847858604
GSM350025,0.250729625133874
GSM350026,0.19447625463118914
GSM350027,0.49516282011497087
GSM350028,0.3705106678183931
GSM350029,0.2935474387017911
GSM350030,0.43538959226615104
GSM350031,0.7688852576814348
GSM350032,0.7422133464337479
GSM350033,0.7425592782724864
GSM350034,0.6396443374608789
GSM350035,0.7793129307147644
GSM350036,0.7243873135698097
GSM350037,0.6924296380955266
GSM350038,0.7332107455883077
GSM350039,0.5743254737152829
GSM350040,0.520235516536041
GSM350041,0.6503640142899857
GSM350042,0.637191900575611
GSM350043,0.6653294837856352
GSM350044,0.5719830807861008
GSM350045,0.6417768131175708
GSM350046,0.7023856536268026
GSM350047,0.6948045297663874
GSM350048,0.7572063712671389
GSM350049,0.5075397790274789
GSM350050,0.6852348566270942
GSM350051,0.5183809595218
GSM350052,0.6970040843396748
GSM350053,0.7731926063706995
GSM350054,0.7342160896681438
GSM350055,0.8109064026778587
GSM350056,0.8431541779095599
GSM350057,0.7830004853523868
GSM350058,0.791947064895304
GSM350059,0.6053373033518644
GSM350060,0.6994741306231811
GSM350061,0.6979517159524828
GSM350062,0.7358473065307806
GSM350063,0.8455056179775282
GSM350064,0.6832008824330821
GSM350065,0.7429865279233734
GSM350066,0.7533861725659532
GSM350067,0.7182612771106682
GSM350068,0.49613764044943814
GSM350069,0.7456550435965654
GSM350070,0.5910493048959096
GSM350071,0.5373628737591821
GSM350072,0.6326497520256129
GSM350073,0.7269750436154876
GSM350074,0.6224210450876286
GSM350075,0.5672448635904346
GSM350076,0.7859502901707155
GSM350077,0.8394286252890353
