,depth_s3
GSM349960,0.4674085600630624
GSM349961,0.4772962223356312
GSM349962,0.5110343637366097
GSM349963,0.4639710330081436
GSM349964,0.5114428503242036
GSM349965,0.6894644008502642
GSM349966,0.4811882293437103
GSM349967,0.27763567615658313
GSM349968,0.4339288643540317
GSM349969,0.2942920524603463
GSM349970,0.4550118386638169
GSM349971,0.36152529663584854
GSM349972,0.46828489743052326
GSM349973,0.4273683023407358
GSM349974,0.5733458621349582
GSM349975,0.4968134429351917
GSM349976,1.0
GSM349977,0.4565941101152357
GSM349978,0.3437078228022292
GSM349979,0.3898673767776505
GSM349980,0.4304763431771483
GSM349981,0.45389543871120647
GSM349982,0.43887346441964703
GSM349983,0.25044031171825637
GSM349984,0.30363976970851403
GSM349985,0.49119805170394715
GSM349986,0.42625157488118576
GSM349987,0.46215947822164294
