,OLIG2,SOX10,MBP,MOG,PLP1,PDGFRA,SOX2,EGFR,NES,CDX2,SPI1,KLF4,IRF8,OLIG1,GFAP,MKI67
MGH101-P1-A04,0.0,0.0,0.0,0.43437044100476047,0.07946031288099153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH101-P1-A05,0.0,0.0,0.0,0.9543319583168609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1154043279940464,0.0,0.0,0.0
MGH101-P1-A07,0.0,0.0,0.0,0.7183391821053646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9647676884069634,0.0,0.0,0.0
MGH101-P1-A09,0.0,0.0,0.0,0.6880671102585588,0.0,0.0,0.0,0.040415174722907884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH101-P1-A10,0.0,0.0,0.0,0.26939807487461165,0.0,0.0,0.0,0.0,0.0,0.0,1.1131870038572564,0.0,0.0,0.0,0.0,0.0
MGH101-P1-A11,0.0,0.0,0.0,0.40735649048691835,0.0,0.0,0.0,0.0,0.0,0.0,0.9696095141107629,0.0,2.0056227796355532,0.0,0.0,0.0
MGH101-P1-B03,0.0,0.0,0.0,0.7118382233369229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH101-P1-B04,0.0,0.0,0.0,0.6062252560383251,0.0,0.0,0.0,0.0,0.0,0.0,0.4801752827566546,0.0,0.0,0.0,0.0,0.0
MGH101-P1-B06,0.0,0.0,0.0,0.5779655760172073,0.07313416034406652,0.03364337651132397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH101-P1-B09,0.0,0.0,0.0,0.6235414208346279,0.0,0.0,0.0,0.0,0.0,0.0,1.847707199140571,0.0,1.7358958535898132,0.0,0.0,0.0
MGH101-P1-B10,0.0,0.0,0.0,0.6252359196296327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH101-P1-B11,0.0,0.0,0.0,0.1688671464781021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1934155861823967,0.0,0.0,0.0
MGH101-P1-B12,0.0,0.0,0.0,0.42400626333699154,0.0,0.0,0.0,0.0,0.0,0.0,1.8628876705792314,0.0,2.219252120098486,0.0,0.0,0.0
MGH101-P1-C03,0.0,0.0,0.0,0.43947038775235886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH101-P1-C04,0.0,0.0,0.0,0.15364141527125072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH101-P1-C05,0.0,0.0,0.0,0.6574117057153497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49732557378053405,2.1863871810900632,0.0,0.0,0.0
MGH101-P1-C06,0.0,0.0,0.0,0.1345714250179078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH101-P1-C07,0.0,0.0,0.0,0.7391888424101136,0.0,0.0,0.0,0.0,0.0,0.0,1.8283386185387258,0.0,2.085784423592617,0.0,0.0,0.0
