gene,r_depth,p_r_depth,OS_p,hi_OS,lo_OS,OS_gap
CDC20,0.6770649488881209,4.439510625191036e-51,2.571654139203584e-07,22.81868852459016,30.62043956043956,-7.801751035849399
BIRC5,0.6652885491480194,9.124158756843069e-49,3.2185461016663034e-05,23.916065573770492,29.51703296703296,-5.600967393262469
EZH2,0.6101254793142281,3.326714907788183e-39,3.595850052198553e-05,23.679562841530057,29.75483516483516,-6.075272323305104
G6PC,-0.6229787066871691,2.9110737715139987e-41,0.00012711691553499608,30.23251366120218,23.165879120879122,7.066634540323058
CCNB1,0.6859617677551634,6.717469873889107e-53,0.00021041928944937066,24.277868852459015,29.153241758241755,-4.87537290578274
APOB,-0.5463629456172283,2.941876720162135e-30,0.0007312522873313571,29.164754098360664,24.23950549450549,4.925248603855174
HDAC2,0.6135802593579689,9.50924053051476e-40,0.0007722086052831464,22.846666666666664,30.592307692307692,-7.745641025641028
CDK4,0.6531310817927289,1.7369272149838448e-46,0.0011216123397135938,23.441693989071037,29.994010989010988,-6.552316999939951
CYP2C9,-0.6118202688240735,1.8032268193124768e-39,0.001491590816486226,29.71136612021858,23.689890109890108,6.021476010328474
TOP2A,0.6346828086982477,3.198693157473192e-43,0.002464993634968341,22.615846994535524,30.824395604395598,-8.208548609860074
MKI67,0.6743707373315787,1.5343997950130927e-50,0.003152321280792285,24.503606557377047,28.92626373626373,-4.422657178886684
CYP3A4,-0.6334867399580464,5.117343814476181e-43,0.003500929394193252,29.493661202185795,23.908791208791207,5.584869993394587
IGF1,-0.45018695004035136,6.496090347935371e-20,0.004096527546263892,29.561639344262293,23.84043956043956,5.721199783822733
CDKN2A,0.15259811980759186,0.003212838117110944,0.007562138385716587,22.872513661202188,30.56631868131868,-7.693805020116493
PPARA,-0.6079560598763338,7.246567515762036e-39,0.010361478940685932,28.606338797814207,24.80098901098901,3.8053497868251966
CD8A,0.22557054734572735,1.1503010597145624e-05,0.012968988067766949,29.579945355191263,23.82203296703297,5.757912388158292
ALDOB,-0.6247861173940177,1.4687484874005694e-41,0.016106761684515292,28.884371584699455,24.52142857142857,4.362943013270886
APOE,-0.45483734708375784,2.4222983048362938e-20,0.02775769732258486,28.354972677595622,25.05373626373626,3.301236413859364
PTEN,-0.1622982636073979,0.0017106173862294221,0.03004466996034625,29.595628415300546,23.806263736263734,5.789364679036812
PRF1,0.004916030785596626,0.9248148646051517,0.03059823293113262,29.707868852459015,23.693406593406596,6.014462259052419
CD247,0.13187331836962046,0.011003064570019242,0.0364913662965933,29.432185792349728,23.970604395604393,5.461581396745334
IDH2,-0.2063374184201664,6.22545414099306e-05,0.043906603741937764,28.09131147540983,25.318846153846156,2.7724653215636756
CDH1,0.0898523838655669,0.08392793135345207,0.04898940870822437,28.73912568306011,24.667472527472526,4.071653155587583
TTR,-0.6012919087116126,7.63254859443433e-38,0.05311196739550686,28.12344262295082,25.28653846153846,2.8369041614123596
CD4,0.12474773680966467,0.01621229855050422,0.06423614630357934,30.007322404371585,23.39230769230769,6.615014712063896
DNMT3A,0.6347170423143678,3.1558652414812192e-43,0.08998247685896031,24.303934426229503,29.127032967032967,-4.823098540803464
SOX4,0.6543057494254987,1.057100017083349e-46,0.1007953010925516,26.146502732240435,27.274340659340663,-1.1278379271002272
PCK1,-0.7052449279651164,4.455366651686721e-57,0.1043631224003694,28.29431693989071,25.114725274725274,3.179591665165436
AXIN1,0.15577179425136173,0.0026242166225365336,0.12562867994538465,24.783224043715848,28.64510989010989,-3.861885846394042
TERT,0.08713004711465551,0.09378359861573635,0.14609941797253354,25.38879781420765,28.036208791208793,-2.647410977001144
ARID1A,0.0858250576201276,0.09882524696413433,0.15528339222588622,26.443551912568307,26.975659340659337,-0.532107428091031
FABP1,-0.3179187498036816,3.699805179929528e-10,0.18051578286810321,27.236666666666668,26.17818681318681,1.0584798534798594
EPCAM,0.6115037200386084,2.0223150063387633e-39,0.1889077276475279,27.353114754098357,26.0610989010989,1.2920158529994552
MET,-0.36599817568441506,3.339134352128944e-13,0.19098451928960392,28.485081967213116,24.922912087912085,3.562169879301031
RXRA,-0.49029099453712227,7.825897131863034e-24,0.19172734178994622,25.980765027322413,27.440989010989007,-1.4602239836665944
