gene,r,p,dataset
TWIST1,0.7889490775426042,1.0905848729296734e-08,TCGA
G6PC,-0.7132839409312188,1.048426626551906e-06,TCGA
WNT5A,0.6564191404820039,1.3786901280631747e-05,TCGA
APOB,-0.6557879861177732,1.4144070221864314e-05,TCGA
ALDOB,-0.6452230935433996,2.151662250514235e-05,TCGA
TGFB1,0.59138125251275,0.0001457208397727913,TCGA
CYP3A4,-0.590601357549134,0.00014944421218476543,TCGA
MMP2,0.5628288702726253,0.0003524660371932933,TCGA
MMP9,0.5438195598230844,0.0006078564794591278,TCGA
FAP,0.538871889197643,0.0006968349249796276,TCGA
ALB,-0.5086957614269743,0.001534857346661564,TCGA
KDM1A,0.5033473970855459,0.0017523987749589651,TCGA
CD44,0.5033365454890608,0.0017528663207622057,TCGA
POSTN,0.4997400980324496,0.001913983693692853,TCGA
VIM,0.49784754985118806,0.0020038695155242896,TCGA
ACTA2,0.4897877930257031,0.0024293827814215966,TCGA
HAVCR2,0.46869942181955637,0.003935877772639694,TCGA
FOXA2,-0.460863291641733,0.004673412238402311,TCGA
HNF4A,-0.44630272032653023,0.006364378852819663,TCGA
ZEB2,0.43584694032425025,0.007881348655462068,TCGA
FGFR2,-0.4298539494797766,0.008882862570180231,TCGA
COL1A1,0.4287478255950112,0.009079103320464115,TCGA
HDAC2,0.4271293683423051,0.009372890862736233,TCGA
CD8A,0.406236795247957,0.013953614160890616,TCGA
CDH1,-0.3932415441401318,0.01766052828236358,TCGA
ZEB1,0.385573698242207,0.0202110671002439,TCGA
IDH2,-0.38151560914507493,0.021680574402759202,TCGA
NOTCH1,0.373706124929359,0.024758727651507863,TCGA
MYC,0.3666798264813257,0.027828920785481964,TCGA
CDK6,0.36251415590959346,0.02979260700142275,TCGA
CTNNB1,0.35186677612682293,0.035333170329465646,TCGA
CDC20,0.34613080546294894,0.03864948561941653,TCGA
ALDH1A1,-0.32780854455118746,0.05096826397580128,TCGA
PROM1,0.32363225762679426,0.05417436530976004,TCGA
SLC4A2,-0.323420013627274,0.054341497011674574,TCGA
RB1,0.3232645666946034,0.05446416421125559,TCGA
SNAI1,0.3189347544926824,0.05797048013289219,TCGA
MUC1,0.29895828703716265,0.0765269302938494,TCGA
FOXP3,0.2989561358974657,0.07652915148123024,TCGA
STAT3,0.28970240636457306,0.08655805880872436,TCGA
CDK4,0.285176298544936,0.09181836906501631,TCGA
IDH1,-0.2823432696659208,0.09523364161370401,TCGA
SMAD4,-0.2808853956919969,0.09702857763452319,TCGA
ERBB2,0.2801277049534724,0.09797159037906097,TCGA
CFTR,0.27565918494699293,0.10367591390379582,TCGA
TET2,0.27008284989313514,0.1111437821979271,TCGA
EGFR,-0.2618569240986257,0.12289063651709846,TCGA
EPCAM,-0.2601612228887322,0.1254231699152672,TCGA
KRAS,0.2583219830209847,0.12821377124816385,TCGA
PRF1,0.2559208114343456,0.13192600178485794,TCGA
MKI67,0.24652849225482537,0.14721237348019894,TCGA
CLDN7,-0.24087076657901413,0.1570231466186489,TCGA
SF3B1,0.2375825130170745,0.16293813629750195,TCGA
DNMT3A,0.23175671280883725,0.17380872982251291,TCGA
DNMT1,0.2231313136000091,0.1908382035434245,TCGA
TOP2A,0.2212081529031188,0.19478973343266232,TCGA
RCOR1,0.21985948104606748,0.197594825004189,TCGA
CA9,-0.2160374806947832,0.20569716155916595,TCGA
KLF4,0.2115590857693891,0.2154808463507682,TCGA
CLDN4,0.21120054939068267,0.2162777236131761,TCGA
ANXA4,-0.20563152281548802,0.2289160104806372,TCGA
CCNB1,0.20403722434416527,0.23262466098026394,TCGA
HNF1B,-0.18332381821548444,0.2845173131354738,TCGA
CD274,0.18284970135033052,0.2857862865196402,TCGA
SOX17,0.16835582883059452,0.3263389474515104,TCGA
VEGFA,-0.16728170247084512,0.3294797151018685,TCGA
TP53,0.15810015652421913,0.35708514337380654,TCGA
BIRC5,0.15009645211440817,0.3822486165508922,TCGA
PTEN,0.14996030098929036,0.3826854497173883,TCGA
HDAC1,0.1346768417088859,0.43355615575327316,TCGA
KRT7,-0.13046428525806397,0.4482055051540845,TCGA
ARID1A,0.1141393962726657,0.5074338210684062,TCGA
ASXL1,0.10333274206352275,0.548689728215515,TCGA
BAP1,0.10255344253863277,0.5517247401699457,TCGA
FN1,0.08911635177937435,0.6052552766426931,TCGA
GLUL,-0.08361477182701814,0.6277943267509546,TCGA
EZH2,0.08307652512934688,0.6300177914632739,TCGA
GGT1,0.076629774814235,0.6568933452742283,TCGA
NOTCH2,0.06157105655362625,0.7212958952214468,TCGA
CCND1,-0.05223887008762858,0.7622112885961443,TCGA
SOX9,0.048672426293386084,0.778023871276682,TCGA
AQP1,0.04817248212119982,0.7802476726867179,TCGA
KRT19,0.03289511803383998,0.848951407198597,TCGA
CDKN2A,-0.024827808590517114,0.8857124652510453,TCGA
SOX4,0.02306004532359493,0.8938020093025068,TCGA
MET,-0.0007921770421161489,0.996341463125292,TCGA
ALB,-0.8033491423003851,6.600279228456592e-35,GSE
COL1A1,0.6829312441166723,8.522142014117934e-22,GSE
APOB,-0.6451587788886268,6.647485373465325e-19,GSE
ACTA2,0.6305456124930757,6.850279925737977e-18,GSE
PROM1,0.5703845280045052,3.1141554438894873e-14,GSE
POSTN,0.5583114963181073,1.3822033801398497e-13,GSE
SOX4,0.5494344563087519,3.98170029747078e-13,GSE
CD44,0.54359600075546,7.851974574962376e-13,GSE
HNF4A,-0.5399826586277507,1.1875803895274313e-12,GSE
HAVCR2,0.5291552584115937,3.985323301099406e-12,GSE
VIM,0.5042628420198638,5.508008176251472e-11,GSE
CCND1,0.5019465017793974,6.958387737533207e-11,GSE
WNT5A,0.48207128996984516,4.819509625662717e-10,GSE
DNMT3A,-0.45069528659028724,8.035564246557209e-09,GSE
HDAC1,0.4348166437649589,3.0058802092869454e-08,GSE
ARID1A,0.43152543741719396,3.9183406942089993e-08,GSE
ERBB2,0.42967698824911876,4.54180485673089e-08,GSE
BIRC5,0.42763837333662236,5.3396039193167504e-08,GSE
EGFR,0.42549151946318275,6.324436500874859e-08,GSE
ZEB1,0.41979742139332166,9.852413940906512e-08,GSE
GGT1,-0.41772527113055136,1.1553832581797241e-07,GSE
SMAD4,0.4100474030830662,2.0656098000558565e-07,GSE
NOTCH1,0.40768104327679483,2.463503863984382e-07,GSE
CCNB1,0.40633263503256867,2.721976986948827e-07,GSE
HDAC2,0.4046441423323709,3.0823095329650263e-07,GSE
CDK6,0.40119627731886626,3.964661673706732e-07,GSE
CDH1,0.3792932219574517,1.839011869372753e-06,GSE
EZH2,0.3630660479964225,5.34606509149501e-06,GSE
CDK4,0.3526218156405313,1.0310066952854395e-05,GSE
PTEN,0.3520197785831367,1.0700351189456696e-05,GSE
SF3B1,0.34900101253164095,1.2877023298641991e-05,GSE
ANXA4,0.3473114926716992,1.4271315328238546e-05,GSE
ALDOB,-0.3454831711111952,1.5940132753437146e-05,GSE
CTNNB1,0.34417948048644487,1.7240738030317864e-05,GSE
FAP,0.3409999742794126,2.0844839115468603e-05,GSE
TWIST1,0.3397944043098332,2.2388455994609645e-05,GSE
ASXL1,0.31681342166471715,8.266983034013048e-05,GSE
IDH1,0.30806563061116526,0.00013230171274950919,GSE
SOX17,-0.3009515294887176,0.00019187164344368427,GSE
G6PC,-0.27844484109615775,0.0005849738828008548,GSE
