gene,tcga_icc_mean,tcga_nor_mean,tcga_fc,tcga_p_down,tcga_p_up,tcga_result,gse_icc_mean,gse_nor_mean,gse_fc,gse_p_down,gse_p_up,gse_result,panel
ACTA2,11.967488888888889,11.095655555555556,0.871833333333333,0.9929451099446924,0.007631429288560716,UP,3086.743973932215,3090.2745441666666,-3.530570234451716,0.653136319247236,0.35021960307997074,flat,STROMA
ALB,14.259880555555558,22.526433333333337,-8.266552777777779,2.2961756022336874e-06,0.9999979960558109,DOWN,4272.739176378524,7454.2138375,-3181.474661121477,3.28273682846513e-06,0.9999970575220763,DOWN,SW
ALDH1A1,11.221602777777779,14.830744444444443,-3.6091416666666642,2.2961756022336874e-06,0.9999979960558109,DOWN,636.4720322563758,785.8530557666667,-149.3810235102909,0.054463599888878146,0.9465959980072693,flat,ctx
ALDOB,9.097730555555556,18.341477777777776,-9.24374722222222,2.2961756022336874e-06,0.9999979960558109,DOWN,1516.2328170295302,4731.0149375,-3214.7821204704696,6.707773114755297e-06,0.9999939123318465,DOWN,SW
ANXA4,14.055983333333334,12.182555555555556,1.8734277777777777,0.9999575213545562,4.7780978992370826e-05,UP,195.91489434677854,175.30067505,20.614219296778543,0.6892516668785268,0.3139670782559663,flat,SW
APOB,11.699308333333335,17.795277777777777,-6.095969444444442,2.2961756022336874e-06,0.9999979960558109,DOWN,1774.0248530684562,2971.7106646666666,-1197.6858115982104,2.1949047156674594e-07,0.9999998155547067,DOWN,SW
AQP1,14.008391666666668,11.371177777777778,2.6372138888888905,0.9971676481563512,0.0030887448082552553,UP,694.1840483020134,531.3319048,162.8521435020134,0.8909429728967376,0.11082303581302565,flat,SW
ARID1A,10.464969444444444,10.445644444444445,0.019324999999998482,0.5395552255083499,0.4717235323563589,flat,508.6388116795974,384.00940298166665,124.62940869793073,0.9180690011101734,0.0833785253792357,flat,ctx
ASXL1,11.027838888888887,9.9375,1.090338888888887,0.9999955171131103,5.112817971066715e-06,UP,228.63439180107383,171.99348881666666,56.64090298440718,0.9526327768396655,0.04833578072653366,UP,EPI
BAP1,10.009169444444446,10.590933333333332,-0.5817638888888865,0.018508410264382665,0.982740389767586,DOWN,178.49757446375838,132.47764172166669,46.0199327420917,0.9958659671729237,0.0042715048688475275,UP,ctx
BIRC5,7.668280555555556,3.316688888888889,4.351591666666668,0.9999979960558109,2.2961756022336874e-06,UP,148.9047841100671,121.25888945666667,27.645894653400447,0.9825412910866457,0.01790434002265905,UP,FA
CA9,9.487372222222222,5.518466666666667,3.968905555555555,0.999420866116298,0.0006396413212893194,UP,1851.5543698951674,1596.2096698000003,255.34470009516713,0.5485838125181678,0.4549997808101613,flat,ctx
CCNB1,8.852608333333334,5.286977777777778,3.565630555555556,0.9999979960558109,2.2961756022336874e-06,UP,177.49523154013423,115.86237712833332,61.632854411800906,0.9994454708091087,0.0005804747054367581,UP,FA
CCND1,12.77382222222222,12.234266666666668,0.5395555555555518,0.8914585237255599,0.11391901121592224,flat,2976.175414950336,2032.3037809999998,943.871633950336,0.9888518363242547,0.011458684055328282,UP,ctx
CD274,3.959311111111111,3.591,0.3683111111111108,0.7823982829585566,0.22604258799392596,flat,244.96505272986582,326.9999683166667,-82.03491558680088,0.009973827636640812,0.990303377319012,DOWN,ctx
CD44,11.022161111111112,9.273844444444444,1.7483166666666676,0.997404684656087,0.0028323518436487757,UP,898.5561898375838,572.8270251833334,325.72916465425044,0.8125314319674897,0.1899602900049207,flat,FA
CD8A,6.567080555555555,7.186444444444444,-0.6193638888888886,0.10334901263026525,0.9016607141135773,flat,198.90657238328856,261.3729636,-62.46639121671143,0.105582755719935,0.896125619018031,flat,ctx
CDC20,8.348099999999997,3.3492333333333337,4.998866666666663,0.9999979960558109,2.2961756022336874e-06,UP,550.4128000633557,181.56920041666663,368.8435996466891,0.9998165335094479,0.00019383333531894047,UP,FA
CDH1,13.510933333333334,12.621822222222223,0.8891111111111112,0.9990552939564766,0.0010394908347117061,UP,334.172010948255,222.64192100000002,111.53008994825495,0.9455364001111219,0.055538819230536544,flat,ctx
