gene,role,normal_mean,tumor_mean,change_pct,p_value
PTF1A,SWITCH,7.002736568627451,6.4959994244604315,-7.236273122670688,7.846915277941276e-13
NR5A2,SWITCH,9.016374705882354,7.425544244604317,-17.643792690205824,5.22978054855784e-13
RBPJL,SWITCH,8.313587843137254,6.527846762589928,-21.47978844081655,2.9094875794115528e-11
BHLHA15,SWITCH,8.04826843137255,7.091852374100719,-11.883500972006281,1.6041336521463423e-10
CPA1,SWITCH,11.490208529411767,9.715600863309351,-15.444520972442833,5.557719311291144e-08
PRSS1,SWITCH,11.3172287254902,9.847399568345324,-12.987536019611646,9.967570239017488e-08
CTRC,ACINAR,10.3671,7.956277194244603,-23.25455340216066,6.68004108597552e-11
PNLIPRP1,ACINAR,9.817870294117649,7.255641942446043,-26.097598307106974,1.3642642888688909e-11
AMY2A,ACINAR,11.134813431372548,9.392103812949639,-15.65099971511684,7.373066947602516e-10
PNLIP,ACINAR,10.591082549019607,8.443569136690646,-20.276618583505904,3.7006510367089773e-09
CEL,ACINAR,10.61175696078431,8.340105683453238,-21.40692899136257,1.1171202863408803e-09
CELA3B,ACINAR,11.145456666666666,9.334894100719424,-16.244848641888236,2.9278291199217955e-09
CELA3A,ACINAR,11.515306666666666,9.571230647482015,-16.882537959776304,3.3853213905144363e-09
PNLIPRP2,ACINAR,10.065783137254902,7.6662627338129505,-23.838387641801894,1.0015298683612655e-09
CPA2,ACINAR,10.891508921568628,8.720831151079137,-19.930000389485635,8.718232227302405e-09
CTRB2,ACINAR,11.587069901960787,9.927757985611512,-14.320375473599952,4.016507272845233e-08
CPB1,ACINAR,11.201651470588235,9.529653237410074,-14.926354721607488,1.4216283565053182e-07
PRSS2,ACINAR,11.428112647058827,10.341716187050359,-9.506350642142698,8.639301574362053e-07
PRSS3,ACINAR,8.905692647058823,7.74814582733813,-12.997830327133311,4.594524081450131e-08
AMY2B,ACINAR,7.738854411764705,7.354415683453237,-4.967643889605155,2.564210966999166e-08
KRT19,FA,7.167790784313726,9.297587913669066,29.713438818781807,3.522167320218763e-23
KRT7,FA,7.297437647058823,8.756275323741008,19.991094782017882,1.0315632511409519e-16
