gene,r_tcga,p,p_fmt,r_geo
SLC2A1,0.6722,1.7991302651871725e-71,1.80e-71,0.5903
VIM,0.5298,5.572357337490152e-40,5.57e-40,0.685
TGFB1,0.5179,5.650643374815198e-38,5.65e-38,0.5101
CA9,0.4572,6.072117731728875e-29,6.07e-29,0.5595
FAP,0.4557,9.660005428080541e-29,9.66e-29,0.2134
LDHA,0.429,2.56449850980806e-25,2.56e-25,0.6764
VEGFA,0.4238,1.0810996564965555e-24,1.08e-24,0.5559
COL1A1,0.4171,6.767771448405938e-24,6.77e-24,0.316
EGLN3,0.4161,9.059949164114253e-24,9.06e-24,0.4285
FN1,0.4019,3.750027698907368e-22,3.75e-22,0.2843
PDK1,0.3579,1.3900652158701506e-17,1.39e-17,0.6943
MYC,0.3484,1.0914494969241905e-16,1.09e-16,0.6225
SNAI1,0.3286,6.589533384174716e-15,6.59e-15,-0.01
TOP2A,0.3107,2.050010130283115e-13,2.05e-13,0.5445
FOXP3,0.3089,2.841740279335624e-13,2.84e-13,0.0918
TWIST1,0.3045,6.413389476713861e-13,6.41e-13,-0.0512
EZH2,0.3042,6.7927988496473e-13,6.79e-13,0.5279
CCNB1,0.2881,1.1455672771664545e-11,1.15e-11,0.2524
MKI67,0.2836,2.4521108917477347e-11,2.45e-11,0.2101
FABP7,0.2833,2.5915795355167046e-11,2.59e-11,0.2533
ACTA2,0.2609,9.351448000189028e-10,9.35e-10,0.1573
CDC20,0.2525,3.291887758753444e-09,3.29e-09,0.126
DNMT3A,0.2517,3.6651363543868557e-09,3.67e-09,0.1836
CD68,0.2449,9.855043420394034e-09,9.86e-09,0.5552
SIX2,0.2422,1.439288793383523e-08,1.44e-08,-0.0152
SCD,0.2355,3.647378807016564e-08,3.65e-08,0.7381
WNT5A,0.2354,3.7001515520770716e-08,3.70e-08,-0.055
JAG1,0.2298,7.875619570833203e-08,7.88e-08,0.1359
WT1,0.2207,2.574119653113038e-07,2.57e-07,-0.1457
ACLY,0.2174,3.9441613687537067e-07,3.94e-07,0.5409
CD8A,0.1596,0.0002131354458330327,0.0002,0.1425
EPAS1,0.1396,0.0012172009415495418,0.0012,0.1679
ARNT,0.1344,0.0018499243017436541,0.0018,0.1282
PDCD1,0.1293,0.002753386989412706,0.0028,-0.0073
FASN,0.1111,0.010211539156032337,0.0102,0.0989
EGLN1,0.1005,0.020148645371513244,0.0201,0.5312
PTEN,0.0962,0.026242677143306484,0.0262,-0.3033
MET,0.0905,0.03658778756851641,0.0366,0.4342
CCND1,0.0791,0.06774877510174901,0.0677,0.2495
ACACA,0.0747,0.08472819383124061,0.0847,0.0678
KDM5C,0.0678,0.11763507668080708,0.1176,-0.1057
KDM1A,0.047,0.27863303433478015,0.2786,0.0449
PIK3CA,0.0449,0.3007613444674362,0.3008,0.0966
PBRM1,0.0379,0.3817000464105469,0.3817,-0.1928
HIF1A,0.03,0.4886330584599207,0.4886,-0.2217
SETD2,-0.0188,0.6646942703242611,0.6647,-0.3018
PLIN2,-0.024,0.5803241133939421,0.5803,0.5382
VHL,-0.0354,0.41485199135548123,0.4149,-0.0967
LHX1,-0.0655,0.13079457004628192,0.1308,-0.2982
EGLN2,-0.0779,0.07191719482514199,0.0719,0.2213
HMGCR,-0.0802,0.06419166404597335,0.0642,-0.2654
MTOR,-0.0879,0.04231291170815089,0.0423,-0.1994
CD274,-0.0962,0.026159555184017195,0.0262,-0.0396
HNF4A,-0.1285,0.002932809528278721,0.0029,-0.0598
PAX2,-0.1606,0.00019323924098102777,0.0002,-0.4038
PAX8,-0.223,1.9312282380303387e-07,1.93e-07,-0.4461
BAP1,-0.2345,4.158715174475102e-08,4.16e-08,-0.1555
CDH1,-0.2369,3.0279359856940633e-08,3.03e-08,-0.2415
HNF1A,-0.257,1.6672234783814492e-09,1.67e-09,0.0842
AQP1,-0.296,2.9466683876842176e-12,2.95e-12,-0.3363
GATM,-0.3292,5.799471348584827e-15,5.80e-15,-0.2611
SLC13A3,-0.3671,1.7559106040718642e-18,1.76e-18,-0.498
UMOD,-0.3806,7.429646104570029e-20,7.43e-20,-0.6809
CPT1A,-0.3822,5.177517335432306e-20,5.18e-20,-0.3974
PCK2,-0.444,3.3795724671302565e-27,3.38e-27,-0.5399
AGXT,-0.4717,6.185612316311816e-31,6.19e-31,-0.4228
PCK1,-0.5044,8.236992400574726e-36,8.24e-36,-0.5347
ALDOB,-0.5442,1.7086907495904564e-42,1.71e-42,-0.4798
G6PC,-0.549,2.288336950039376e-43,2.29e-43,-0.5397
SLC34A1,-0.5592,2.9948295389130984e-45,2.99e-45,-0.6139
SLC22A6,-0.5639,3.824981817321142e-46,3.82e-46,-0.5093
FBP1,-0.5844,3.121024866438574e-50,3.12e-50,-0.678
