gene,r,p,p_fmt
SCD,0.7381,1.3934648940166606e-13,1.39e-13
PDK1,0.6943,1.345496152982695e-11,1.35e-11
VIM,0.685,3.2053794005442546e-11,3.21e-11
LDHA,0.6764,6.958812844965454e-11,6.96e-11
MYC,0.6225,5.2852062396829545e-09,5.29e-09
SLC2A1,0.5903,4.8436688463427546e-08,4.84e-08
CA9,0.5595,3.235077867145545e-07,3.24e-07
VEGFA,0.5559,3.9991574953540776e-07,4.00e-07
CD68,0.5552,4.168917158891501e-07,4.17e-07
TOP2A,0.5445,7.6241330644127e-07,7.62e-07
ACLY,0.5409,9.353689531738958e-07,9.35e-07
PLIN2,0.5382,1.0846145843053648e-06,1.08e-06
EGLN1,0.5312,1.5828289852418367e-06,1.58e-06
EZH2,0.5279,1.8875405264055638e-06,1.89e-06
TGFB1,0.5101,4.715214907597099e-06,4.72e-06
MET,0.4342,0.00013854864720174,0.0001
EGLN3,0.4285,0.00017343218737710434,0.0002
COL1A1,0.316,0.006844128664174448,0.0068
FN1,0.2843,0.015489183084898868,0.0155
FABP7,0.2533,0.03181755838951339,0.0318
CCNB1,0.2524,0.03244928028558397,0.0324
CCND1,0.2495,0.03452868348753646,0.0345
EGLN2,0.2213,0.06179778505735897,0.0618
FAP,0.2134,0.0718242812534728,0.0718
MKI67,0.2101,0.07644869925847445,0.0764
DNMT3A,0.1836,0.12258740335887684,0.1226
EPAS1,0.1679,0.15858118422706377,0.1586
ACTA2,0.1573,0.18708171081230102,0.1871
CD8A,0.1425,0.23231142288656503,0.2323
JAG1,0.1359,0.25503397184880483,0.2550
ARNT,0.1282,0.28331528772873943,0.2833
CDC20,0.126,0.2914971334024274,0.2915
FASN,0.0989,0.4086047794801909,0.4086
PIK3CA,0.0966,0.419666765650597,0.4197
FOXP3,0.0918,0.44333885026667963,0.4433
HNF1A,0.0842,0.4821376999604489,0.4821
ACACA,0.0678,0.5714583963128994,0.5715
KDM1A,0.0449,0.7078951136210714,0.7079
PDCD1,-0.0073,0.9514004685169926,0.9514
SNAI1,-0.01,0.933791128145885,0.9338
SIX2,-0.0152,0.8989032533229986,0.8989
CD274,-0.0396,0.7409766768932818,0.7410
TWIST1,-0.0512,0.6694429051950975,0.6694
WNT5A,-0.055,0.6461763569200223,0.6462
HNF4A,-0.0598,0.6179591755459077,0.6180
VHL,-0.0967,0.4191370131304001,0.4191
KDM5C,-0.1057,0.37699807708701816,0.3770
WT1,-0.1457,0.22209711233839205,0.2221
BAP1,-0.1555,0.19206895930658038,0.1921
PBRM1,-0.1928,0.10472235434322802,0.1047
MTOR,-0.1994,0.09309280964557173,0.0931
HIF1A,-0.2217,0.06124843586180765,0.0612
CDH1,-0.2415,0.04095559740000055,0.0410
GATM,-0.2611,0.02670908333842108,0.0267
HMGCR,-0.2654,0.024255956756178195,0.0243
LHX1,-0.2982,0.01095557602986029,0.0110
SETD2,-0.3018,0.009975502544204824,0.0100
PTEN,-0.3033,0.009597983883714583,0.0096
AQP1,-0.3363,0.0038679289938521773,0.0039
CPT1A,-0.3974,0.0005474747225582667,0.0005
PAX2,-0.4038,0.0004351441992760311,0.0004
AGXT,-0.4228,0.00021538938030640027,0.0002
PAX8,-0.4461,8.602931739615215e-05,8.60e-05
ALDOB,-0.4798,2.0014900110904498e-05,2.00e-05
SLC13A3,-0.498,8.54228061351091e-06,8.54e-06
SLC22A6,-0.5093,4.902965466180075e-06,4.90e-06
PCK1,-0.5347,1.3104583217624926e-06,1.31e-06
G6PC,-0.5397,9.984287036973604e-07,9.98e-07
PCK2,-0.5399,9.837143473176215e-07,9.84e-07
SLC34A1,-0.6139,9.787384324096359e-09,9.79e-09
FBP1,-0.678,6.079789921585014e-11,6.08e-11
UMOD,-0.6809,4.66173978446233e-11,4.66e-11
