gene,log2FC,direction,p_mwu,p_fmt
UMOD,-9.2284,DOWN,6.024681981064014e-23,6.02e-23
SLC13A3,-7.1425,DOWN,7.063621092686241e-23,7.06e-23
ALDOB,-5.688,DOWN,3.2879887733622293e-22,3.29e-22
SLC22A6,-5.562,DOWN,2.28005262184632e-21,2.28e-21
CA9,4.9176,UP,1.4228228583465794e-23,1.42e-23
SLC34A1,-4.3791,DOWN,3.893632408595394e-21,3.89e-21
FABP7,4.2492,UP,2.233890310616881e-16,2.23e-16
AGXT,-4.0202,DOWN,5.012805861864365e-20,5.01e-20
WT1,-3.8753,DOWN,1.183810166964017e-16,1.18e-16
EGLN3,3.7517,UP,8.406692395148735e-24,8.41e-24
PCK1,-3.5572,DOWN,2.8688896402106935e-21,2.87e-21
FBP1,-3.4507,DOWN,3.419154729484272e-22,3.42e-22
PCK2,-3.1742,DOWN,1.3578724445174397e-20,1.36e-20
PDK1,3.1698,UP,1.852901277769198e-24,1.85e-24
G6PC,-3.0753,DOWN,1.7623461517250815e-17,1.76e-17
FAP,2.8084,UP,5.230339055398086e-15,5.23e-15
SCD,2.7768,UP,9.40175480151421e-22,9.40e-22
TOP2A,2.6375,UP,3.419154729484272e-22,3.42e-22
COL1A1,2.6275,UP,1.9402408162781404e-15,1.94e-15
LHX1,-2.4947,DOWN,7.45153996994442e-22,7.45e-22
FN1,2.4551,UP,2.4016839527030883e-23,2.40e-23
CCND1,2.2992,UP,1.5780090615834648e-20,1.58e-20
PLIN2,2.151,UP,1.5752718218080674e-18,1.58e-18
MYC,2.0974,UP,2.2948575965431055e-20,2.29e-20
VIM,1.9456,UP,2.761231581736727e-21,2.76e-21
VEGFA,1.8833,UP,1.5198724765518556e-20,1.52e-20
EZH2,1.7648,UP,7.167948381802619e-22,7.17e-22
AQP1,-1.6978,DOWN,3.866415083790821e-20,3.87e-20
TGFB1,1.6759,UP,5.051560399373205e-22,5.05e-22
GATM,-1.5939,DOWN,1.004682285244331e-20,1.00e-20
SLC2A1,1.4895,UP,8.963163618739555e-23,8.96e-23
HNF4A,-1.4663,DOWN,9.454762791922829e-18,9.45e-18
CD8A,1.4423,UP,3.817714961253226e-13,3.82e-13
PAX8,-1.3382,DOWN,2.657571521041292e-21,2.66e-21
MET,1.3374,UP,4.322203315604273e-22,4.32e-22
PDCD1,1.2949,UP,0.0045280365787839115,0.0045
CD68,1.2676,UP,5.277695321825502e-16,5.28e-16
LDHA,1.2607,UP,8.370634107132792e-22,8.37e-22
ACLY,1.0656,UP,1.415854774060272e-18,1.42e-18
MKI67,0.9904,UP,1.004682285244331e-20,1.00e-20
FOXP3,-0.8864,DOWN,2.1970332322922244e-10,2.20e-10
CD274,0.8625,UP,9.078813708692582e-14,9.08e-14
JAG1,0.8355,UP,8.041531733541135e-14,8.04e-14
CCNB1,0.7322,UP,1.0151909094483666e-14,1.02e-14
ACTA2,0.7321,UP,1.0159279556230825e-06,1.02e-06
MTOR,-0.6823,DOWN,2.3094479565112666e-16,2.31e-16
CDC20,0.6681,UP,2.7011404829646835e-05,2.70e-05
EPAS1,0.5634,UP,6.611748751303705e-07,6.61e-07
SETD2,-0.5475,DOWN,3.0522570702393646e-17,3.05e-17
HMGCR,-0.5433,DOWN,1.6748229233727282e-14,1.67e-14
HNF1A,-0.5404,DOWN,2.215502700811448e-06,2.22e-06
EGLN1,0.5232,UP,2.233890310616881e-16,2.23e-16
CPT1A,-0.5091,DOWN,6.588196345623546e-12,6.59e-12
TWIST1,0.4927,UP,0.0003970525769240852,0.0004
HIF1A,-0.474,DOWN,4.946631514271322e-07,4.95e-07
VHL,-0.4377,DOWN,5.5898113334578876e-05,5.59e-05
WNT5A,-0.4258,DOWN,0.02311930357229925,0.0231
CDH1,-0.4011,DOWN,3.1089239431412346e-05,3.11e-05
DNMT3A,0.3961,UP,6.775179242521936e-12,6.78e-12
KDM5C,-0.3878,DOWN,1.4968319855072382e-05,1.50e-05
ARNT,0.3555,UP,1.7877180857715734e-07,1.79e-07
ACACA,-0.3496,DOWN,6.293666043849244e-05,6.29e-05
BAP1,-0.3308,DOWN,1.9486075243896287e-07,1.95e-07
PAX2,-0.26,DOWN,0.0051282251950734905,0.0051
KDM1A,-0.1884,DOWN,0.0033385421983557,0.0033
PIK3CA,0.1002,UP,0.017343828924311754,0.0173
SIX2,-0.1001,NS,0.7326386886220548,0.7326
EGLN2,0.0735,NS,0.12059944150922704,0.1206
PTEN,0.0691,NS,0.5909924134774652,0.5910
SNAI1,-0.0439,NS,0.9601669392723429,0.9602
PBRM1,0.0232,NS,0.8872054190739841,0.8872
FASN,0.0101,NS,0.9792805260593542,0.9793
