gene,log2FC,direction,p_mwu,p_fmt
UMOD,-16.08,DOWN,7.698621195300398e-43,7.70e-43
CA9,10.8256,UP,3.278112275690663e-38,3.28e-38
FABP7,9.6211,UP,1.4317714996105024e-36,1.43e-36
SLC34A1,-7.4101,DOWN,1.8931479715296604e-15,1.89e-15
SLC13A3,-7.3695,DOWN,1.3129084405818044e-20,1.31e-20
LHX1,-6.7481,DOWN,3.404923735323492e-40,3.40e-40
ALDOB,-6.4163,DOWN,9.219657188039732e-20,9.22e-20
EGLN3,4.6069,UP,2.7626239701364242e-36,2.76e-36
WT1,-4.4348,DOWN,1.2194964290793867e-19,1.22e-19
G6PC,-4.3161,DOWN,7.244623718958033e-13,7.24e-13
SLC22A6,-4.0555,DOWN,1.9148549698276226e-10,1.91e-10
SCD,3.5677,UP,3.843952444027946e-35,3.84e-35
VEGFA,3.465,UP,1.6245305401629327e-37,1.62e-37
PCK1,-3.3912,DOWN,8.55466472451589e-19,8.55e-19
AGXT,-3.3322,DOWN,2.8197715819235786e-13,2.82e-13
PLIN2,3.3002,UP,1.329295431085429e-31,1.33e-31
CD8A,3.2826,UP,2.832959091706224e-32,2.83e-32
MKI67,3.1684,UP,3.628327662970393e-32,3.63e-32
COL1A1,3.1255,UP,1.5152111868017837e-24,1.52e-24
TOP2A,3.0126,UP,5.636481230887889e-33,5.64e-33
VIM,2.8548,UP,1.8401288002409273e-37,1.84e-37
PDCD1,2.6496,UP,1.0246286939850217e-25,1.02e-25
FAP,2.6027,UP,3.994383435657587e-15,3.99e-15
CD68,2.516,UP,5.9375322986373686e-36,5.94e-36
CCND1,2.2227,UP,1.7024380790648567e-35,1.70e-35
EZH2,2.0773,UP,8.2909179880496e-36,8.29e-36
SLC2A1,2.0694,UP,2.825414715456889e-31,2.83e-31
PDK1,2.0444,UP,2.1882616229193094e-35,2.19e-35
LDHA,1.9507,UP,6.922402373048089e-36,6.92e-36
MYC,1.8954,UP,3.1565870818392736e-24,3.16e-24
FBP1,-1.8404,DOWN,1.693043054834634e-24,1.69e-24
GATM,-1.8377,DOWN,3.885994074585327e-08,3.89e-08
CDH1,-1.7293,DOWN,2.5223495503334364e-31,2.52e-31
TGFB1,1.7175,UP,2.477492780568602e-34,2.48e-34
CDC20,1.6677,UP,9.79153271151378e-28,9.79e-28
FN1,1.6426,UP,1.2919541673317664e-23,1.29e-23
FOXP3,1.5122,UP,9.541550874116743e-13,9.54e-13
ACLY,1.4371,UP,6.171334525414857e-33,6.17e-33
ACTA2,1.3193,UP,2.2462643800088807e-14,2.25e-14
SIX2,-1.249,DOWN,6.270330027312075e-11,6.27e-11
MET,1.1344,UP,8.950739102730371e-27,8.95e-27
HMGCR,-1.1017,DOWN,1.3479294946129538e-35,1.35e-35
MTOR,-1.0676,DOWN,2.608763850263632e-39,2.61e-39
HIF1A,-1.0432,DOWN,8.950725138986947e-27,8.95e-27
PCK2,-1.0194,DOWN,3.301641280866486e-08,3.30e-08
PAX8,-0.9647,DOWN,1.4934597582845764e-23,1.49e-23
WNT5A,-0.9408,DOWN,7.194629649274195e-13,7.19e-13
AQP1,-0.9389,DOWN,1.7382591911325074e-15,1.74e-15
SETD2,-0.8563,DOWN,5.183901706256262e-29,5.18e-29
CPT1A,-0.8394,DOWN,4.202599619908926e-22,4.20e-22
SNAI1,0.7789,UP,1.122317203589716e-06,1.12e-06
HNF1A,0.7751,UP,1.9255117432397866e-05,1.93e-05
VHL,-0.7714,DOWN,1.0956446235486687e-21,1.10e-21
TWIST1,0.7583,UP,1.7102977654978576e-08,1.71e-08
CCNB1,0.7135,UP,3.2619728298164236e-18,3.26e-18
ACACA,-0.6809,DOWN,1.6126073152518508e-20,1.61e-20
JAG1,0.6512,UP,2.04491662768465e-11,2.04e-11
EPAS1,0.6247,UP,1.161112761948835e-08,1.16e-08
ZEB1,0.6038,UP,1.075652215540545e-11,1.08e-11
KDM1A,-0.4882,DOWN,8.766844406892683e-28,8.77e-28
BAP1,-0.484,DOWN,7.145761955593283e-22,7.15e-22
PBRM1,-0.4827,DOWN,2.1781001179838036e-13,2.18e-13
EGLN1,0.4245,UP,5.290028986935382e-13,5.29e-13
KDM5C,0.3168,UP,7.473805481958903e-09,7.47e-09
PIK3CA,-0.2658,DOWN,5.036302995246258e-05,5.04e-05
DNMT3A,0.2013,UP,0.00013590144637543782,0.0001
EGLN2,0.1638,UP,5.082844762433775e-05,5.08e-05
HNF4A,-0.1319,NS,0.09385071002711842,0.0939
CD274,0.0983,NS,0.21083196315814068,0.2108
PTEN,0.0946,NS,0.07987099118995447,0.0799
ARNT,-0.0794,DOWN,0.004836700787530279,0.0048
FASN,0.0636,NS,0.29085903571819416,0.2909
PAX2,-0.0334,NS,0.11311219808192025,0.1131
