gene,drug,r,p,tier
FBP1,FBP1 restoration (experimental),-0.5844,3.121024866438574e-50,TIER_1
TGFB1,TGF-β inhibitor / Galunisertib,0.5179,5.650643374815198e-38,TIER_1
CA9,CA9 inhibitor (SLC-0111),0.4572,6.072117731728454e-29,TIER_2
FAP,FAP-targeted therapy (ADC / CAR-T),0.4557,9.660005428080541e-29,TIER_2
VEGFA,Anti-VEGF / Sunitinib / Bevacizumab,0.4238,1.0810996564965555e-24,TIER_2
CPT1A,CPT1A restoration (experimental),-0.3822,5.177517335432306e-20,TIER_2
MYC,MYC inhibitor / BET bromodomain,0.3484,1.0914494969241386e-16,TIER_2
TOP2A,Topoisomerase inhibitor,0.3107,2.050010130283115e-13,TIER_2
FOXP3,Anti-Treg / Anti-CTLA-4,0.3089,2.841740279335624e-13,TIER_2
EZH2,EZH2 inhibitor / Tazemetostat,0.3042,6.792798849647022e-13,TIER_2
MKI67,Proliferation marker (not target),0.2836,2.4521108917477347e-11,TIER_3
SCD,SCD inhibitor (MF-438 / A939572),0.2355,3.647378807016564e-08,TIER_3
ACLY,ACLY inhibitor / Bempedoic acid analogue,0.2174,3.9441613687535934e-07,TIER_3
EPAS1,HIF2α inhibitor / Belzutifan,0.1396,0.0012172009415495418,DEPTH_AGNOSTIC
CD274,Anti-PD-L1 / Atezolizumab,-0.0962,0.026159555184017195,DEPTH_AGNOSTIC
MET,MET inhibitor / Cabozantinib,0.0905,0.03658778756851641,DEPTH_AGNOSTIC
MTOR,mTOR inhibitor / Everolimus,-0.0879,0.04231291170815089,DEPTH_AGNOSTIC
CCND1,CDK4/6 inhibitor / Palbociclib,0.0791,0.06774877510174901,DEPTH_AGNOSTIC
