gene,low,mid,high,trend
UMOD,15.0219,6.5383,5.8903,DOWN with depth
SLC34A1,9.1382,6.5462,5.6301,DOWN with depth
SLC13A3,8.9062,5.9646,5.3067,DOWN with depth
AGXT,7.1525,5.761,4.5181,DOWN with depth
PCK1,12.7275,12.074,8.7589,DOWN with depth
SLC22A6,8.3694,7.4969,4.3158,DOWN with depth
GATM,12.7421,12.9802,12.2527,DOWN with depth
AQP1,12.4833,13.0161,11.2059,DOWN with depth
FBP1,11.0914,10.1919,9.1143,DOWN with depth
G6PC,7.8688,6.3315,5.2466,DOWN with depth
CA9,9.0743,11.5855,11.5694,UP with depth
VEGFA,13.5693,14.923,15.0206,UP with depth
EGLN3,10.4434,11.9565,11.8936,UP with depth
SLC2A1,9.8754,10.5926,11.2157,UP with depth
PDK1,10.3667,12.0047,12.118,UP with depth
LDHA,13.8521,15.2929,15.4207,UP with depth
EPAS1,13.1624,14.3283,13.9007,UP with depth
SCD,9.2329,12.1082,12.5498,UP with depth
ACLY,12.3346,13.6157,13.6793,UP with depth
EZH2,7.3087,8.5133,8.6861,UP with depth
HIF1A,14.4125,13.3172,13.5281,DOWN with depth
VHL,8.0794,7.476,7.5628,DOWN with depth
ARNT,9.0589,9.4132,9.3371,UP with depth
EGLN1,11.2708,12.4555,12.4831,UP with depth
EGLN2,8.5139,8.9379,9.0217,UP with depth
LHX1,7.1267,4.4764,4.809,DOWN with depth
HNF4A,10.0622,10.213,9.9393,DOWN with depth
HNF1A,7.6281,8.6595,8.1828,UP with depth
JAG1,12.3149,13.3789,13.0422,UP with depth
PAX8,11.7328,11.1482,10.8107,DOWN with depth
PAX2,10.8292,10.9917,9.7805,DOWN with depth
SIX2,6.7251,5.9558,6.2963,DOWN with depth
WT1,9.12,6.3369,6.8499,DOWN with depth
PCK2,10.6737,9.9355,9.5131,DOWN with depth
ALDOB,12.4122,11.1136,8.4172,DOWN with depth
FASN,7.7351,7.9258,7.9026,UP with depth
ACACA,9.2857,8.9138,9.153,DOWN with depth
HMGCR,9.5197,9.2154,9.1915,DOWN with depth
CPT1A,11.1016,10.7642,10.2667,DOWN with depth
FABP7,5.8147,10.4817,10.5882,UP with depth
PLIN2,11.5975,14.8904,14.6959,UP with depth
TWIST1,7.1602,6.4261,6.4109,DOWN with depth
VIM,13.2293,15.1747,15.3726,UP with depth
SNAI1,6.3409,6.2732,5.9424,DOWN with depth
CDH1,11.8401,11.3747,10.9663,DOWN with depth
FN1,13.6723,13.9351,14.3778,UP with depth
ACTA2,12.4653,13.8031,13.5501,UP with depth
FAP,7.6922,7.3086,7.9044,UP with depth
TGFB1,9.1194,10.4159,10.8203,UP with depth
COL1A1,13.1653,13.2855,14.0463,UP with depth
WNT5A,9.8369,8.2637,8.9765,DOWN with depth
BAP1,8.7691,8.6799,8.6399,DOWN with depth
PBRM1,10.1724,9.9362,9.887,DOWN with depth
SETD2,10.0499,9.6505,9.5728,DOWN with depth
KDM5C,8.4606,8.1484,8.1805,DOWN with depth
KDM1A,9.3501,9.4011,9.4643,UP with depth
DNMT3A,9.417,9.123,9.4118,DOWN with depth
CD8A,7.8295,9.4353,9.3612,UP with depth
CD274,7.9587,8.4007,8.1002,UP with depth
FOXP3,5.5291,5.6061,5.8988,UP with depth
CD68,7.0685,8.6012,8.9064,UP with depth
PDCD1,5.7833,5.7686,5.3263,DOWN with depth
MTOR,8.1725,7.8139,7.7838,DOWN with depth
CCND1,10.9558,13.0078,12.508,UP with depth
MYC,10.0774,11.938,12.0679,UP with depth
MET,12.277,13.4202,13.5439,UP with depth
PIK3CA,9.2391,9.5059,9.4165,UP with depth
PTEN,12.2165,11.9322,11.6367,DOWN with depth
MKI67,7.5406,7.7168,7.8757,UP with depth
TOP2A,6.5594,8.1569,8.4979,UP with depth
CDC20,6.8066,6.7288,7.0345,UP with depth
CCNB1,8.2449,8.4151,8.9031,UP with depth
