gene,low,mid,high,trend
UMOD,4.9672,2.2427,1.4044,DOWN with depth
SLC34A1,6.094,4.0896,1.7926,DOWN with depth
SLC13A3,7.575,5.0205,4.9675,DOWN with depth
AGXT,4.4688,3.843,2.3297,DOWN with depth
PCK1,11.2104,10.4327,7.4342,DOWN with depth
SLC22A6,8.3341,7.44,2.7594,DOWN with depth
GATM,12.4029,12.512,11.3386,DOWN with depth
AQP1,13.7806,14.114,12.611,DOWN with depth
FBP1,10.2275,9.6342,8.0655,DOWN with depth
G6PC,6.8296,6.1331,2.4887,DOWN with depth
CA9,9.3496,12.28,12.4652,UP with depth
VEGFA,13.539,14.9126,15.001,UP with depth
EGLN3,11.6301,13.4585,13.4872,UP with depth
SLC2A1,11.2164,12.3193,13.2117,UP with depth
PDK1,9.757,10.4248,10.4889,UP with depth
LDHA,14.6476,15.2515,15.3819,UP with depth
EPAS1,13.2903,14.138,13.8369,UP with depth
SCD,12.3518,13.0973,13.1859,UP with depth
ACLY,12.5832,13.1792,13.0879,UP with depth
EZH2,6.5957,7.0185,7.2285,UP with depth
HIF1A,11.5912,11.4986,11.7645,UP with depth
VHL,8.3402,8.3494,8.3341,DOWN with depth
ARNT,10.1684,10.3791,10.3704,UP with depth
EGLN1,11.3852,11.5193,11.5068,UP with depth
EGLN2,10.1812,10.0448,10.0652,DOWN with depth
LHX1,2.0269,1.0466,1.6273,DOWN with depth
HNF4A,8.9869,9.8896,8.5767,DOWN with depth
HNF1A,9.3973,9.6521,8.6489,DOWN with depth
JAG1,11.4238,12.2908,12.1134,UP with depth
PAX8,11.5045,11.0834,10.877,DOWN with depth
PAX2,9.8469,10.1901,9.4901,DOWN with depth
SIX2,2.5195,2.896,3.7051,UP with depth
WT1,3.8349,3.937,5.1781,UP with depth
PCK2,10.2758,9.8213,9.3036,DOWN with depth
ALDOB,10.6525,9.4549,5.9421,DOWN with depth
FASN,9.7984,9.8339,10.1416,UP with depth
ACACA,9.2817,9.1597,9.4733,UP with depth
HMGCR,9.5532,9.3185,9.3785,DOWN with depth
CPT1A,11.5446,11.2737,10.7866,DOWN with depth
FABP7,7.1634,9.5493,10.1572,UP with depth
PLIN2,13.4632,14.2905,13.4418,DOWN with depth
TWIST1,3.3213,3.984,4.449,UP with depth
VIM,15.2462,16.2039,16.5973,UP with depth
ZEB1,9.5366,10.3247,10.1618,UP with depth
SNAI1,6.3691,7.3189,7.6656,UP with depth
CDH1,11.4033,10.7838,10.4414,DOWN with depth
FN1,13.9407,14.8379,15.4899,UP with depth
ACTA2,12.4187,13.194,13.3754,UP with depth
FAP,5.4337,6.6113,7.6489,UP with depth
TGFB1,10.5797,11.3245,11.831,UP with depth
COL1A1,12.1718,13.2158,14.3846,UP with depth
WNT5A,6.5483,6.5284,7.4257,UP with depth
BAP1,10.5057,10.1777,10.2104,DOWN with depth
PBRM1,9.3038,9.4756,9.4957,UP with depth
SETD2,10.1246,10.1283,10.1527,UP with depth
KDM5C,10.9071,10.9967,11.0271,UP with depth
KDM1A,9.9284,9.8703,9.9681,UP with depth
DNMT3A,8.3067,8.5577,8.6938,UP with depth
CD8A,7.8777,8.9745,8.8012,UP with depth
CD274,5.4833,5.4089,5.1683,DOWN with depth
FOXP3,3.7237,4.8413,5.1755,UP with depth
CD68,12.0487,12.5812,12.7407,UP with depth
PDCD1,4.9046,5.804,5.6305,UP with depth
MTOR,10.0125,9.9645,9.9736,DOWN with depth
CCND1,13.4315,14.1545,13.75,UP with depth
MYC,9.951,10.9347,11.1013,UP with depth
MET,12.6132,12.5444,12.7221,UP with depth
PIK3CA,8.6786,8.8443,8.8517,UP with depth
PTEN,10.911,11.0973,11.1044,UP with depth
MKI67,8.0087,8.5773,8.9452,UP with depth
TOP2A,7.9206,8.544,8.9533,UP with depth
CDC20,6.13,6.3618,6.8906,UP with depth
CCNB1,7.6137,7.5623,8.1837,UP with depth
