gene,r,p
VEGFA,0.4546272394850792,6.0261781805736494e-05
ANGPT2,0.4002623209263834,0.0004944408400534391
AXL,0.37959142886095076,0.0010069362880341622
KDR,0.16174448000694489,0.1746591344031599
HGF,0.10253568439412855,0.391401111186973
FGFR1,0.09613224752377375,0.42180369123736483
FGF2,0.08548275128678279,0.4752525313613651
FLT1,0.05583763534317822,0.6413088194311449
PDGFRB,0.030628043585694847,0.7984148988247093
MET,0.006763795883035821,0.9550320134158269
TYRO3,-0.009810543482354779,0.9348135071967605
NTRK1,-0.02703812453380548,0.8216276682304405
VEGFC,-0.032135918744456024,0.7887153464606954
TEK,-0.07194341907341206,0.5481362703019625
MERTK,-0.1464919248635832,0.21948173439588614
RET,-0.17828702695221757,0.13403656516488693
PDGFRA,-0.21952183910909887,0.063914709489768
GAS6,-0.22892019717389467,0.05308537176174043
