gene,r,p
AXL,0.5071724145485862,3.016618532986067e-36
VEGFA,0.4238334907118709,1.0810996564965555e-24
ANGPT2,0.35173570154521727,5.373491924228309e-17
HGF,0.32572277504969527,1.1555570161034442e-14
NTRK1,0.30764180038535827,3.608258083852387e-13
PDGFRB,0.2951572105481061,3.3955394833863525e-12
FLT1,0.1990839251228491,3.5482672041239082e-06
FGF2,0.1731803996403117,5.746449440589006e-05
FGFR1,0.15789680951103413,0.0002490812393920174
PDGFRA,0.12948740425264965,0.002718733256784773
VEGFC,0.12422213033798173,0.004040325237345254
RET,0.10314245038407556,0.017114542450047142
MET,0.09048401868989374,0.03658778756851641
TYRO3,0.08145862815908807,0.059958615519992264
KDR,0.03580902443855291,0.4089082112880044
TEK,-0.03717701253728449,0.3912315900232061
MERTK,-0.06929239526889377,0.10972958513526099
GAS6,-0.11797085763629445,0.006347462190152528
