gene,r,p
EZH1,-0.2985,0.010882854739297603
KDM5C,-0.2722,0.020725079418156316
PBRM1,-0.2719,0.020877619490736042
BCOR,-0.2683,0.022680950343831517
SMARCA4,-0.2533,0.031829147000992944
JARID2,-0.242,0.040571899105157086
CREBBP,-0.2376,0.04443121224330025
TET2,-0.2086,0.07862976632270155
HDAC2,-0.2043,0.08521962422769788
SETD2,-0.1777,0.13524427092786295
ARID1A,-0.1769,0.13724751539979294
EED,-0.1601,0.17916565221087574
BAP1,-0.1555,0.19206895930658038
SUZ12,-0.084,0.48280928906386744
EP300,-0.0756,0.5280785407552157
ASXL1,-0.068,0.5702047306771791
KDM6A,-0.0386,0.7474332948719333
DNMT3A,-0.038,0.7516123953705679
SMARCB1,0.0092,0.9388128926296
RCOR1,0.0334,0.7805396472010173
KDM1A,0.0449,0.7078951136210703
VHL,0.1044,0.3828152832346077
HDAC1,0.2415,0.040986818329321995
EZH2,0.5279,1.8875405264055638e-06
