gene,r,p
VIM,0.6850390375715836,3.2053794005442546e-11
ESRP1,-0.47721057876193335,2.251813982131068e-05
OCLN,-0.46887835775387154,3.264171997602028e-05
EPCAM,-0.353737015752818,0.0023019026943668646
ESRP2,-0.33225985961531257,0.004351812264659655
ITGB6,-0.26369351269956876,0.02521276381791531
CDH2,0.20706482826507486,0.08094627640970983
CDH1,-0.19134347474595242,0.10737536081280992
KRT7,-0.19027835954445887,0.10938303294689689
ZEB2,0.15746607903473817,0.18649541646757778
TWIST2,-0.12522486866561566,0.294590596829963
CTNNB1,-0.11344796361702854,0.3426926928333983
MMP14,-0.1127109701996396,0.34585767696831476
CLDN4,-0.10850464486626604,0.3642685382012258
MMP9,0.09962194245830054,0.4050704204737282
SNAI2,-0.09850631587670935,0.4103772046540005
MMP2,-0.07254123134363674,0.5448078536304894
TWIST1,-0.05117479081346195,0.6694429051950975
FN1,0.05068626685070783,0.6724178034113822
KRT19,0.04242368041958833,0.7234617098283064
SNAI1,-0.00996475526847758,0.933791128145885
