gene,r,p
VIM,0.5298384006096006,5.572357337490152e-40
FN1,0.40194531272007283,3.750027698907368e-22
MMP9,0.3703537733433332,8.363430174054462e-19
ZEB2,0.3651790511592851,2.7340749400113997e-18
SNAI2,0.3637086645491276,3.813202660045682e-18
KRT19,0.34657920672990083,1.622640848118896e-16
SNAI1,0.32856163503317026,6.589533384174716e-15
OCLN,-0.3207312254402518,3.0586897682671274e-14
TWIST1,0.3044955026513112,6.413389476713861e-13
MMP2,0.2414383552801677,1.6046092188713488e-08
CDH1,-0.2368663964945572,3.0279359856940633e-08
CLDN4,-0.2135382390873541,6.340982621684621e-07
TWIST2,0.20948735833661516,1.04020942993028e-06
EPCAM,-0.20941598662637573,1.04922948408076e-06
MMP14,0.19923781300709437,3.4860478329194136e-06
ZEB1,0.19647932804548063,4.776937998519524e-06
CDH2,0.1709441834870244,7.179516279122162e-05
ESRP1,-0.1578986292479907,0.000249039649618484
KRT7,-0.1567636937696986,0.0002762782006983701
ESRP2,-0.12994407341673994,0.002625119074652154
ITGB6,0.07008842701225501,0.1056994850960223
CTNNB1,0.013764283187412789,0.7509850263516558
