pos,neg,rt,rg,rmin
CA9,SLC22A6,0.8152597351655744,0.7797304342135172,0.7797304342135172
CA9,G6PC,0.7800297648246086,0.764520835767529,0.764520835767529
CA9,FBP1,0.7583867079144075,0.8310396828239355,0.7583867079144075
VIM,FBP1,0.7577194417656437,0.8232609216808963,0.7577194417656437
EGLN3,FBP1,0.7541504292465008,0.7713395297589867,0.7541504292465008
VEGFA,PCK1,0.7446508093253505,0.7840242862447121,0.7446508093253505
VEGFA,SLC22A6,0.7500503722098546,0.7421633637285052,0.7421633637285052
EGLN3,SLC22A6,0.7608104286093407,0.7326158332018506,0.7326158332018506
LDHA,FBP1,0.7195811925817274,0.8204368175640765,0.7195811925817274
EGLN3,PCK1,0.7191075486315044,0.7844434904051272,0.7191075486315044
CA9,PCK1,0.7186860675907414,0.7730806171711297,0.7186860675907414
LDHA,SLC22A6,0.7115163732334904,0.7113322985333573,0.7113322985333573
VEGFA,FBP1,0.7083584241222467,0.7957231929661902,0.7083584241222467
VIM,SLC22A6,0.7418476873818205,0.6994662199106955,0.6994662199106955
VEGFA,G6PC,0.7476838088486542,0.6950633076179901,0.6950633076179901
EGLN3,G6PC,0.7587497673577157,0.6949511596540697,0.6949511596540697
MYC,SLC22A6,0.6921661847569417,0.7175364236885771,0.6921661847569417
LDHA,PCK1,0.6772818114627985,0.7412525140377486,0.6772818114627985
CA9,AGXT,0.7056930743391141,0.6758461129304142,0.6758461129304142
LDHA,G6PC,0.7105750036279292,0.6702916559992171,0.6702916559992171
SLC2A1,UMOD,0.6693916893231708,0.74333303353075,0.6693916893231708
VIM,G6PC,0.713619129156629,0.6687449264212126,0.6687449264212126
MYC,FBP1,0.6641749579036684,0.805407954684337,0.6641749579036684
VIM,PCK1,0.663286047151209,0.722315283405115,0.663286047151209
MYC,G6PC,0.6506853652172525,0.6664206819369975,0.6506853652172525
SLC2A1,SLC13A3,0.647158849506708,0.6763264499549679,0.647158849506708
LDHA,AGXT,0.6735868589842949,0.6424228447945184,0.6424228447945184
