gene,r,p
VIM,-0.3750333126706914,0.0011707353842347924
CA9,-0.36932348210157473,0.0014097371267123423
UMOD,0.36201640057288725,0.0017794408669456765
VEGFA,-0.32573015591381604,0.0052363437329214215
PAX8,0.3256383168650742,0.005249842101812413
ACTA2,-0.23944625215447257,0.04278708229734959
AQP1,0.18983886207056766,0.11021987002543579
HDAC1,0.1815139626418218,0.127022817979415
SLC22A6,-0.1741066612421865,0.14355344909868525
G6PC,-0.10570085359613607,0.37686711770509096
AGXT,-0.10320360656060035,0.38830672319279647
GATM,-0.08026316047356673,0.5027184703931649
SLC34A1,-0.07727346122708265,0.5188122758869732
EZH2,-0.06840437630637547,0.5680393574333181
PCK1,-0.058561348877504735,0.6251018444992636
FBP1,0.004647907933047396,0.9690906922388351
