gene,hr,ci_lo,ci_hi,p,c_index,verdict,n,events
EPAS1,0.6658979317422196,0.6078350291235224,0.7295072416901713,2.4273538597639943e-18,0.3650972981462436,SIG,941,337
SLC2A1,1.1665508829329596,1.0436771480224025,1.3038907338828283,0.006672230392604345,0.5386076815125923,CONFIRMED ✓,941,337
EZH2,1.6921500447738111,1.4640565588795469,1.9557794790519365,1.0768910896048957e-12,0.6044036213858336,CONFIRMED ✓,941,337
DNMT3A,1.6363903461263272,1.3137634614079616,2.0382461862850625,1.1044877456469637e-05,0.5613654671374941,CONFIRMED ✓,941,337
KDM1A,1.7285279322345763,1.2185267531270312,2.4519845828970994,0.0021555372335487076,0.5205260838066095,CONFIRMED ✓,941,337
HDAC1,2.365146639170656,1.7386190120958134,3.217449358291024,4.1949482341833495e-08,0.5760425163261274,CONFIRMED ✓,941,337
LOXL2,1.2171491895480135,1.1158430051458752,1.327652853300554,9.331785937878242e-06,0.565621152784181,CONFIRMED ✓,941,337
LOX,1.0732681931372523,1.0117851911427536,1.1384873236769673,0.018812382586348254,0.5218179883779251,CONFIRMED ✓,941,337
RUNX1,1.5820721827215318,1.414939534885531,1.768946537735806,8.080018963663385e-16,0.6371318705258305,CONFIRMED ✓,941,337
TGFBI,1.1330985202438588,1.0822783766858397,1.1863050063981022,9.441184142336974e-08,0.5838750044330059,CONFIRMED ✓,941,337
CBFB,2.5950999571780917,2.007897093641143,3.354028355872181,3.198332114346809e-13,0.6183663233409159,CONFIRMED ✓,941,337
SLC13A2,0.9221871913022491,0.8717225223870065,0.9755732976512196,0.004783895552003417,0.4595785857951293,CONFIRMED ✓,941,337
OGDHL,0.8296868340837891,0.7865841839422869,0.8751513909190024,6.9152694155229545e-12,0.3997000754877573,CONFIRMED ✓,941,337
GOT1,0.6665663756504595,0.5821980672881784,0.7631607834380925,4.240911417750572e-09,0.41633271355689194,CONFIRMED ✓,941,337
FBP1,0.8118470289387432,0.7579929582869648,0.8695273368847587,2.6467241933824834e-09,0.4045738488117011,CONFIRMED ✓,941,337
SLC22A8,0.8751139323782903,0.8360722364816214,0.9159787411017912,1.0108569716192534e-08,0.39953542098357003,CONFIRMED ✓,941,337
CD274,0.8041331989998657,0.733566188090642,0.8814885585400751,3.290689330273549e-06,0.4352502495149025,CONFIRMED ✓,941,337
IL2RA,1.1684106718930598,1.0945798184697566,1.2472215138244955,2.9610818298574264e-06,0.569248618168738,CONFIRMED ✓,941,337
FOXP3,1.2148053003272563,1.1377673554328727,1.2970594653260497,5.844842756240239e-09,0.6026202864481743,CONFIRMED ✓,941,337
AXL,1.3588585732178278,1.1926020879770838,1.548292293483786,4.1206851770553774e-06,0.5686051990292984,CONFIRMED ✓,941,337
IFI16,1.8213695278304312,1.5363068084114506,2.1593258187402316,5.043135467641489e-12,0.6253831383655127,CONFIRMED ✓,941,337
