gene,r,p,abs_r,novel
SLC2A1,0.672206636900184,1.799130265187158e-71,0.672206636900184,False
SLC13A2,-0.6414057342999061,3.1799601614672146e-63,0.6414057342999061,True
LOXL2,0.6312499822598088,1.0436218823404903e-60,0.6312499822598088,True
RUNX1,0.6254768447856361,2.555812469062301e-59,0.6254768447856361,True
SLC22A8,-0.6212599904408622,2.5338841277506e-58,0.6212599904408622,False
SUCLG1,-0.6143904834324944,9.876179207082258e-57,0.6143904834324944,True
NAP1L1,0.61094480355888,5.996023666339418e-56,0.61094480355888,True
LDHD,-0.5938353248604713,3.375690454675705e-52,0.5938353248604713,True
CYP17A1,-0.5920746438501294,7.97347336108666e-52,0.5920746438501294,True
ABAT,-0.5902108341517206,1.9692576926063356e-51,0.5902108341517206,True
CAV1,0.5890696562335102,3.4155538732125926e-51,0.5890696562335102,True
FBP1,-0.5844386664626984,3.1210248664386714e-50,0.5844386664626984,False
OGDHL,-0.5843964480631861,3.1840933869482194e-50,0.5843964480631861,True
ATP5A1,-0.5821917749559387,9.014606649899446e-50,0.5821917749559387,True
GOT1,-0.5819522909929116,1.0088669515311088e-49,0.5819522909929116,True
CTHRC1,0.5774045993538669,8.405079146627572e-49,0.5774045993538669,True
SLC2A3,0.5772267299627134,9.125566931562889e-49,0.5772267299627134,False
ENAM,-0.5761885065690148,1.4733640012556927e-48,0.5761885065690148,True
LOX,0.5737015312768101,4.6096203964227223e-48,0.5737015312768101,True
AIFM1,-0.5723984316399151,8.347021720459206e-48,0.5723984316399151,True
PECI,-0.566964137535437,9.651204303844885e-47,0.566964137535437,True
TMEM171,-0.5666209278063432,1.12475750707849e-46,0.5666209278063432,True
SLC22A6,-0.5638619828107959,3.824981817320898e-46,0.5638619828107959,False
FAM115C,0.5636047348941193,4.28488766925387e-46,0.5636047348941193,True
ACAT1,-0.562367275773505,7.388167410896412e-46,0.562367275773505,True
IVD,-0.5596768883835677,2.3960999974764552e-45,0.5596768883835677,True
SLC34A1,-0.5591640716210143,2.994829538913249e-45,0.5591640716210143,False
PEPD,-0.5580284348031145,4.901015781486132e-45,0.5580284348031145,True
TGFBI,0.5575849766614913,5.937375722316085e-45,0.5575849766614913,True
HIBCH,-0.5533178439152437,3.7055968164943226e-44,0.5533178439152437,True
SEPHS2,-0.5526207799018932,4.985195453509315e-44,0.5526207799018932,True
PLOD2,0.5525915394722775,5.047536511635843e-44,0.5525915394722775,True
TST,-0.551720330394274,7.305421652244892e-44,0.551720330394274,True
HSDL2,-0.5511970706471726,9.117093555124879e-44,0.5511970706471726,True
BPHL,-0.5506301745417796,1.1585086447782463e-43,0.5506301745417796,True
OSTBETA,-0.5500534056609142,1.4775767035458098e-43,0.5500534056609142,True
G6PC,-0.5490134901590152,2.2883369500392217e-43,0.5490134901590152,False
ACY1,-0.5484315220716133,2.9210741421093308e-43,0.5484315220716133,True
IFI16,0.5466691661604577,6.100178950886999e-43,0.5466691661604577,True
PCCA,-0.5457696502620076,8.868297460828167e-43,0.5457696502620076,True
SLC43A3,0.5455014352564985,9.912842788236875e-43,0.5455014352564985,True
ALDH1L1,-0.5453107965611778,1.0728598844663343e-42,0.5453107965611778,True
SHC1,0.5450054685916307,1.2175980626164298e-42,0.5450054685916307,True
ALDOB,-0.5441863974141351,1.708690749590618e-42,0.5441863974141351,False
RUNX2,0.5419603926295555,4.2713140787689007e-42,0.5419603926295555,True
HMGCS2,-0.5402367956927913,8.642076690804663e-42,0.5402367956927913,True
CRAT,-0.5399507305905208,9.710537795973117e-42,0.5399507305905208,True
GLT25D1,0.5375031333315676,2.620703211072288e-41,0.5375031333315676,True
STC1,0.5354587420427459,5.968478980243401e-41,0.5354587420427459,True
ITGA5,0.5350191731877338,7.118688334014054e-41,0.5350191731877338,True
PANK1,-0.5347802450948335,7.833470114134319e-41,0.5347802450948335,True
AQP7,-0.5346323999958891,8.310950327405334e-41,0.5346323999958891,True
SPRYD4,-0.5345004391804831,8.76144336270451e-41,0.5345004391804831,True
ENO2,0.5341555299297841,1.0056514363634813e-40,0.5341555299297841,True
SEMA4B,0.5339314389676576,1.0997901204495053e-40,0.5339314389676576,True
RNF24,0.5332359754352596,1.4512205504752967e-40,0.5332359754352596,True
AGPAT9,-0.5326041049962883,1.8659634788888337e-40,0.5326041049962883,True
MSRA,-0.5317932301492032,2.574321084030526e-40,0.5317932301492032,True
CBARA1,-0.5312310654658853,3.2161299344698114e-40,0.5312310654658853,True
