,SLC2A1,SLC13A2,LOXL2,RUNX1,SLC22A8,SUCLG1,NAP1L1,LDHD,CYP17A1,ABAT,CAV1,FBP1,OGDHL,ATP5A1,GOT1,CTHRC1,SLC2A3,ENAM,LOX,AIFM1,PECI,TMEM171,SLC22A6,FAM115C,ACAT1,IVD,SLC34A1,PEPD,TGFBI,HIBCH,SEPHS2,PLOD2,TST,HSDL2,BPHL,OSTBETA,G6PC,ACY1,IFI16,PCCA
SLC2A1,0.0,-0.30821773861154883,0.660002739737701,0.5076227942569466,-0.17420247407267395,-0.47464636731370036,0.45000033117325805,-0.42626865776952305,-0.4232640702378343,-0.3353469251350559,0.4858215482038721,-0.2970725389518521,-0.3920913813194869,-0.5173914670337083,-0.48012986012965087,0.45562989584326996,0.5931652797816996,-0.4388975122814618,0.5992694270758839,-0.4467256172202383,-0.3488136836730739,-0.41680438401611675,-0.19328772532315167,0.5551182112562659,-0.4570578967465963,-0.4225812116924083,-0.11048633474969922,-0.26068502086596995,0.5133212211850775,-0.38588468357048383,-0.37302991217669834,0.5737172975746525,-0.3325262597729131,-0.37212560204964873,-0.23806074018581835,-0.3616724752143278,-0.1552353520396191,-0.21761620305761295,0.4467675566045394,-0.35417952208900944
SLC13A2,-0.30821773861154883,0.0,-0.3967579864537931,-0.41384435058157504,0.5875425577644563,0.3673149969552882,-0.4609976701156271,0.40611742831009434,0.5415311835953979,0.5355564085633292,-0.46290218217122453,0.518992970847995,0.3390127751176393,0.2624322068438711,0.3889552271715733,-0.43658825112309924,-0.34741021476003187,0.3955703554061124,-0.3445206933919935,0.4156436501628737,0.34361069303825914,0.4145424825272194,0.5194643379772416,-0.3068328197015411,0.35945875070626865,0.3813129349154848,0.42048644847365224,0.5004191656694735,-0.41964884326739976,0.45709967196815066,0.4562972884083326,-0.25350688679649974,0.40058065479844307,0.3591389019823311,0.4772637989410898,0.44472414541116095,0.5082373508267384,0.4734429018561563,-0.2921749569334038,0.36858598722484204
LOXL2,0.660002739737701,-0.3967579864537931,0.0,0.608128068584607,-0.2324546044189494,-0.5735615925060117,0.49055739802768095,-0.4956710203761401,-0.4213645184470411,-0.4543954170954951,0.5944914447112684,-0.3916636400145801,-0.5376841223513041,-0.5651641636020793,-0.5691234152230557,0.621573372777867,0.6104969459182225,-0.5589023298023934,0.621534280893554,-0.5499001551980616,-0.48371768475070137,-0.5873542500917949,-0.2843780137153772,0.477390012727274,-0.5718575168347403,-0.5524038828764187,-0.264748916161991,-0.367486628723789,0.6230641445907078,-0.5333856271348678,-0.4848327568901909,0.5345297020865484,-0.4164618424255772,-0.5649132445414684,-0.3926226652599326,-0.4503574702575811,-0.2718946559663221,-0.4326049006810299,0.5488777183031707,-0.4592433756550677
RUNX1,0.5076227942569465,-0.41384435058157504,0.608128068584607,0.0,-0.3840747215883096,-0.5909567322440391,0.6023557967354072,-0.6848524692086806,-0.4092805932891542,-0.44087837522673207,0.4419668223556107,-0.464211983872324,-0.5256738941121205,-0.6234583705589639,-0.6387078004728001,0.6611390306221453,0.5219595478357738,-0.550463151836817,0.507700021800718,-0.45645536760627053,-0.5646184166687873,-0.6678858655839411,-0.48064669191220577,0.4788503926327999,-0.7213414672104785,-0.5387745057375797,-0.25606957212899867,-0.38003851794150345,0.7656048512393931,-0.6271121515054402,-0.4446019870305991,0.5304565223661383,-0.4093266074742694,-0.5624259192082373,-0.585052131168606,-0.49536695779284146,-0.4104697642003196,-0.4012457827448104,0.6893606165318862,-0.6237249247034284
SLC22A8,-0.17420247407267395,0.5875425577644563,-0.23245460441894938,-0.38407472158830963,0.0,0.33220950439378544,-0.3759595715950609,0.3443664624598393,0.35738257391433237,0.44357758965357824,-0.25569948066751264,0.4934998153543297,0.2698348086274485,0.20983971838485485,0.2708373016106922,-0.35680760580033255,-0.14281201704757981,0.3097749201443875,-0.17945107881266442,0.3011900365629025,0.3451833028118428,0.34986085479183543,0.7064873812176014,-0.13534678703207162,0.33532153944867565,0.3180241721422031,0.6065601722219829,0.37247235743386176,-0.2961602787126983,0.4628279637154511,0.3763028555870503,-0.22631485928797712,0.3182666943785,0.3592283861440865,0.49624295298546045,0.4330275649223752,0.5483458077583654,0.375522461990725,-0.2448824478053036,0.37431594680755975
SUCLG1,-0.47464636731370036,0.36731499695528824,-0.5735615925060116,-0.5909567322440391,0.3322095043937854,0.0,-0.4000575320451393,0.511056935891465,0.534680413446121,0.3362804991623107,-0.5586157449828332,0.2250842918525991,0.5762875639714939,0.7360728370358797,0.6722069435935769,-0.4045696715195715,-0.5390191249359005,0.3396515890141283,-0.5149692769537749,0.5799882700691926,0.5649600526843819,0.47388551859221184,0.20700921220314641,-0.6145895987355693,0.5505920186733617,0.5058370431034396,0.2284736548801068,0.475813875506912,-0.41835808635222504,0.44335762985044125,0.5593206102014769,-0.32785342965817577,0.4985012042342668,0.5215107017557783,0.4427369875180598,0.5662444484553687,0.1040384379728312,0.5224545461769249,-0.6103456724650079,0.524576503822746
NAP1L1,0.45000033117325805,-0.46099767011562715,0.4905573980276809,0.6023557967354073,-0.37595957159506094,-0.40005753204513933,0.0,-0.6033251690353304,-0.39783720746716644,-0.5008429372650697,0.5706534160494946,-0.5117069346163483,-0.45575124188916305,-0.40749845397071277,-0.48214066587642634,0.6252368256255806,0.4445533793477455,-0.5536249630759212,0.48946507772428105,-0.4652125546126982,-0.3509467411329287,-0.5245418170937912,-0.47130130536758963,0.35750910559767435,-0.516413640930302,-0.5835407678109065,-0.2875743860414691,-0.37701631618115744,0.6057455220395502,-0.4905813872523028,-0.39155174579804847,0.4813642874450967,-0.46085400335734217,-0.4406799300533621,-0.487032480920863,-0.39490973812559865,-0.4092463533904393,-0.43825041080105265,0.5639384186750075,-0.5092027619469138
LDHD,-0.42626865776952305,0.4061174283100944,-0.49567102037614,-0.6848524692086806,0.3443664624598393,0.511056935891465,-0.6033251690353304,0.0,0.4705992662654875,0.46132413567159014,-0.44940624234015647,0.3415692554182394,0.5470169746841774,0.5833106015966755,0.6382492239806976,-0.5542824412069137,-0.4557990649399408,0.5242599263917146,-0.45733021718752437,0.38190633864126056,0.4131416054205629,0.5100250963769334,0.36785763367261937,-0.44129850775457574,0.6298383480929305,0.5997518726759569,0.1745427466837591,0.2969631408033141,-0.5472804860741797,0.4255958036103814,0.42573583786868757,-0.46666596486385215,0.39713868808183916,0.3939620812889022,0.4471629553239786,0.42269982027218655,0.2815805639007223,0.4052991701447886,-0.629941963104015,0.5778850043608049
CYP17A1,-0.4232640702378343,0.5415311835953979,-0.4213645184470411,-0.4092805932891542,0.35738257391433237,0.5346804134461212,-0.39783720746716644,0.4705992662654875,0.0,0.41634656751384164,-0.39230860276834023,0.2989539786920001,0.4520938745656365,0.5042669649284733,0.5673488180119401,-0.27999498587040744,-0.41894850198342526,0.31870615364373683,-0.32439320658827836,0.5196228165344612,0.3690643637004096,0.40231694395873674,0.29327960622264987,-0.423835320545333,0.45139391396855755,0.42539791923216835,0.22164034140313793,0.4385295137200546,-0.3532751068174059,0.3302119406338999,0.5096400226705767,-0.19823662240028284,0.38595923983440317,0.30831798295418245,0.32718859124577176,0.48246823652143606,0.20579340878273866,0.39630017164169407,-0.38371038570873967,0.4053636055752384
ABAT,-0.3353469251350559,0.5355564085633293,-0.4543954170954951,-0.44087837522673207,0.4435775896535782,0.3362804991623107,-0.5008429372650698,0.4613241356715902,0.4163465675138416,0.0,-0.39794080781325936,0.4813600927791713,0.43666162687659976,0.32044251309828325,0.399173544118907,-0.44599730977634344,-0.40324465560849426,0.46365230921108025,-0.24985782516088276,0.5429350164483868,0.38796992197571345,0.5170676919515925,0.5317949080558498,-0.22542754494027553,0.49960049264615836,0.5033245237765982,0.42897203052967187,0.4648956621730397,-0.369599878110266,0.5422196812725874,0.49798581304518774,-0.24200054305475396,0.33800374505922137,0.4609294639686322,0.508985337006445,0.45698358534662337,0.5248348761416183,0.5245808656465188,-0.32170959706200947,0.4595993209500071
