analysis,hr,p,c,logrank_p,verdict,c_index,n
FA1_TI_pooled,0.9148496953221582,0.739664996803987,0.5068050950968417,0.05087813773738653,NOT CONFIRMED ✗,,
FA2_TI_pooled,1.266442566669194,0.45640687680435477,0.5037515267841564,0.525957864554859,,,
gene_KRT19,1.036804010881455,0.281913138515265,,,NS,0.5055836677717676,476.0
gene_ERBB2,0.669461166745639,0.01071119332565156,,,DIRECTION ✗,0.3755016576513697,476.0
gene_KRT7,0.8572173205553241,6.010367949161544e-06,,,DIRECTION ✗,0.3088902460303612,476.0
gene_EZH2,1.5319727585040692,0.0013253479627231138,,,CONFIRMED ✓,0.6266794625719769,476.0
gene_RUNX1,1.2686507527398025,0.00036618523262078173,,,CONFIRMED ✓,0.622011865294015,476.0
gene_MET,0.9920012080619591,0.9435379264859515,,,NS,0.46183039609143256,476.0
gene_CDK4,3.0596201382377113,6.049094630857237e-09,,,CONFIRMED ✓,0.6924184261036468,476.0
gene_MKI67,1.772039749910218,7.342765877344761e-15,,,CONFIRMED ✓,0.7840254754842086,476.0
gene_SLC22A6,1.0107981712097511,0.6394714448340404,,,NS,0.5222692374803699,476.0
gene_FABP1,1.057086042531001,0.12909695322247647,,,NS,0.5572980282673181,476.0
gene_FH,0.44208231214445254,5.324694285317381e-09,,,CONFIRMED ✓,0.3615861106264177,476.0
gene_OGDHL,0.8598934251353616,7.2025259441017805e-06,,,CONFIRMED ✓,0.24938928633746293,476.0
gene_LAMC2,0.9809192296619972,0.7068499022878065,,,NS,0.4614377944512302,476.0
gene_KITLG,1.0272671645101505,0.6339082836729579,,,NS,0.4870441458733205,476.0
gene_SLC7A9,0.9229345276670705,0.042421976849493157,,,CONFIRMED ✓,0.45247339033327516,476.0
gene_CD274,1.0648757137857736,0.2739295490646648,,,NS,0.5434479148490665,476.0
gene_ARG1,1.0901044885746205,0.571005333984267,,,NS,0.4427455941371488,476.0
gene_B2M,1.158628642402201,0.2395571325997042,,,NS,0.5245812249171175,476.0
