,depth_s5
TCGA-BP-4162-01,0.7996679256721515
TCGA-DV-5566-01,0.603286015982148
TCGA-BP-5191-01,0.7626541816061105
TCGA-BP-5200-01,0.7982087126602935
TCGA-BP-4347-01,0.8453469589962617
TCGA-BP-4770-01,0.8532148821253469
TCGA-BP-4762-01,0.7079089599549333
TCGA-BP-4158-01,0.7929284543696046
TCGA-CJ-4887-01,0.5823515008662274
TCGA-B2-4098-01,0.6639561675226713
TCGA-CJ-5676-01,0.8118546099769453
TCGA-A3-3370-01,0.7755472246132988
TCGA-B0-5102-01,0.8135794689892295
TCGA-B0-5701-01,0.8990887370117242
TCGA-CJ-4905-01,0.7266297176751315
TCGA-CJ-5682-01,0.8218036339389898
TCGA-AK-3428-01,0.8938323053842308
TCGA-BP-4760-01,0.9716841695838196
TCGA-B4-5378-01,0.9525976551647496
TCGA-B8-4153-01,0.7608379565924359
TCGA-CJ-6028-01,0.8347502361504695
TCGA-DV-A4VX-01,0.6736691793051333
TCGA-BP-4325-01,0.6357464991116382
TCGA-CJ-5689-01,0.6602374521082867
TCGA-B0-4691-01,0.8714449414492428
TCGA-B0-4815-01,0.8589576025765528
TCGA-BP-5004-01,0.7550500775408828
TCGA-B0-5402-01,0.7431540079135379
TCGA-CZ-5453-01,0.8040647245953598
TCGA-B0-4701-01,0.8822248152469856
TCGA-BP-5189-01,0.784434881239557
TCGA-DV-5574-01,0.558906773884693
TCGA-B0-5117-01,0.6848641440240041
TCGA-CZ-4857-01,0.9213702283713953
TCGA-CJ-4918-01,0.8365783186086571
TCGA-B8-4622-01,0.7893393831225173
TCGA-B0-4693-01,0.7884938050002599
TCGA-DV-5569-01,0.7206910365033757
TCGA-CZ-4866-01,0.6535537561165202
TCGA-B0-5095-01,0.8067789677661121
TCGA-AK-3460-01,0.8310367145635711
TCGA-B2-3924-01,0.8097050605188392
TCGA-B8-A54J-01,0.7074134018298501
TCGA-BP-4165-01,0.6097823694905926
TCGA-CW-6090-01,0.9361838084125133
TCGA-CJ-5672-01,0.7429679369633823
TCGA-A3-3328-01,0.7332333166638885
TCGA-BP-5180-01,0.8613212980863034
TCGA-A3-A8OV-01,0.8402633418615801
TCGA-B8-4619-01,0.5539512291440363
TCGA-B0-4843-01,0.7585486469967218
TCGA-AK-3450-01,0.5144762064346049
TCGA-CW-5585-01,0.55012292751873
TCGA-B8-5552-01,0.7839256073224026
TCGA-BP-5000-01,0.6661971662008928
TCGA-B0-4713-01,0.5155030072004145
TCGA-CZ-5454-01,0.8997984409844846
TCGA-AK-3465-01,0.5278398380739839
TCGA-BP-4758-01,0.5915510008995496
TCGA-CZ-4864-01,0.6683520253400039
TCGA-A3-3316-01,0.8321053508918153
TCGA-B0-5119-01,0.575900892364587
TCGA-BP-4983-01,0.9616659143734718
TCGA-B0-4848-01,0.8777462910485081
TCGA-B0-5080-01,0.8498690239251673
TCGA-AK-3447-01,0.7077012835472579
TCGA-BP-5183-01,0.709423745941848
TCGA-B4-5377-01,0.6162423001211766
TCGA-AK-3453-01,0.6073418700325279
TCGA-CZ-4858-01,0.9848474745790965
TCGA-B0-5081-01,0.7794958172739042
TCGA-B0-4836-01,0.9699505473134411
TCGA-B0-5100-01,0.8787631271878646
TCGA-A3-3374-01,0.7419625493137745
TCGA-B0-5085-01,0.6140567518335666
TCGA-CJ-4892-01,0.7723291079719186
TCGA-B0-4849-01,0.6797784421378796
TCGA-CJ-5680-01,0.6591315586752569
TCGA-BP-5187-01,0.8654386842251487
TCGA-B0-5712-01,0.6498982385928738
TCGA-B0-5693-01,0.7510280641402776
TCGA-BP-4782-01,0.7440120266232855
TCGA-B0-4816-01,0.8158650698445581
TCGA-BP-4353-01,0.8077752307272806
TCGA-CZ-5465-01,0.8391644783711413
TCGA-B0-5088-01,0.7971378129051088
TCGA-DV-5565-01,0.7705791833980666
TCGA-CZ-5451-01,0.7123047002870071
TCGA-BP-4771-01,0.7178076312851773
TCGA-CW-5588-01,0.854837066772139
TCGA-BP-5169-01,0.8594821359115409
TCGA-BP-4342-01,0.8875725943148305
TCGA-A3-3372-01,0.8741179085403122
TCGA-BP-4177-01,0.796199374311857
TCGA-B0-4814-01,0.7860052936410038
TCGA-CW-5580-01,0.8333059717100311
TCGA-CZ-4860-01,0.9569885700345763
TCGA-BP-4985-01,0.7605278159057557
TCGA-CW-5589-01,0.5918928132459995
TCGA-BP-4989-01,0.7773302374009532
TCGA-B0-4714-01,0.7170230029242775
TCGA-DV-5573-01,0.5269704683709346
TCGA-CZ-5469-01,0.9015450049904108
TCGA-CJ-6027-01,0.9469927785768338
TCGA-BP-5007-01,0.8418166642372102
TCGA-BP-4967-01,0.8796615092228968
TCGA-CJ-5683-01,0.5782190837531076
TCGA-CZ-5986-01,0.8515043977200403
TCGA-CJ-4639-01,0.7763017718527079
TCGA-BP-5176-01,0.540144691132621
TCGA-B4-5834-01,0.7867421524140588
TCGA-CZ-5467-01,0.8516323461018476
TCGA-CJ-4889-01,0.8270797113046156
TCGA-B0-5692-01,0.7152825189844654
TCGA-AK-3425-01,0.8688857123268108
TCGA-CZ-4853-01,0.6219486213547482
TCGA-BP-5195-01,0.857340960541609
TCGA-B0-5691-01,0.5359377818384164
TCGA-BP-4971-01,0.7505584264044007
TCGA-BP-4959-01,0.6170329757094293
TCGA-CJ-4884-01,0.7306688235491631
TCGA-CJ-4888-01,0.7803758391777254
TCGA-EU-5907-01,0.8190128984822076
TCGA-AK-3458-01,0.7529258730797692
TCGA-EU-5904-01,0.6951272964406041
TCGA-A3-3357-01,0.7454927021114717
TCGA-CJ-4899-01,0.8014681033416818
TCGA-A3-3322-01,0.83810904710044
TCGA-CZ-5466-01,0.7624223020113023
TCGA-B0-4712-01,0.9425515363671724
TCGA-BP-4756-01,0.2045340890148358
TCGA-B0-4845-01,0.6774799739951275
TCGA-CZ-5982-01,0.6535907372533277
TCGA-BP-5181-01,0.7931617152320743
TCGA-AK-3445-01,0.9038284158470857
TCGA-B0-4838-01,0.7061277388174767
TCGA-CZ-5459-01,0.8823563656941951
TCGA-B8-5165-01,0.49787021988430913
TCGA-B8-5158-01,0.8765262209128273
TCGA-A3-3362-01,0.5142296872790841
TCGA-CJ-4638-01,0.6938955259153573
TCGA-BP-4799-01,0.9361766601687936
TCGA-B0-4841-01,0.6922718425156447
TCGA-BP-4795-01,0.9647163416124911
TCGA-CJ-4923-01,0.7924542245102586
TCGA-CJ-4641-01,0.7004570690568195
TCGA-CJ-4893-01,0.7432373724753096
TCGA-BP-4976-01,0.8604103088223634
TCGA-BP-4341-01,0.5358878304106163
TCGA-DV-A4W0-01,0.7297289471892625
TCGA-BP-4166-01,0.8447605015473441
TCGA-B0-4813-01,0.8924630883243122
TCGA-B0-5098-01,0.7267638838010906
TCGA-CZ-5463-01,0.8323372659769621
TCGA-CZ-5457-01,0.820532062426755
TCGA-CJ-5686-01,0.6673993834724439
TCGA-CZ-4861-01,0.8858764078247353
TCGA-B0-4842-01,0.8360831343559341
TCGA-CZ-5468-01,0.9134803803717427
TCGA-B4-5844-01,0.6052445747948831
TCGA-AK-3451-01,0.7240468764632754
TCGA-CZ-4856-01,0.5096565692941091
TCGA-BP-4331-01,0.7753772154889775
TCGA-B0-5094-01,0.9156970606212147
TCGA-B0-4818-01,0.6259345812625691
TCGA-MM-A84U-01,0.7472208056341949
TCGA-BP-4776-01,0.723051830779928
TCGA-A3-3352-01,0.6293705753363679
TCGA-CJ-6033-01,0.8454021026198082
TCGA-AK-3426-01,0.7328238878795423
TCGA-B0-4852-01,0.7668038388651003
TCGA-BP-4972-01,0.8211378162175405
TCGA-BP-4993-01,0.7777906953771758
TCGA-B4-5838-01,0.8323558188574259
TCGA-CJ-4885-01,0.873256653886759
TCGA-B0-4696-01,0.7529199310996277
TCGA-B0-4710-01,0.7777746153982373
TCGA-BP-4789-01,0.7748991400270779
TCGA-CJ-4903-01,0.7899779246830316
TCGA-BP-4343-01,0.9215647052286493
TCGA-A3-3383-01,0.7462628020739265
TCGA-B0-5113-01,0.79887693882955
TCGA-B0-4718-01,0.8786019892204255
TCGA-B8-4154-01,0.6430475858498748
TCGA-B0-5110-01,0.7004661445891001
TCGA-BP-4968-01,0.7929435712141812
TCGA-CJ-4900-01,0.7580949744061015
TCGA-BP-4988-01,0.7954502540347447
TCGA-DV-5568-01,0.8670289952843824
TCGA-BP-4159-01,0.8427404567427904
TCGA-B8-4148-01,0.6666039044504302
TCGA-A3-3347-01,0.8714821763215747
TCGA-A3-3367-01,0.7632729521924702
TCGA-MM-A564-01,0.8425793187753514
TCGA-BP-5168-01,0.7408537079389974
TCGA-BP-5190-01,0.48805976488988695
TCGA-B0-4822-01,0.8724843029393788
TCGA-CJ-6032-01,0.7264988580657201
TCGA-B0-5713-01,0.6613454529331473
TCGA-CJ-4875-01,0.802878257487359
TCGA-A3-3351-01,0.8457757805990858
TCGA-BP-4995-01,0.7004129054097585
TCGA-B8-5551-01,0.9007771996619183
TCGA-BP-4970-01,0.7374998752229044
TCGA-BP-4964-01,0.8045403789634697
TCGA-B0-5707-01,0.5612076213079049
TCGA-BP-4774-01,0.7366123287553938
TCGA-AK-3443-01,0.7265266433294437
TCGA-CJ-4902-01,0.8395454798021893
TCGA-B8-4143-01,0.9550647330110575
TCGA-BP-4994-01,0.6605804366557484
TCGA-BP-4777-01,0.7096058346312497
TCGA-BP-4354-01,0.8929265988775907
TCGA-BP-4355-01,0.814325572383592
TCGA-A3-3346-01,0.9487470133911208
TCGA-A3-3365-01,0.8200334135827001
TCGA-B0-4824-01,0.5261847163532795
TCGA-G6-A8L6-01,0.835487931190124
TCGA-A3-3323-01,0.880241151302995
TCGA-EU-5905-01,0.8483198898174291
TCGA-BP-5196-01,0.8829519213157817
TCGA-CJ-5675-01,0.6234527632995894
