,transition_index
TCGA-BP-4162-01,-0.0777658152221169
TCGA-DV-5566-01,-0.02191068859029316
TCGA-BP-5191-01,-0.32458950365707245
TCGA-BP-5200-01,-0.14425425298129507
TCGA-BP-4347-01,-0.08365791801414396
TCGA-BP-4770-01,-0.7182254092678453
TCGA-BP-4762-01,-0.25146251997982805
TCGA-BP-4158-01,-0.09555385159417185
TCGA-CJ-4887-01,-0.06339503637959765
TCGA-B2-4098-01,-0.12513166767086886
TCGA-CJ-5676-01,-0.4531192536434734
TCGA-A3-3370-01,-0.11900099841165646
TCGA-B0-5102-01,0.06547944612180795
TCGA-B0-5701-01,-0.10821764196079953
TCGA-CJ-4905-01,-0.20019776856843874
TCGA-CJ-5682-01,-0.19193052385346548
TCGA-AK-3428-01,-0.2847185340547869
TCGA-BP-4760-01,-0.3021465106818531
TCGA-B4-5378-01,-0.25814857277247644
TCGA-B8-4153-01,0.10703387509851847
TCGA-CJ-6028-01,-0.35810872932068993
TCGA-DV-A4VX-01,-0.11326532207474421
TCGA-BP-4325-01,0.044435997971102315
TCGA-CJ-5689-01,-0.2646828722569283
TCGA-B0-4691-01,-0.3859813140230284
TCGA-B0-4815-01,-0.42153077739920175
TCGA-BP-5004-01,-0.10822484462493348
TCGA-B0-5402-01,-0.0019140913365728873
TCGA-CZ-5453-01,0.22020494238603966
TCGA-B0-4701-01,-0.14852077290598037
TCGA-BP-5189-01,-0.26641723803185846
TCGA-DV-5574-01,-0.3418583966080265
TCGA-B0-5117-01,0.281854470728971
TCGA-CZ-4857-01,-0.45830832661582604
TCGA-CJ-4918-01,-0.45499060969961197
TCGA-B8-4622-01,-0.20001632733424912
TCGA-B0-4693-01,-0.03135983693093203
TCGA-DV-5569-01,-0.24452008860505225
TCGA-CZ-4866-01,0.08682518813008283
TCGA-B0-5095-01,-0.7246878407797036
TCGA-AK-3460-01,0.02918334507420145
TCGA-B2-3924-01,-0.055523708837706076
TCGA-B8-A54J-01,-0.027453980674805256
TCGA-BP-4165-01,-0.041610716874374454
TCGA-CW-6090-01,-0.5562647493249911
TCGA-CJ-5672-01,-0.08667544946649719
TCGA-A3-3328-01,0.49647853511676987
TCGA-BP-5180-01,-0.1818203794569927
TCGA-A3-A8OV-01,0.13946452169347007
TCGA-B8-4619-01,0.49586290572264013
TCGA-B0-4843-01,-0.33154515813915303
TCGA-AK-3450-01,0.17689893260938055
TCGA-CW-5585-01,0.10966762593519241
TCGA-B8-5552-01,-0.28195292201622
TCGA-BP-5000-01,-0.1973812751148893
TCGA-B0-4713-01,-0.2668968370586576
TCGA-CZ-5454-01,-0.17282773988996614
TCGA-AK-3465-01,0.3302404944483374
TCGA-BP-4758-01,-0.13838025721879632
TCGA-CZ-4864-01,-0.016463522217472715
TCGA-A3-3316-01,-0.5772959406888146
TCGA-B0-5119-01,0.16623269248530398
TCGA-BP-4983-01,-0.539634095530536
TCGA-B0-4848-01,-0.343219749459727
TCGA-B0-5080-01,-0.5298283805063779
TCGA-AK-3447-01,1.0
TCGA-BP-5183-01,0.05873098718174935
TCGA-B4-5377-01,0.059615501373010804
TCGA-AK-3453-01,0.6777726146156466
TCGA-CZ-4858-01,-0.6087742260806257
TCGA-B0-5081-01,-0.3837453102820218
TCGA-B0-4836-01,-0.5437541441291969
TCGA-B0-5100-01,-0.4171832725623709
TCGA-A3-3374-01,0.38186966397675925
TCGA-B0-5085-01,0.058232058543230214
TCGA-CJ-4892-01,-0.07338295992839355
TCGA-B0-4849-01,-0.10266753053705047
TCGA-CJ-5680-01,0.2713550476205548
TCGA-BP-5187-01,-0.2524435869857303
TCGA-B0-5712-01,0.39558486157463363
TCGA-B0-5693-01,0.04786388310332024
TCGA-BP-4782-01,-0.11523974682811527
TCGA-B0-4816-01,-0.36828383778413554
TCGA-BP-4353-01,-0.270561992400611
TCGA-CZ-5465-01,0.023003017622852506
TCGA-B0-5088-01,-0.2227119297080697
TCGA-DV-5565-01,-0.4220166678659931
TCGA-CZ-5451-01,0.09425998976404215
TCGA-BP-4771-01,-0.4570395628498468
TCGA-CW-5588-01,-0.37052156082806376
TCGA-BP-5169-01,-0.22973293222267355
TCGA-BP-4342-01,-0.4173971904912599
TCGA-A3-3372-01,-0.3258959705765395
TCGA-BP-4177-01,-0.222344359357721
TCGA-B0-4814-01,0.09822382054737933
TCGA-CW-5580-01,-0.2056399579105932
TCGA-CZ-4860-01,-0.458562830002455
TCGA-BP-4985-01,-0.5132498919983703
TCGA-CW-5589-01,-0.009330767789129224
TCGA-BP-4989-01,-0.33633744798719456
TCGA-B0-4714-01,-0.16350876868429165
TCGA-DV-5573-01,-0.06094199194648953
TCGA-CZ-5469-01,-0.49990184576285135
TCGA-CJ-6027-01,-0.3653102765803935
TCGA-BP-5007-01,-0.0975794797981494
TCGA-BP-4967-01,-0.4181626576368594
TCGA-CJ-5683-01,-0.029745151595337804
TCGA-CZ-5986-01,0.10169297898663715
TCGA-CJ-4639-01,-0.12985775549404027
TCGA-BP-5176-01,-0.11202713930702463
TCGA-B4-5834-01,-0.07743218845154654
TCGA-CZ-5467-01,-0.3426539713082668
TCGA-CJ-4889-01,-0.34298411462718437
TCGA-B0-5692-01,0.08931297909651364
TCGA-AK-3425-01,-0.31844700578168444
TCGA-CZ-4853-01,0.2239388645060727
TCGA-BP-5195-01,-0.4090215677622937
TCGA-B0-5691-01,-0.11144417837681825
