gene,r,p,abs_r,panel
KRT19,0.8031049839538464,1.0071638766487906e-66,0.8031049839538464,FA
SLC22A6,-0.8006387575514287,4.980700196483905e-66,0.8006387575514287,SW
FABP1,-0.6709631546603056,2.7151913553866072e-39,0.6709631546603056,SW
SLC5A2,-0.6612756560779927,7.781547267402931e-38,0.6612756560779927,SW
KRT7,0.6431848785526056,2.965566499982968e-35,0.6431848785526056,FA
SLC34A1,-0.6370903370543778,2.0088616070300444e-34,0.6370903370543778,SW
CUBN,-0.5863330174066851,3.5927015682817157e-28,0.5863330174066851,SW
ERBB2,0.5555663127233742,6.918158001535371e-25,0.5555663127233742,RTK
GPX3,-0.525121454844873,5.908585005445512e-22,0.525121454844873,SW
GOT1,-0.5193465487066395,1.971730606213621e-21,0.5193465487066395,TCA
SUCLG1,-0.5192296127337435,2.0199581958674195e-21,0.5192296127337435,TCA
LDHB,-0.5063932040310807,2.7110914665626516e-20,0.5063932040310807,TCA
ITGA3,0.5011788883193127,7.548235681567243e-20,0.5011788883193127,FA
SLC16A1,-0.4877587597799937,9.727596346532817e-19,0.4877587597799937,TCA
ACADM,-0.46903450330441154,2.868528374500949e-17,0.46903450330441154,TCA
SOX4,0.46341383853153806,7.612679692762266e-17,0.46341383853153806,FA
AXL,0.4558645501512119,2.746175083579231e-16,0.4558645501512119,RTK
LRP2,-0.45213399627650164,5.117105196201247e-16,0.45213399627650164,SW
FH,-0.4512573581481378,5.916471052186532e-16,0.4512573581481378,TCA
KDM1A,0.44266514429941883,2.4011524100570145e-15,0.44266514429941883,EPI
MET,0.4336423104119825,1.002406614557347e-14,0.4336423104119825,FA
MIOX,-0.428849645779522,2.105120861097895e-14,0.428849645779522,SW
PROM1,0.4191518534334511,9.11808299335953e-14,0.4191518534334511,FA
CPT1A,-0.41371867173229426,2.0311055770975767e-13,0.41371867173229426,TCA
ATP5A1,-0.40218599042243564,1.0605298416778298e-12,0.40218599042243564,TCA
SLC13A2,-0.40193332345339183,1.0988573798070458e-12,0.40193332345339183,SW
OGDHL,-0.40187327283995666,1.1081635599655772e-12,0.40187327283995666,TCA
HAVCR2,-0.3960988704810479,2.4738104610885066e-12,0.3960988704810479,IMM
ACAT1,-0.3939203820699814,3.3357622109250065e-12,0.3939203820699814,TCA
CD44,0.3938450576947608,3.370288611752368e-12,0.3938450576947608,FA
LDHD,-0.33077991479080504,7.836436062674818e-09,0.33077991479080504,TCA
HDAC1,0.32983386107843027,8.692897475373678e-09,0.32983386107843027,EPI
CD274,-0.3192672432310273,2.7036332212146924e-08,0.3192672432310273,IMM
EZH2,0.30754752784010514,9.050478451449964e-08,0.30754752784010514,EPI
SETD2,0.3074560613851429,9.134354467585243e-08,0.3074560613851429,EPI
ASXL1,0.298867454221871,2.1420069623217645e-07,0.298867454221871,EPI
HMOX1,-0.2972536126288871,2.5063779396396946e-07,0.2972536126288871,FA
TET2,0.29213702860083385,4.098333664313869e-07,0.29213702860083385,EPI
LOXL2,0.2753876553678188,1.9185510959722e-06,0.2753876553678188,ECM
MYC,-0.2734857262357888,2.271720777217294e-06,0.2734857262357888,SCAF
CDKN1A,0.25738830872785234,9.027156231492793e-06,0.25738830872785234,SCAF
FBP1,-0.25401758552573583,1.191596002304298e-05,0.25401758552573583,SW
PBRM1,0.23957370368340586,3.750049063784177e-05,0.23957370368340586,EPI
CDK4,-0.2229189110328758,0.0001291594570231354,0.2229189110328758,SCAF
B2M,-0.22179647815873324,0.00013993391165688742,0.22179647815873324,IMM
TGFB1,0.2185653887264738,0.00017583922633471877,0.2185653887264738,ECM
TWIST1,0.21053335725736078,0.00030582275332463577,0.21053335725736078,FA
VEGFA,-0.18376447037402993,0.001674052576554163,0.18376447037402993,FA
CAV1,0.179511959856338,0.0021496246917433303,0.179511959856338,FA
SLC2A9,-0.1698187071032245,0.0037255028932572432,0.1698187071032245,TCA
SLC2A1,0.1666261190200829,0.004438322645156637,0.1666261190200829,TCA
IFI16,0.16541386653278733,0.004739707588790222,0.16541386653278733,IMM
FN1,-0.15421608374721993,0.008522975293123649,0.15421608374721993,ECM
COL1A1,0.12985782749025165,0.02702066028137893,0.12985782749025165,ECM
CA9,0.125317478560231,0.03290180727491164,0.125317478560231,HIF
IL2RA,0.124916882662664,0.03346945898322018,0.124916882662664,IMM
DNMT3A,0.12349819118467335,0.0355472616389563,0.12349819118467335,EPI
FGFR3,-0.10056251146137685,0.0873662261600564,0.10056251146137685,RTK
MTOR,-0.09261154472053965,0.115559103792112,0.09261154472053965,RTK
CDH1,0.0918031419388453,0.11878472470523557,0.0918031419388453,FA
MMP2,0.0846725375805934,0.15035522472947307,0.0846725375805934,ECM
FGFR1,0.08376842794229934,0.15477504949053145,0.08376842794229934,RTK
BAP1,0.08230336104852964,0.16214457016176453,0.08230336104852964,EPI
EPAS1,-0.08153651446631663,0.16610546098180345,0.08153651446631663,HIF
POSTN,0.07869619179860635,0.18140766333370228,0.07869619179860635,ECM
RPTOR,0.07789887267718017,0.18588472098154388,0.07789887267718017,RTK
VHL,0.0718833047186957,0.22230530660699377,0.0718833047186957,HIF
RCOR1,0.0702051164579022,0.23331704528220412,0.0702051164579022,EPI
VIM,0.05857299270609197,0.3202190584191496,0.05857299270609197,FA
MMP9,0.042036660407957796,0.4757949757536327,0.042036660407957796,ECM
TIGIT,-0.036898908403852015,0.5314034373865765,0.036898908403852015,IMM
CDKN2A,0.03592330747158869,0.5423213126819465,0.03592330747158869,SCAF
CD8A,-0.033395363305229686,0.571118917533169,0.033395363305229686,IMM
CCND1,0.02775567824831872,0.6378467846090204,0.02775567824831872,SCAF
MKI67,-0.024100709976208258,0.6827546192269116,0.024100709976208258,SCAF
UMOD,0.023594775169249863,0.689064529535142,0.023594775169249863,SW
EGFR,0.01976676571098584,0.737478123038637,0.01976676571098584,RTK
HIF1A,-0.018861789578915027,0.7490851482314543,0.018861789578915027,HIF
TOP2A,0.018131860049893138,0.7584885779997043,0.018131860049893138,SCAF
ACTA2,-0.012308587281729483,0.8346743858253931,0.012308587281729483,ECM
