Gene,Pred,FC,p,Result,Verdict
UMOD,FLAT,-15.133,1.3709744892787016e-20,DOWN,—
CDKN2A,DOWN,4.331,2.9147651367909163e-18,UP,WRONG (UP)
EZH2,UP,2.175,4.003050576327093e-18,UP,CONFIRMED ✓
MET,UNCERTAIN,2.301,5.992838978624301e-18,UP,—
CPT1A,DOWN,-1.529,6.773101772341589e-18,DOWN,CONFIRMED ✓
EPAS1,FLAT,-2.395,8.206125061234901e-18,DOWN,—
FABP1,DOWN,-9.27,2.2663232976901677e-17,DOWN,CONFIRMED ✓
FBP1,DOWN,-2.559,1.8955397991746618e-16,DOWN,CONFIRMED ✓
SLC5A2,DOWN,-9.522,2.2079785265648964e-16,DOWN,CONFIRMED ✓
VIM,UP,1.774,5.658379050135169e-16,UP,CONFIRMED ✓
TOP2A,UP,3.007,6.142843651992578e-16,UP,CONFIRMED ✓
ACADM,DOWN,-1.392,7.47860216262455e-16,DOWN,CONFIRMED ✓
RPTOR,UNCERTAIN,0.532,2.271210888701094e-14,UP,—
ITGA3,UP,1.634,9.463767405729276e-14,UP,CONFIRMED ✓
MKI67,UP,2.102,4.2267777124005386e-13,UP,CONFIRMED ✓
MTOR,UNCERTAIN,-0.721,9.888857613758963e-13,DOWN,—
SLC13A2,DOWN,-5.674,1.0159099155883301e-12,DOWN,CONFIRMED ✓
CDKN1A,UP,1.747,2.710260228017176e-12,UP,CONFIRMED ✓
SLC34A1,DOWN,-7.498,3.1249210271964082e-12,DOWN,CONFIRMED ✓
CDH1,UP,-1.964,5.202282155610728e-12,DOWN,WRONG (DOWN)
CA9,FLAT,3.622,1.106112250419295e-11,UP,—
GPX3,DOWN,-3.993,2.7041373134259216e-11,DOWN,CONFIRMED ✓
ATP5A1,DOWN,-0.771,6.855484666775559e-11,DOWN,CONFIRMED ✓
SLC22A6,DOWN,-9.759,8.035021775930993e-11,DOWN,CONFIRMED ✓
ACTA2,UP,-1.623,1.3561184821673183e-10,DOWN,WRONG (DOWN)
VEGFA,UP,-1.802,1.5162333105397675e-10,DOWN,WRONG (DOWN)
HDAC1,UP,-0.417,1.1461492115801408e-09,DOWN,WRONG (DOWN)
ACAT1,DOWN,-1.04,3.151061968976892e-09,DOWN,CONFIRMED ✓
AXL,UNCERTAIN,1.192,3.826714288595122e-09,UP,—
SUCLG1,DOWN,-0.818,4.813354027855964e-09,DOWN,CONFIRMED ✓
FGFR3,UNCERTAIN,-1.04,1.850778667579269e-08,DOWN,—
SOX4,UP,1.232,7.313356976000932e-08,UP,CONFIRMED ✓
B2M,UNCERTAIN,0.695,1.1884701563058902e-07,UP,—
MMP2,UP,-1.086,1.1949879524826636e-07,DOWN,WRONG (DOWN)
