pos,neg,r
KRT19,SLC22A6+FABP1,0.9266184886901698
KRT7+CD44,SLC22A6,0.9260835182090199
KRT19+CD44,SLC22A6,0.923934058394273
KRT19,FABP1+SLC34A1,0.9238970138783188
KRT19,SLC22A6+SLC34A1,0.9218760805487061
KRT19,SLC22A6+SUCLG1,0.9195754273207362
KRT19+ITGA3,SLC22A6,0.9195710686304582
KRT19,SLC22A6+FH,0.9175466939914869
KRT19,SLC22A6+CUBN,0.9164637875883588
KRT19,SLC5A2+CUBN,0.9161851168474224
KRT19,SLC22A6+GOT1,0.9161835938449837
KRT19,SLC22A6+ACADM,0.9150921915225751
KRT19+KRT7,SLC22A6,0.9146225165533584
KRT19,SLC22A6+LDHB,0.9131456225401751
KRT7+ITGA3,SLC22A6,0.910368819105499
KRT19,SLC22A6+SLC5A2,0.9088301627369499
KRT19+MET,SLC22A6,0.9066345814702438
KRT19+SOX4,SLC22A6,0.9055785933028018
KRT19+KDM1A,SLC22A6,0.9046971028109291
KRT19+AXL,SLC22A6,0.9033467646126822
KRT19+ERBB2,SLC22A6,0.9031007039436457
KRT7,SLC22A6+CUBN,0.9023734927374046
KRT19,FABP1+SUCLG1,0.9018442384857144
KRT19,FABP1+FH,0.9015424712810354
KRT19,FABP1+GOT1,0.9001504519135536
KRT19+EZH2,SLC22A6,0.8978182367597649
KRT19+PROM1,SLC22A6,0.8966426656099146
KRT19,SLC5A2+SLC34A1,0.8965991983176562
KRT19,FABP1+CUBN,0.8960828913071333
KRT19,SLC22A6+GPX3,0.8949839864424967
KRT19,SLC22A6+SLC16A1,0.894902094760955
KRT19,FABP1+LDHB,0.8942000240693944
KRT19,SLC34A1+GOT1,0.8914155703913191
KRT19,FABP1+SLC5A2,0.8895068697410144
KRT19+CD44,FABP1,0.8892877416336008
KRT19,FABP1+ACADM,0.8889050057792304
SOX4+CD44,SLC22A6,0.8882849202207252
KRT7,SLC22A6+FH,0.8882791311303327
KRT19,SLC34A1+CUBN,0.8863072402446941
KRT19,SLC34A1+LDHB,0.885417855377411
KRT19+ITGA3,FABP1,0.8843312869401345
KRT19,SLC34A1+SUCLG1,0.8841749230937042
KRT7,SLC22A6+GOT1,0.8841359837752578
KRT19,SLC34A1+FH,0.8840235954170482
KRT7,SLC22A6+ACADM,0.8832958441956041
KRT19,SLC34A1+ACADM,0.8830905912957645
KRT7,SLC22A6+SUCLG1,0.8828604248320251
KRT19+CD44,SLC5A2,0.8821240051077783
KRT7+AXL,SLC22A6,0.8817536984777004
ERBB2+CD44,SLC22A6,0.8814299995450309
