drug_target,gene,p_logrank,med_os_hi,med_os_lo
EZH2_inhibitor,EZH2,0.04832758086122128,503.0,1188.0
MET_inhibitor,MET,0.5261344088919151,747.0,610.5
ERBB2_targeted,ERBB2,0.17792453216100404,865.0,483.5
CDK4_inhibitor,CDK4,0.39711240251852975,500.5,1103.0
KDM1A_inhibitor,KDM1A,0.6771700912833537,747.0,606.5
FH_aKG_proxy,FH,0.7028306916475356,610.5,747.0
OGDHL_aKG_proxy,OGDHL,0.03086514847049131,1192.0,441.0
CA9_targeted,CA9,0.6634885539590079,627.5,710.5
PDL1_checkpoint,CD274,0.13647321078681415,677.5,593.0
HAVCR2_checkpoint,HAVCR2,0.9513962626874946,606.5,747.0
