gene,panel,r_depth,Q4_Q1_ratio,p_mwu
ARG1,M2,0.07596843330500685,1.748305281112773,0.0029427146888013
CD163,M2,-0.1370015916645917,0.9266011721375774,0.016082085474306246
MRC1,M2,0.01408093483850759,1.0391617001086437,0.4523712263540991
IL10,M2,-0.12168118979696613,0.8288205097832182,0.05269668218288878
TGFB1,M2,0.21856538872647385,1.0737685019001317,0.00013997118416828492
CD68,M2,-0.09216952730306424,0.9674358012719945,0.015405618155659353
CSF1R,M2,-0.08504558641023818,0.9653483793737031,0.02417081849609339
FCGR3A,M2,-0.1745635884020588,0.9427157178351375,0.0038714063491935035
VSIG4,M2,-0.11606207714141484,0.9392883928388954,0.020716507073215845
MSR1,M2,-0.2147103060762399,0.9073888474763266,2.7203160639892393e-05
FOLR2,M2,-0.0380248465910155,0.9709801811731624,0.46902248496268417
LYVE1,M2,0.007536006171695541,1.0493188494283652,0.4594662518838656
TNF,M1,0.28306968100434354,1.4051646466600318,3.068778778130791e-05
IL6,M1,0.22065379235340057,1.4983758884750145,0.005788652695442907
IL12A,M1,0.12498458614704563,1.1985009204824468,0.12988244867759322
CXCL10,M1,-0.26024541323498307,0.8341203916383396,0.0005483190108267229
CD86,M1,-0.09541767541988713,0.9541776635937153,0.048096293682757
NOS2,M1,0.057053717251245126,1.0945219317906145,0.16769471821002635
IL1B,M1,-0.07981380461061462,0.9632050009992673,0.2403276215939304
CXCL9,M1,-0.1578728894951013,0.9186806136361125,0.11562957812575067
CXCL11,M1,-0.18581748181613492,0.8422576167451904,0.024666625315482797
S100A8,MDSC,0.11337149921422802,1.1123149466720472,0.2265117636476266
S100A9,MDSC,0.15686760799173424,1.1018513717943048,0.040661351102048784
ITGAM,MDSC,-0.053656052006700095,0.970601836982173,0.1992268749149877
ITGAX,MDSC,-0.09870935356409027,0.9494662103841357,0.018271079249907358
CEACAM8,MDSC,0.0607148648500949,1.6005994520097317,0.06121735339368682
FCGR3B,MDSC,0.3169750363452974,1.5901797664317046,1.5658894056006535e-07
