drug_target,gene,p_logrank,med_os_hi,med_os_lo
EZH2_inhibitor,EZH2,0.008006847509978108,657.5,841.0
MET_inhibitor,MET,0.40030716896861596,794.0,708.0
ERBB2_targeted,ERBB2,0.10645572754244069,784.5,744.0
CDK4_inhibitor,CDK4,0.008913036575743084,665.0,805.0
KDM1A_inhibitor,KDM1A,0.5662250974820546,773.5,771.0
FH_aKG_proxy,FH,0.0549008430618472,779.0,767.0
OGDHL_aKG_proxy,OGDHL,0.000405369131375802,786.0,757.0
CA9_targeted,CA9,0.04123480071811814,791.5,767.0
PDL1_checkpoint,CD274,0.3744463136712688,795.5,757.0
HAVCR2_checkpoint,HAVCR2,0.1170215572500172,781.0,765.0
PDK1_DCA,PDK1,0.09509597085278809,734.5,805.0
B2M_MHC1,B2M,0.38770071728779587,762.0,791.0
HDAC_MHC1,HDAC1,0.9898486476703495,791.0,765.0
