drug,gene,mean_Q1_shallow,n_Q1_shallow,mean_Q2_Q3_mid,n_Q2_Q3_mid,mean_Q4_deep,n_Q4_deep,mean_Type1,n_Type1,mean_Type2,n_Type2
EZH2_inhibitor,EZH2,6.5761301369863014,73,6.915782638888889,144,7.290082191780821,73,7.179248051948053,77,6.789041860465115,86
MET_inhibitor,MET,12.682494520547944,73,13.54865625,144,13.80014794520548,73,13.719388311688313,77,13.11698604651163,86
ERBB2_targeted,ERBB2,12.11921095890411,73,12.752464583333333,144,12.983408219178083,73,12.89993246753247,77,12.339573255813955,86
CDK4_inhibitor,CDK4,11.132635616438355,73,10.78450138888889,144,10.838004109589042,73,10.739453246753245,77,11.041869767441861,86
KDM1A_inhibitor,KDM1A,9.972116438356165,73,10.170783333333333,144,10.455568493150684,73,10.307346753246751,77,10.079073255813954,86
FH_aKG_proxy,FH,11.059139726027396,73,10.76480625,144,10.207580821917807,73,10.67991168831169,77,10.688074418604652,86
OGDHL_aKG_proxy,OGDHL,13.030664383561644,73,12.848496527777776,144,10.974194520547947,73,12.502515584415585,77,12.287430232558142,86
CA9_targeted,CA9,5.402221917808219,73,5.261103472222222,144,6.302186301369864,73,5.271651948051948,77,5.859701162790698,86
PDL1_checkpoint,CD274,5.576310958904109,73,4.599373611111111,144,4.43332602739726,73,4.331154545454545,77,5.2435755813953495,86
HAVCR2_checkpoint,HAVCR2,10.520419178082191,73,9.553231250000001,144,8.858638356164384,73,9.149851948051948,77,10.145322093023255,86
ARG1_inhibitor,ARG1,0.3429479452054794,73,0.4607388888888888,144,0.5995794520547946,73,0.49991948051948054,77,0.41345930232558137,86
PDK1_DCA,PDK1,8.360701369863015,73,8.26062013888889,144,8.700528767123288,73,8.239203896103897,77,8.476581395348838,86
B2M_MHC1,B2M,15.514601369863014,73,15.21005625,144,15.090380821917805,73,15.125546753246748,77,15.47381046511628,86
HDAC_MHC1,HDAC1,10.272964383561643,73,10.446227083333333,144,10.738305479452055,73,10.618351948051947,77,10.321466279069767,86
