drug,gene,p_logrank,subtype,med_hi,med_lo
EZH2_inhibitor,EZH2,0.9724905145811269,Type1,796.0,556.5
MET_inhibitor,MET,0.004059167453667693,Type1,756.0,597.0
ERBB2_targeted,ERBB2,0.022666229181716516,Type1,679.0,736.5
CDK4_inhibitor,CDK4,0.6400325241554425,Type1,621.5,768.0
KDM1A_inhibitor,KDM1A,0.14701877323625154,Type1,597.0,768.0
FH_aKG_proxy,FH,0.7509688545926505,Type1,693.0,748.0
OGDHL_aKG_proxy,OGDHL,0.7066089281870002,Type1,659.0,779.5
CA9_targeted,CA9,0.7189397545655452,Type1,736.5,679.5
PDL1_checkpoint,CD274,0.7458909713336233,Type1,645.0,748.5
HAVCR2_checkpoint,HAVCR2,0.7170045237801959,Type1,663.5,760.0
ARG1_inhibitor,ARG1,0.27322393295187564,Type1,703.0,750.0
PDK1_DCA,PDK1,0.47086194174977414,Type1,602.5,796.0
SLC16A1_MCT4,SLC16A1,0.8580596294681404,Type1,604.5,768.5
B2M_MHC1,B2M,0.44088116364715313,Type1,663.5,748.5
CDK6_inhibitor,CDK6,0.2909917449089065,Type1,634.0,795.5
CDKN2A_proxy,CDKN2A,0.9034260046750853,Type1,597.0,807.0
