drug,gene,mean_Type1_all,mean_Type1_Q4,mean_Type2_all,mean_CIMP
EZH2_inhibitor,EZH2,7.179248051948053,7.190795,6.789041860465115,8.190999999999999
MET_inhibitor,MET,13.719388311688313,13.850085000000002,13.11698604651163,13.084925
ERBB2_targeted,ERBB2,12.89993246753247,13.194015000000002,12.339573255813955,11.993125
CDK4_inhibitor,CDK4,10.739453246753245,10.701030000000001,11.041869767441861,11.160462500000001
KDM1A_inhibitor,KDM1A,10.307346753246751,10.55067,10.079073255813954,9.9701375
FH_aKG_proxy,FH,10.67991168831169,10.540169999999998,10.688074418604652,9.4564375
OGDHL_aKG_proxy,OGDHL,12.502515584415585,11.788139999999997,12.287430232558142,9.9924875
CA9_targeted,CA9,5.271651948051948,6.0439,5.859701162790698,3.9137
PDL1_checkpoint,CD274,4.331154545454545,4.0840499999999995,5.2435755813953495,5.655162499999999
HAVCR2_checkpoint,HAVCR2,9.149851948051948,8.89983,10.145322093023255,9.6721375
ARG1_inhibitor,ARG1,0.49991948051948054,0.532975,0.41345930232558137,0.6746125000000001
PDK1_DCA,PDK1,8.239203896103897,8.682554999999999,8.476581395348838,8.7722
SLC16A1_MCT4,SLC16A1,6.895163636363635,6.591555,8.46537093023256,8.730825
B2M_MHC1,B2M,15.125546753246748,15.164725,15.47381046511628,15.46705
CDK6_inhibitor,CDK6,10.116668831168832,10.00249,9.742017441860463,10.362725000000001
CDKN2A_proxy,CDKN2A,5.5665298701298696,5.9620049999999996,5.9198337209302325,6.2809875
