gene,mean_normal,mean_Type1,mean_Type2
SLC22A6,10.94255,2.5946454545454545,7.270462790697676
SLC34A1,10.33128125,3.6381532467532463,5.2521837209302324
CUBN,12.5548375,9.941203896103897,10.321473255813952
LRP2,12.315153125,12.23570909090909,12.189544186046511
SLC5A2,8.88110625,0.7956701298701299,3.3055313953488374
FABP1,9.012378125000001,1.430283116883117,2.355825581395349
GPX3,16.808,12.909644155844155,14.14173604651163
MIOX,12.460465625,10.16849090909091,9.960932558139536
SLC13A2,9.915628125,5.195393506493507,5.226362790697675
UMOD,17.05780625,2.4222610389610395,2.0404186046511628
ATP5A1,14.4622125,13.633190909090908,13.71162558139535
CPT1A,12.15385,10.525092207792207,10.79417558139535
ACADM,12.022781250000001,10.485428571428569,10.499527906976745
GOT1,12.16313125,11.515815584415584,11.701633720930232
LDHB,14.688675,14.007035064935067,14.418391860465118
FH,11.087171875000001,10.67991168831169,10.688074418604652
OGDHL,13.25765625,12.502515584415585,12.287430232558142
