gene,r_t2,p_t2
CDK4,-0.028649982701337704,0.7934332979945442
CDK6,0.3487752071795628,0.0009980747562287832
CCND1,0.007911870537312873,0.9423638524346524
CCND2,0.09383657484453393,0.39013685551492405
CCND3,0.19064844436376444,0.07869727595935527
CDKN2A,0.08593087393346012,0.4314657668247821
CDKN2B,0.3749996520657408,0.00037444749084780747
CDKN1A,0.35728637146360953,0.0007326791801516877
CDKN1B,0.24433759763000595,0.023376903844750933
RB1,-0.08505945344087024,0.43616886852144077
E2F1,0.14559855323515009,0.18102436354916773
E2F3,-0.18779345719161164,0.08336584647650315
MKI67,0.12484589372849042,0.2520770311694466
TOP2A,0.15683267553479233,0.14928417470780805
CCNE1,0.3057941220857625,0.004193223510717548
CCNE2,0.22413032351073545,0.03802769153030559
CDK2,0.5961198263109692,1.3989415560940803e-09
PCNA,0.12223653599423111,0.26220364047979344
MCM2,0.08251078084065436,0.4500894875704695
