gene,r_fa2_depth,r_fa1_depth,delta
LAMC2,0.822503597572724,0.8145741225341658,0.00792947503855812
KITLG,0.8205927657943728,0.8024516969127108,0.018141068881662004
ITGB6,0.8055754414033602,0.764804027706117,0.04077141369724324
KRT19,0.7685578898052654,0.8166102957998878,-0.04805240599462235
HRH1,0.7801946267486514,0.758522463548444,0.021672163200207373
SLPI,0.7625962051058262,0.7567848374264303,0.005811367679395829
C10orf47,0.7894310209239443,0.7638884393275035,0.02554258159644085
C17orf28,0.7866325148648328,0.7590284293309394,0.027604085533893374
RIN1,0.75949071171008,0.7744645388415985,-0.014973827131518513
SLC7A9,-0.898720198354283,-0.8512806538967499,-0.04743954445753307
CCL14,-0.23524533509750334,-0.21027635592483546,-0.024968979172667882
CCL15,-0.845087077549733,-0.7832836487724861,-0.06180342877724687
AGMAT,-0.8821038367135889,-0.8222732046604873,-0.059830632053101684
KHK,-0.8614076946047518,-0.8204255297789829,-0.040982164825768885
PAH,-0.8307812357037045,-0.8003656575866509,-0.030415578117053643
AGXT2,-0.8604665324711372,-0.7903403483768937,-0.07012618409424354
PRODH2,-0.8232050187365911,-0.785301068635689,-0.037903950100902084
PKLR,-0.844729370308242,-0.7848800241628222,-0.05984934614541981
AQP7,-0.8294297906675459,-0.7836477854416746,-0.04578200522587128
PLA2G4C,-0.8142232936469934,-0.7792788366214004,-0.03494445702559301
GK,-0.7775323514715058,-0.7713850028906255,-0.006147348580880285
GNPDA1,-0.7842406002120329,-0.7578398320295715,-0.026400768182461398
SLC22A6,-0.8836226123285195,-0.8464048870381116,-0.0372177252904079
KRT19,0.7685578898052654,0.8166102957998878,-0.04805240599462235
SLC22A6,-0.8836226123285195,-0.8464048870381116,-0.0372177252904079
EZH2,0.42537389231881867,0.4008480722497959,0.024525820069022763
MET,0.4456157795359952,0.47646286860881243,-0.030847089072817246
CDKN2A,0.06996445366531512,0.08593087393346012,-0.015966420268145
CDK4,-0.0187047324935789,-0.028649982701337704,0.009945250207758802
FH,-0.6045482485236131,-0.5435107525196441,-0.061037496003969016
OGDHL,-0.5036785284371708,-0.4285628448797121,-0.07511568355745868
ARG1,-0.030495345600458895,-0.08523553209366319,0.05474018649320429
SLC16A1,-0.4035712681420948,-0.4264927900403861,0.022921521898291275
LAMC2,0.822503597572724,0.8145741225341658,0.00792947503855812
SLC7A9,-0.898720198354283,-0.8512806538967499,-0.04743954445753307
KITLG,0.8205927657943728,0.8024516969127108,0.018141068881662004
GPX4,-0.4248480287910198,-0.35554693924189323,-0.06930108954912656
ACSL4,0.5522768589100293,0.44998094371072206,0.10229591519930725
RUNX1,0.6915471745667239,0.6443404401557811,0.04720673441094281
GOT1,-0.5297403056944312,-0.4469049378085641,-0.0828353678858671
