gene,role,r_all,r_t1,r_t2,r_fa2_depth,sensitivity
SLC7A9,ANTI,-0.7194508047080659,-0.5898115600289505,-0.8512806538967499,-0.898720198354283,VULN_T2
GPX4,ANTI,-0.31895386856192465,-0.0475427489708847,-0.35554693924189323,-0.4248480287910198,VULN_T2
SLC3A2,ANTI,-0.5093535303258614,-0.28854876366901006,-0.49337418366093505,-0.508842635746553,VULN_T2
FTH1,ANTI,-0.3259135813428426,-0.23826348251224702,-0.24777242532973331,-0.24479734589707608,VULN_T2
FTL,ANTI,-0.4500485003555711,-0.4145069563289173,-0.47624642242285153,-0.502703165338769,VULN_T2
NFE2L2,ANTI,-0.05284079364709121,-0.05549621779698043,-0.07460713420373383,-0.04476743522778859,
CBS,ANTI,-0.041783549419311596,0.10733418306346089,-0.06090393718743296,-0.07494875049841304,
SLC40A1,ANTI,-0.25907853558938154,-0.21216611118767398,-0.368255316848355,-0.36573097770423113,VULN_T2
FANCD2,ANTI,0.22032226413429296,-0.001250853122323592,0.2883069728906466,0.339051536063399,
CISD1,ANTI,-0.4230302927943248,-0.34533233801472474,-0.38576555697069476,-0.4241966754829509,VULN_T2
AIFM2,ANTI,-0.041857833027457006,-0.0359069029143507,0.07965225473195929,0.05504050508304123,
ACSL4,PRO,0.17063211755352456,-0.1497193315469282,0.44998094371072206,0.5522768589100293,VULN_T2
TFRC,PRO,0.021336519250006587,0.010008646222669525,0.10122428267290179,0.17623574990629406,
HMOX1,PRO,-0.29725361262888716,-0.3339486605231843,-0.38309303410486095,-0.4259356154867559,
PTGS2,PRO,0.2108787358424114,0.3735506905991448,0.12247612093963296,0.13218673082868432,
NOX1,PRO,0.06372111753248953,0.10878520173101307,-0.03147174636951719,-0.04542911413170086,
SLC38A1,PRO,0.2861365888043089,0.12221583767988028,0.4473531801851645,0.4636387031800846,VULN_T2
GLS,PRO,-0.3735786668266642,-0.32986315123054283,-0.3037610220766951,-0.2512254360533126,
CHAC1,PRO,-0.06497157628948838,-0.0841362075935971,0.059488697660745535,0.006037383319456177,
SLC1A5,PRO,-0.44282943358998783,-0.36752048495079276,-0.5034202253356845,-0.5519934906202556,
CARS,PRO,-0.011517957272598304,0.048811607213279776,0.07819997497279585,0.08516174576532173,
EPAS1,PRO,-0.08153651446631664,-0.16334856437374973,0.07448650791474018,0.16240619553160712,
