gene,r_depth,p_depth,r_TI,r_depth_T1,r_depth_T2,mean_normal,mean_tumour,T_minus_N,p_OS_pooled,med_OS_hi,med_OS_lo
KRT19,0.8031049839538464,1.0071638766487906e-66,0.8155691977858381,0.5126544029872658,0.8166102957998878,11.59645,12.09725724137931,0.5008072413793094,0.9142218964373038,768.5,786.0
SLC22A6,-0.8006387575514288,4.98070019648309e-66,-0.9307491574078349,-0.614995221973459,-0.8464048870381116,10.94255,4.63978448275862,-6.30276551724138,0.6774457416623794,775.5,769.0
LAMC2,0.760115135476074,7.382865585879735e-56,0.6707159749431422,0.5786381323962931,0.8145741225341658,9.64265625,10.370792413793104,0.7281361637931045,0.6206327165086437,773.5,771.0
KHK,-0.7455979774362327,1.0792041185679184e-52,-0.7106587713070128,-0.6183533449651971,-0.8204255297789829,11.7836125,9.022922068965517,-2.760690431034483,0.1312992074025719,792.0,767.0
PRODH2,-0.7252297462962326,1.3416822007427338e-48,-0.6883363918033072,-0.6090079191239841,-0.785301068635689,9.986662500000001,5.221225517241379,-4.765436982758622,0.7145979190096317,832.0,744.0
PAH,-0.7242270845775032,2.0877540870317026e-48,-0.7644511179421862,-0.5319529680385602,-0.8003656575866509,11.22819375,4.7805958620689655,-6.447597887931035,0.5420566138342744,755.5,786.0
RIN1,0.7240570301542829,2.2499039149300115e-48,0.611113488782939,0.6152264596615131,0.7744645388415985,5.74899375,8.04402724137931,2.295033491379309,0.4706116548004522,768.5,786.0
SLC7A9,-0.7194508047080659,1.6707274974502223e-47,-0.6916826025988697,-0.5898115600289505,-0.8512806538967499,8.976990625,5.840791379310345,-3.136199245689654,0.32831814924546515,845.0,729.0
GNPDA1,-0.716792349038579,5.218476397647005e-47,-0.7409120732924115,-0.6102383399301674,-0.7578398320295715,10.593856249999998,10.431435862068966,-0.1624203879310322,0.34697416241536727,795.5,757.0
GK,-0.7021501676301962,2.2040605847824991e-44,-0.6125845232325304,-0.5896371729965759,-0.7713850028906255,9.76365625,8.522816551724137,-1.2408396982758632,0.7558560620066717,797.5,757.0
C10orf47,0.6977765979674218,1.2491924514253816e-43,0.6435823253974189,0.49590544319252183,0.7638884393275035,8.373449999999998,8.428631379310346,0.05518137931034772,0.3312157836909425,761.0,792.0
AGMAT,-0.6952125840275338,3.404202471926653e-43,-0.707193008672368,-0.49696030986551076,-0.8222732046604873,11.148037500000001,7.150626551724138,-3.9974109482758626,0.15393577376790113,834.5,708.0
SLPI,0.6901317319021807,2.406392224067505e-42,0.5423585934149194,0.5702156372074683,0.7567848374264303,8.49850625,9.913586896551724,1.4150806465517238,0.18999643201875727,813.0,658.0
KITLG,0.6900553608161795,2.4774183475039236e-42,0.7128516792148212,0.3122017311442461,0.8024516969127108,10.802003125,10.317707931034482,-0.4842951939655187,0.2187446318143449,748.5,792.0
TPSAB1,0.6890060120586579,3.6913175199971256e-42,0.6543794947867916,0.3902571233429176,0.7460723043945823,5.73881875,7.718542413793104,1.979723663793104,0.6441787755147954,702.5,799.0
CPA3,0.6745681764550147,7.539045834228157e-40,0.6548988601320382,0.3612062637427703,0.7128495736964324,5.285353125,6.909431724137931,1.6240785991379303,0.9274498240359874,742.0,797.0
