gene,r_t2,r_fa2,p_t2
KIT,0.5905480305978406,0.6349077149835175,2.1665337702240133e-09
KITLG,0.8024516969127108,0.8205927657943728,1.5699664772424583e-20
PDGFRA,0.19464679017450526,0.20668198603045795,0.07251276743437288
PDGFRB,0.12006606945032464,0.1640831809326293,0.2708344902008147
CSF1R,-0.1413374595820619,-0.07881242207941128,0.19426774570195673
FLT3,0.0799437802859213,0.10225067770928965,0.4643566328164401
STAT5A,-0.31974524090172873,-0.3614202251002142,0.0026908690181013275
STAT5B,0.08591631212888089,0.09488609428686155,0.43154411969235285
PIK3CA,0.008713611923594322,0.07171874476069577,0.9365349058689828
AKT1,0.2664408112370238,0.28179065613322907,0.013148740458996932
MTOR,-0.19521265878481664,-0.18939352739229218,0.07166996402276588
JAK2,-0.05588667433833286,0.015617705820576117,0.6092897642984532
CPA3,0.7128495736964324,0.7160537185555791,1.3726325728001417e-14
HDC,0.683565716712206,0.6880545436053915,4.0899349553968033e-13
MS4A2,0.6862790010373128,0.6941461959880268,3.036489561379067e-13
TPSAB1,0.7460723043945823,0.7408148629569674,1.6835568080931319e-16
TPSB2,0.7274970004622544,0.7148550838366616,2.1350771028525598e-15
CTSG,0.462035759082954,0.4155076195860585,7.52899666627925e-06
CMA1,0.34087129055472654,0.29916153872032436,0.00131990765223785
KITLG×KIT,0.6811251505937644,,5.331857647743011e-13
KITLG×PDGFRA,0.13965418761243464,,0.1996871732774122
KITLG×PDGFRB,0.1241092163000189,,0.2549084613511362
KITLG×CSF1R,-0.11709880968340414,,0.2829399741543984
KITLG×STAT5A,-0.410150103561413,,8.783763810481795e-05
KITLG×STAT5B,0.2306195357492441,,0.03265751696691307
KITLG×TPSAB1,0.7083075225586539,,2.388020016801424e-14
KITLG×TPSB2,0.6858304761409606,,3.1904336431810113e-13
KITLG×CPA3,0.7655814522547877,,9.119430314450654e-18
KITLG×HDC,0.7209457621605792,,4.979656606109209e-15
KITLG×MS4A2,0.7621675882811099,,1.5497158144906236e-17
KITLG×FCGR3B,0.26490528525787504,,0.013705560019129606
