gene,r,p_value
IL1RAP,0.9604420387746222,0.0005851570804818099
CDS2,-0.9599420517185385,0.0006036588057863105
PRKCI,0.9579067065243356,0.0006825300674576274
RHBDL2,0.9461563268193229,0.0012550092802748605
PRKAR2B,-0.9458861475374702,0.001270624817671928
ZBED6CL,-0.9443177553081963,0.0013635346470194734
B4GALT5,0.9431425765260562,0.0014356993963358716
LOC101927630,0.9423492672880309,0.0014856599407342373
SERPINA1,0.9411330109873326,0.0015642212648711165
ADPRM,-0.9406973477308682,0.0015929438886375445
MYC,-0.9404503457030435,0.0016093653292829535
USP45,-0.9373660381585662,0.0018228393131694842
MPP6,-0.936961691053344,0.001851991248090728
CD48,-0.9368082277728474,0.0018631267151190745
IKZF2,0.9349890847965676,0.0019981314771712285
NOMO1,0.9341516590886777,0.0020621543848834615
RNF135,-0.934044949321235,0.0020703979630129527
TMEM121,-0.933286487634429,0.002129549094296006
AGR2,0.9313460855880337,0.0022853582561220198
OGDHL,-0.9312015599485484,0.0022972225764748967
KLF5,0.9303617040855798,0.0023668831355062253
CYP24A1,0.9291874057394904,0.0024663393419686367
NT5DC3,-0.9291740920055526,0.002467480734702882
PPARG,0.9282694343805217,0.0025457650218668657
SNORD10,-0.9273675303128779,0.002625243413468594
INPP4B,0.9259734222648308,0.002750926993185687
ARHGEF6,-0.925435220012236,0.0028003722520762438
GPRC5A,0.925003686198383,0.0028403913552132185
ESRP1,0.9241502716156516,0.0029205165434450456
MIR31HG,0.9237760850411827,0.0029560607132141244
HK2,0.9234915314754575,0.002983259424904584
GPC3,-0.9229348689518033,0.0030368899910718497
ATP8B1,0.9213642707098524,0.003191234237932525
CORO2A,0.9194908464419891,0.0033812246048905634
SIX4,0.9182714490812874,0.003508355530848291
FAM49A,-0.9169380844010961,0.0036505203800318064
S100A1,-0.9157250749709795,0.003782730129441011
PPL,0.9145600560235827,0.003912304836796901
SNORA38B,-0.9140647402309463,0.003968168262441152
ALPK2,-0.913957728118923,0.003980298270891906
ACSL5,0.913876566275768,0.0039895125304551275
RSAD1,-0.9123119302267886,0.004169583095130891
TMPRSS4,0.9119810742232579,0.004208256138064834
SH3RF1,0.9115900002391916,0.004254236927421284
KLF10,0.9107287235316242,0.004356532146614679
CCDC186,0.9106720948822693,0.004363307752876408
GABPB1,0.910276994392857,0.004410752518408024
C15orf48,0.909190774479037,0.004542734437678684
CHPT1,-0.9091760149673558,0.004544543444535922
KCNK1,0.9080314574600074,0.004686107929572117
BHLHE40,0.9075844845201104,0.004742080127634041
GPM6B,-0.9063362807472897,0.004900441938413179
CELSR1,0.9052301622103758,0.005043316355236948
HLA-DQB2,-0.9051071554184595,0.005059352720703638
HRH1,0.9045941876161279,0.005126548072702596
PCSK6,0.9045051643801861,0.005138262115533555
NLK,-0.9036645065118407,0.005249647760319564
LAMTOR4,-0.9025664646371042,0.005397234805631829
NAT9,-0.9012028816153602,0.005583835737266147
GACAT2,-0.901197840774927,0.005584532406566091
CST6,0.8999164360797638,0.005763271081590649
FAM219B,-0.8992807118210342,0.005853162987128153
RBP5,-0.8992308506731193,0.005860247606394678
NET1,0.8990949140046448,0.005879587739097994
LINC00673,0.8988091908257319,0.0059203592350792955
ZNF185,0.8987698646119888,0.005925983741421565
TRAPPC6A,-0.8963208703494276,0.006282375407416133
CD99L2,-0.896320422867496,0.006282441633708156
F11R,0.8957513576675598,0.0063669901803380365
CAPNS1,0.8949868675266837,0.006481607907561373
SCARNA17,-0.8946479467992848,0.006532801303152805
POGK,-0.8944280328429364,0.006566144000587938
MYH10,-0.8928542584278386,0.006807634646855669
DDIT4,0.8928007936777123,0.006815927573949581
PLAC9,-0.8927235442039105,0.006827920095088122
PCBD1,-0.8926586182211098,0.006838008923203556
RCSD1,-0.8922798610151109,0.006897036124202554
STX10,-0.8896701605132402,0.00731176320952104
MALL,0.8894945124775429,0.007340181551451224
TSPAN15,0.8891559599470955,0.007395136650662075
CLEC10A,-0.8889291757355988,0.007432081927160951
TPM4,0.8888560406471515,0.007444019058711462
PLA2G16,0.8879868189937463,0.00758674387556836
HLA-DOA,-0.8873055490007538,0.007699705536969352
RPL13AP20,-0.8855495297424526,0.007995336527608359
TRIB3,-0.8844191714347223,0.008189051348343072
S100A11,0.8840090633838289,0.008259997044442009
KLRB1,-0.8838885041330649,0.008280920219439486
PDXDC1,0.8834669669317385,0.00835431903554297
MUC16,0.883403708892516,0.008365365950721982
GRB14,-0.8819979051149334,0.008613045009689475
SHROOM3,0.8806663012648142,0.008851509124642722
ADH1B,-0.8805961918430771,0.008864168628998305
MIR4435-1HG,0.8793641548844755,0.009088341408035877
VEGFA,0.8781892460457407,0.009305134636292673
TMEM243,-0.8777275405615482,0.00939113589978911
FKBP11,-0.8775340421795462,0.009427314331688518
HK1,0.8758132265443979,0.009752590195798046
ITGA2,0.8725177528391621,0.010393333175404177
GNB5,-0.8722229576653859,0.010451796598859331
RCAN2,-0.8721117335293358,0.010473903486902155
SCARNA20,-0.8718382218783859,0.010528380974716834
ADCK3,-0.8714743119802794,0.010601116055956499
SEMA4B,0.8713633654173365,0.01062334839849522
ICAM3,-0.8699190203432383,0.010915225860607726
CLDN16,-0.8698311694831904,0.010933125917481867
LAMC1,-0.8689404978410673,0.011115557781286974
OAZ2,-0.8682615422273274,0.011255791778464091
TNXB,-0.8681291850276847,0.011283247059846534
GRHL1,0.8677173992488818,0.011368911027399968
TMEM119,-0.867299169609187,0.011456296780292244
HES6,-0.8670958019328522,0.011498927790767416
APOL4,0.8666171804417964,0.011599618071137376
EGLN3,0.866064601825383,0.011716494615487807
TRABD2B,-0.8649556859626817,0.011953074979300492
RPS17,-0.8644271871989124,0.012066783062410325
SLC26A2,-0.8642705967500676,0.012100592654900075
GIMAP7,-0.8637221739211701,0.01221943132429692
NUP50-AS1,0.862791203391494,0.012422691977155379
CD52,-0.8619816924821961,0.012600998953967742
CCR4,-0.861504572078485,0.012706774833677284
TGFB2,0.8608464527800851,0.01285350985006975
SNORD94,-0.8604611465948054,0.01293986653282317
CRTAP,-0.8602799689273501,0.01298058751302638
TJP2,0.8602538381043161,0.012986466652431172
GNE,0.8601488600819158,0.013010100892886251
LURAP1L,0.8593162455239032,0.01319842425505128
ST14,0.8583280159296702,0.013423959158757562
PLA2G2D,-0.858280249285285,0.013434915979446559
PHLDA2,0.8580468346759705,0.013488530771818896
CREB5,-0.8575198239116055,0.013610033714586653
S100P,0.8566762365202911,0.013805822927014877
IL1RN,0.8562433617747899,0.013906910977138177
ANGPT2,0.8550606179997001,0.014185267252841015
TOR1A,0.853712842813446,0.014506314411345467
LST1,-0.8537002364698495,0.014509336706239042
SMAD1,0.8536472818141141,0.014522036196276608
OCLN,0.8534199156732436,0.014576634905261348
ADAMTS1,-0.8532795686917065,0.014610395668607418
RUNX2,0.8531046983438079,0.014652523558086763
MAGED1,0.8530680012793346,0.014661373020519607
HN1L,0.8512572110435637,0.015101839829361634
ZNF280C,-0.851110987856585,0.01513773314098762
PIM2,-0.8510586123020781,0.015150601569237148
GABARAP,-0.8510440990998799,0.015154168499637828
SMIM1,-0.8509959383936335,0.015166008460024721
CCNG2,0.8507460183987055,0.015227534271450974
FAM83A,0.8504666907241116,0.015296468053521754
OIP5-AS1,-0.8503622789839351,0.015322280908049296
WNT7A,0.8503209061674167,0.015332516041009941
GPR87,0.8500555757380452,0.015398248316536273
S100A2,0.8497814377392064,0.015466331166302806
GMFG,-0.849434446164488,0.015552753243110343
